Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Sao Tome and Principe,2021,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,8.64139593892135
Sao Tome and Principe,2021,Belgium,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,4.0773344569419
Sao Tome and Principe,2021,Portugal,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2.5119564444535
Sao Tome and Principe,2021,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1.73575673760995
Sao Tome and Principe,2021,Cameroon,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,0.81227441229165
Sao Tome and Principe,2021,Portugal,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,81.8944550747461
Sao Tome and Principe,2021,Angola,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,19.9021366487433
Sao Tome and Principe,2021,Togo,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,15.580979590616
Sao Tome and Principe,2021,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,11.9336657440141
Sao Tome and Principe,2021,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,5.093755451598
Sao Tome and Principe,2021,World,Vegetable,Export,Export(US$ Mil),6.5649174490482
Sao Tome and Principe,2021,World,Textiles and Clothing,Export,Export(US$ Mil),0.0193210695898
Sao Tome and Principe,2021,World,Intermediate goods,Export,Export(US$ Mil),6.561120429039
Sao Tome and Principe,2021,World,Food Products,Export,Export(US$ Mil),11.6123340046449
Sao Tome and Principe,2021,World,Footwear,Export,Export(US$ Mil),0.00065584095225
Sao Tome and Principe,2021,World,Consumer goods,Export,Export(US$ Mil),0.924316802074599
Sao Tome and Principe,2021,World,Chemicals,Export,Export(US$ Mil),0.061186532088
Sao Tome and Principe,2021,World,Mach and Elec,Export,Export(US$ Mil),0.2051601812733
Sao Tome and Principe,2021,World,Animal,Export,Export(US$ Mil),0.0053717191825
Sao Tome and Principe,2021,World,Wood,Export,Export(US$ Mil),0.00480167010565
Sao Tome and Principe,2021,World,Raw materials,Export,Export(US$ Mil),11.4526197835269
Sao Tome and Principe,2021,World,Minerals,Export,Export(US$ Mil),0.00313796915685
Sao Tome and Principe,2021,World,Stone and Glass,Export,Export(US$ Mil),0.0051774715916
Sao Tome and Principe,2021,World,Capital goods,Export,Export(US$ Mil),0.2367803235402
Sao Tome and Principe,2021,World,Fuels,Export,Export(US$ Mil),0.0040858137485
Sao Tome and Principe,2021,World,Metals,Export,Export(US$ Mil),0.1270134124842
Sao Tome and Principe,2021,World,Hides and Skins,Export,Export(US$ Mil),0.00194544263485
Sao Tome and Principe,2021,World,Miscellaneous,Export,Export(US$ Mil),0.04829426014545
Sao Tome and Principe,2021,World,Plastic or Rubber,Export,Export(US$ Mil),0.0105327521948
Sao Tome and Principe,2021,World,Transportation,Export,Export(US$ Mil),0.50091011453395
Sao Tome and Principe,2021,World,Intermediate goods,Import,Import(US$ Mil),27.0928557495294
Sao Tome and Principe,2021,World,Consumer goods,Import,Import(US$ Mil),106.328860132266
Sao Tome and Principe,2021,World,Capital goods,Import,Import(US$ Mil),23.0790967402993
Sao Tome and Principe,2021,World,Raw materials,Import,Import(US$ Mil),7.59110038410685
Sao Tome and Principe,2021,World,All Products,Export,Exports (in US$ Mil),19.1748457033749
Sao Tome and Principe,2021,World,All Products,Import,Imports (in US$ Mil),166.2750068742
Sao Tome and Principe,2019,World,All Products,Tariff,Duty Free Imports (US$ Thousand),3402.78283625951
Sao Tome and Principe,2019,...,...,Tariff,No. Of Tariff Agreement,1
Sao Tome and Principe,2021,...,...,Import,No. Of Import partners,65
Sao Tome and Principe,2021,...,...,Import,No. Of Import products,2478
Sao Tome and Principe,2021,...,...,Export,No. Of Export partners,23
Sao Tome and Principe,2021,...,...,Export,No. Of Export products,272
Sao Tome and Principe,2019,...,...,Others,Ease of Doing Business Rank,170
Sao Tome and Principe,2019,...,...,Others,Trading Across Borders Rank,124
Sao Tome and Principe,2018,...,...,Others,Population,211028
Sao Tome and Principe,2018,...,...,Others,CPIA Trade Ratings,4
Sao Tome and Principe,2016,...,...,Others,LPI Rank,133
Sao Tome and Principe,2016,...,...,Others,LPI Score,2.325633
Sao Tome and Principe,2021,Netherlands,All Products,Export,Partner share(%)-Top 5 Export Partner,45.0663
