Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Suriname,2021,Switzerland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1131.84607763
Suriname,2021,United Arab Emirates,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,597.90088175
Suriname,2021,Belgium,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,97.34191997
Suriname,2021,Trinidad and Tobago,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,77.06296452
Suriname,2021,Brazil,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,57.64866251
Suriname,2021,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,340.23722832
Suriname,2021,Netherlands,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,228.44785863
Suriname,2021,Trinidad and Tobago,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,198.84661122
Suriname,2021,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,117.76387581
Suriname,2021,Antigua and Barbuda,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,46.16818663
Suriname,2021,World,Vegetable,Export,Export(US$ Mil),38.1679525
Suriname,2021,World,Textiles and Clothing,Export,Export(US$ Mil),0.67714568
Suriname,2021,World,Intermediate goods,Export,Export(US$ Mil),1874.53860476
Suriname,2021,World,Chemicals,Export,Export(US$ Mil),8.55357852
Suriname,2021,World,Mach and Elec,Export,Export(US$ Mil),71.44158574
Suriname,2021,World,Fuels,Export,Export(US$ Mil),73.93960579
Suriname,2021,World,Metals,Export,Export(US$ Mil),15.51773016
Suriname,2021,World,Food Products,Export,Export(US$ Mil),78.47263184
Suriname,2021,World,Footwear,Export,Export(US$ Mil),0.43727048
Suriname,2021,World,Consumer goods,Export,Export(US$ Mil),182.99435593
Suriname,2021,World,Minerals,Export,Export(US$ Mil),6.57082141
Suriname,2021,World,Stone and Glass,Export,Export(US$ Mil),1857.4705658
Suriname,2021,World,Capital goods,Export,Export(US$ Mil),93.26701654
Suriname,2021,World,Plastic or Rubber,Export,Export(US$ Mil),3.32135458
Suriname,2021,World,Transportation,Export,Export(US$ Mil),21.44623576
Suriname,2021,World,Hides and Skins,Export,Export(US$ Mil),0.07651861
Suriname,2021,World,Miscellaneous,Export,Export(US$ Mil),5.89670615
Suriname,2021,World,Animal,Export,Export(US$ Mil),36.82043981
Suriname,2021,World,Wood,Export,Export(US$ Mil),72.51568421
Suriname,2021,World,Raw materials,Export,Export(US$ Mil),138.89148157
Suriname,2021,World,Consumer goods,Import,Import(US$ Mil),560.08894523
Suriname,2021,World,Capital goods,Import,Import(US$ Mil),502.128493580001
Suriname,2021,World,Intermediate goods,Import,Import(US$ Mil),259.55798821
Suriname,2021,World,Raw materials,Import,Import(US$ Mil),55.00171566
Suriname,2021,World,All Products,Export,Exports (in US$ Mil),2291.32582704
Suriname,2021,World,All Products,Import,Imports (in US$ Mil),1381.16598758
Suriname,2021,World,All Products,Tariff,Duty Free Imports (US$ Thousand),323015.258767389
Suriname,2021,...,...,Tariff,No. Of Tariff Agreement,6
Suriname,2021,...,...,Import,No. Of Import partners,105
Suriname,2021,...,...,Import,No. Of Import products,2548
Suriname,2021,...,...,Export,No. Of Export partners,92
Suriname,2021,...,...,Export,No. Of Export products,725
Suriname,2019,...,...,Others,Ease of Doing Business Rank,162
Suriname,2019,...,...,Others,Trading Across Borders Rank,87
Suriname,2018,...,...,Others,Population,575991
Suriname,2021,Switzerland,All Products,Export,Partner share(%)-Top 5 Export Partner,49.397
Suriname,2021,United Arab Emirates,All Products,Export,Partner share(%)-Top 5 Export Partner,26.0941
Suriname,2021,Belgium,All Products,Export,Partner share(%)-Top 5 Export Partner,4.2483
Suriname,2021,Trinidad and Tobago,All Products,Export,Partner share(%)-Top 5 Export Partner,3.3632
Suriname,2021,Brazil,All Products,Export,Partner share(%)-Top 5 Export Partner,2.516
Suriname,2021,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,24.6341
Suriname,2021,Netherlands,All Products,Import,Partner share(%)-Top 5 Import Partner,16.5402
Suriname,2021,Trinidad and Tobago,All Products,Import,Partner share(%)-Top 5 Import Partner,14.397
Suriname,2021,China,All Products,Import,Partner share(%)-Top 5 Import Partner,8.5264
Suriname,2021,Antigua and Barbuda,All Products,Import,Partner share(%)-Top 5 Import Partner,3.3427
Suriname,2021,World,Minerals,Export,Export Product share(%),0.2868
Suriname,2021,World,Stone and Glass,Export,Export Product share(%),81.0653
Suriname,2021,World,Capital goods,Export,Export Product share(%),4.0704
Suriname,2021,World,Fuels,Export,Export Product share(%),3.2269
Suriname,2021,World,Metals,Export,Export Product share(%),0.6772
Suriname,2021,World,Food Products,Export,Export Product share(%),3.4248
Suriname,2021,World,Footwear,Export,Export Product share(%),0.0191
Suriname,2021,World,Consumer goods,Export,Export Product share(%),7.9864
Suriname,2021,World,Vegetable,Export,Export Product share(%),1.6658
Suriname,2021,World,Textiles and Clothing,Export,Export Product share(%),0.0296
Suriname,2021,World,Intermediate goods,Export,Export Product share(%),81.8102
Suriname,2021,World,Chemicals,Export,Export Product share(%),0.3733
Suriname,2021,World,Mach and Elec,Export,Export Product share(%),3.1179
Suriname,2021,World,Plastic or Rubber,Export,Export Product share(%),0.145
Suriname,2021,World,Transportation,Export,Export Product share(%),0.936
Suriname,2021,World,Hides and Skins,Export,Export Product share(%),0.0033
Suriname,2021,World,Miscellaneous,Export,Export Product share(%),0.2573
Suriname,2021,World,Animal,Export,Export Product share(%),1.6069
Suriname,2021,World,Wood,Export,Export Product share(%),3.1648
Suriname,2021,World,Raw materials,Export,Export Product share(%),6.0616
Suriname,2021,World,Consumer goods,Import,Import Product share(%),40.5519
Suriname,2021,World,Intermediate goods,Import,Import Product share(%),18.7927
Suriname,2021,World,Capital goods,Import,Import Product share(%),36.3554
Suriname,2021,World,Raw materials,Import,Import Product share(%),3.9823
Suriname,2021,World,Intermediate goods,Tariff,Weighted Average (%),5.27072372471055
Suriname,2021,World,Consumer goods,Tariff,Weighted Average (%),11.478897712244
Suriname,2021,World,Capital goods,Tariff,Weighted Average (%),5.58534218254009
Suriname,2021,World,Raw materials,Tariff,Weighted Average (%),17.653033874061
Suriname,2021,World,All Products,Trade Indicator,World Growth (%),12.5883765814344
Suriname,2021,World,All Products,Trade Indicator,Country Growth (%),-3.42988196097268
Suriname,2021,World,All Products,Tariff,Simple Average (%),10.1506228945787
Suriname,2021,World,All Products,Tariff,Weighted Average (%),8.4261629864258
Suriname,2021,World,All Products,Tariff,Maximum Rate (%),50
Suriname,2021,World,All Products,Tariff,Duty Free Tariff Lines Share (%),13.9742262110229
Suriname,2021,...,...,Trade Indicator,Index of export market penetration,1.70880915318238
Suriname,2021,...,...,Trade Indicator,HH Market concentration index,0.327705944749609
