Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Slovak Republic,2021,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,22734.001897358
Slovak Republic,2021,Czech Republic,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,12128.232013276
Slovak Republic,2021,Poland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,8702.180956776
Slovak Republic,2021,Hungary,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,7582.896787426
Slovak Republic,2021,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,6740.379337349
Slovak Republic,2021,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,20073.857647506
Slovak Republic,2021,Czech Republic,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,10267.702833308
Slovak Republic,2021,Unspecified,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,9263.62008111
Slovak Republic,2021,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,7656.037877531
Slovak Republic,2021,Russian Federation,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,6587.112162532
Slovak Republic,2021,World,Food Products,Export,Export(US$ Mil),1983.408807648
Slovak Republic,2021,World,Footwear,Export,Export(US$ Mil),1068.61337339
Slovak Republic,2021,World,Consumer goods,Export,Export(US$ Mil),53215.234851999
Slovak Republic,2021,World,Minerals,Export,Export(US$ Mil),425.07472902
Slovak Republic,2021,World,Stone and Glass,Export,Export(US$ Mil),1204.339685038
Slovak Republic,2021,World,Capital goods,Export,Export(US$ Mil),30570.862489039
Slovak Republic,2021,World,Chemicals,Export,Export(US$ Mil),2754.578006779
Slovak Republic,2021,World,Mach and Elec,Export,Export(US$ Mil),30504.829844423
Slovak Republic,2021,World,Fuels,Export,Export(US$ Mil),3351.559687372
Slovak Republic,2021,World,Metals,Export,Export(US$ Mil),11743.479175833
Slovak Republic,2021,World,Vegetable,Export,Export(US$ Mil),1606.448729135
Slovak Republic,2021,World,Textiles and Clothing,Export,Export(US$ Mil),1987.630567251
Slovak Republic,2021,World,Intermediate goods,Export,Export(US$ Mil),17758.356676157
Slovak Republic,2021,World,Plastic or Rubber,Export,Export(US$ Mil),5861.75789838
Slovak Republic,2021,World,Transportation,Export,Export(US$ Mil),34178.839160292
Slovak Republic,2021,World,Hides and Skins,Export,Export(US$ Mil),268.257142838
Slovak Republic,2021,World,Miscellaneous,Export,Export(US$ Mil),3858.018630463
Slovak Republic,2021,World,Animal,Export,Export(US$ Mil),710.568754207
Slovak Republic,2021,World,Wood,Export,Export(US$ Mil),3225.916689855
Slovak Republic,2021,World,Raw materials,Export,Export(US$ Mil),3058.558260641
Slovak Republic,2021,World,Consumer goods,Import,Import(US$ Mil),33212.812599772
Slovak Republic,2021,World,Capital goods,Import,Import(US$ Mil),45202.5260088129
Slovak Republic,2021,World,Intermediate goods,Import,Import(US$ Mil),19046.538263493
Slovak Republic,2021,World,Raw materials,Import,Import(US$ Mil),7379.626394314
Slovak Republic,2021,World,All Products,Export,Exports (in US$ Mil),104733.320881922
Slovak Republic,2021,World,All Products,Import,Imports (in US$ Mil),105141.762064531
Slovak Republic,2021,World,All Products,Tariff,Duty Free Imports (US$ Thousand),30667310.0482138
Slovak Republic,2021,...,...,Tariff,No. Of Tariff Agreement,
Slovak Republic,2021,...,...,Import,No. Of Import partners,227
Slovak Republic,2021,...,...,Import,No. Of Import products,4396
Slovak Republic,2021,...,...,Export,No. Of Export partners,199
Slovak Republic,2021,...,...,Export,No. Of Export products,4006
