Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Sweden,2021,Norway,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,20254.230127015
Sweden,2021,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,19422.64878794
Sweden,2021,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,15301.714461945
Sweden,2021,Denmark,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,14664.10898949
Sweden,2021,Finland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,13411.323101355
Sweden,2021,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,31739.723911893
Sweden,2021,Norway,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,19043.838591258
Sweden,2021,Netherlands,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,18835.282181953
Sweden,2021,Denmark,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,12960.304058625
Sweden,2021,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,12908.67279353
Sweden,2021,World,Fuels,Export,Export(US$ Mil),13189.217797585
Sweden,2021,World,Metals,Export,Export(US$ Mil),18159.731456667
Sweden,2021,World,Vegetable,Export,Export(US$ Mil),1923.465200371
Sweden,2021,World,Textiles and Clothing,Export,Export(US$ Mil),4035.264965834
Sweden,2021,World,Intermediate goods,Export,Export(US$ Mil),49611.01489763
Sweden,2021,World,Chemicals,Export,Export(US$ Mil),19467.229213159
Sweden,2021,World,Mach and Elec,Export,Export(US$ Mil),44324.48050125
Sweden,2021,World,Minerals,Export,Export(US$ Mil),5774.783020964
Sweden,2021,World,Stone and Glass,Export,Export(US$ Mil),2479.150481802
Sweden,2021,World,Capital goods,Export,Export(US$ Mil),55180.732999574
Sweden,2021,World,Plastic or Rubber,Export,Export(US$ Mil),8190.626703511
Sweden,2021,World,Transportation,Export,Export(US$ Mil),24430.817490493
Sweden,2021,World,Food Products,Export,Export(US$ Mil),4967.261192186
Sweden,2021,World,Footwear,Export,Export(US$ Mil),797.941888365
Sweden,2021,World,Consumer goods,Export,Export(US$ Mil),64606.0108291749
Sweden,2021,World,Hides and Skins,Export,Export(US$ Mil),418.285315731
Sweden,2021,World,Miscellaneous,Export,Export(US$ Mil),16458.504830179
