Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Seychelles,2021,Gibraltar,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,644.8943899685
Seychelles,2021,Cayman Islands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,300.140634811484
Seychelles,2021,Bermuda,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,234.6611939997
Seychelles,2021,Belize,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,177.441329592
Seychelles,2021,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,136.049144141814
Seychelles,2021,South Africa,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,345.109237139302
Seychelles,2021,Netherlands,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,303.118373483225
Seychelles,2021,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,292.126160199072
Seychelles,2021,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,272.406564519601
Seychelles,2021,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,139.996972216735
Seychelles,2021,World,Food Products,Export,Export(US$ Mil),290.171447409611
Seychelles,2021,World,Footwear,Export,Export(US$ Mil),0.0016901322103536
Seychelles,2021,World,Consumer goods,Export,Export(US$ Mil),1802.384124897
Seychelles,2021,World,Vegetable,Export,Export(US$ Mil),4.99566666251972
Seychelles,2021,World,Textiles and Clothing,Export,Export(US$ Mil),0.307273802978342
Seychelles,2021,World,Intermediate goods,Export,Export(US$ Mil),18.0270684179373
Seychelles,2021,World,Animal,Export,Export(US$ Mil),110.609449341976
Seychelles,2021,World,Wood,Export,Export(US$ Mil),0.133258794895567
Seychelles,2021,World,Raw materials,Export,Export(US$ Mil),113.852792826137
Seychelles,2021,World,Minerals,Export,Export(US$ Mil),
Seychelles,2021,World,Stone and Glass,Export,Export(US$ Mil),0.854900721131637
Seychelles,2021,World,Capital goods,Export,Export(US$ Mil),13.8529401715825
Seychelles,2021,World,Fuels,Export,Export(US$ Mil),108.364366814038
Seychelles,2021,World,Metals,Export,Export(US$ Mil),5.09403603116233
Seychelles,2021,World,Chemicals,Export,Export(US$ Mil),0.396992225973303
Seychelles,2021,World,Mach and Elec,Export,Export(US$ Mil),4.3975062349675
Seychelles,2021,World,Plastic or Rubber,Export,Export(US$ Mil),1.81857939199871
Seychelles,2021,World,Transportation,Export,Export(US$ Mil),1419.37954107342
Seychelles,2021,World,Hides and Skins,Export,Export(US$ Mil),0.0307494134236562
Seychelles,2021,World,Miscellaneous,Export,Export(US$ Mil),5.37027411631857
Seychelles,2021,World,Consumer goods,Import,Import(US$ Mil),1097.66210293666
Seychelles,2021,World,Intermediate goods,Import,Import(US$ Mil),256.307244592667
Seychelles,2021,World,Capital goods,Import,Import(US$ Mil),315.681834682681
Seychelles,2021,World,Raw materials,Import,Import(US$ Mil),174.268125366475
Seychelles,2021,World,All Products,Export,Exports (in US$ Mil),1951.92573216662
Seychelles,2021,World,All Products,Import,Imports (in US$ Mil),1847.87938027414
