Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Syrian Arab Republic,2010,Iraq,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2294.520028
Syrian Arab Republic,2010,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1520.203182
Syrian Arab Republic,2010,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1477.110789
Syrian Arab Republic,2010,Turkey,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,629.200212
Syrian Arab Republic,2010,Saudi Arabia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,542.604001
Syrian Arab Republic,2010,Turkey,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1672.062124
Syrian Arab Republic,2010,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1545.913838
Syrian Arab Republic,2010,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1292.60688
Syrian Arab Republic,2010,Ukraine,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1133.850305
Syrian Arab Republic,2010,Russian Federation,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1108.850644
Syrian Arab Republic,2010,World,Fuels,Export,Export(US$ Mil),5663.505802
Syrian Arab Republic,2010,World,Metals,Export,Export(US$ Mil),292.219973
Syrian Arab Republic,2010,World,Food Products,Export,Export(US$ Mil),793.901258
Syrian Arab Republic,2010,World,Footwear,Export,Export(US$ Mil),111.20553
Syrian Arab Republic,2010,World,Consumer goods,Export,Export(US$ Mil),3830.231573
Syrian Arab Republic,2010,World,Minerals,Export,Export(US$ Mil),209.213276
Syrian Arab Republic,2010,World,Stone and Glass,Export,Export(US$ Mil),60.62866
Syrian Arab Republic,2010,World,Capital goods,Export,Export(US$ Mil),205.319084
Syrian Arab Republic,2010,World,Chemicals,Export,Export(US$ Mil),552.565422
Syrian Arab Republic,2010,World,Mach and Elec,Export,Export(US$ Mil),220.706199
Syrian Arab Republic,2010,World,Plastic or Rubber,Export,Export(US$ Mil),374.940177
Syrian Arab Republic,2010,World,Transportation,Export,Export(US$ Mil),24.378
Syrian Arab Republic,2010,World,Hides and Skins,Export,Export(US$ Mil),34.014991
Syrian Arab Republic,2010,World,Miscellaneous,Export,Export(US$ Mil),45.127479
Syrian Arab Republic,2010,World,Vegetable,Export,Export(US$ Mil),1127.15799
Syrian Arab Republic,2010,World,Textiles and Clothing,Export,Export(US$ Mil),1198.888657
Syrian Arab Republic,2010,World,Intermediate goods,Export,Export(US$ Mil),1344.025068
Syrian Arab Republic,2010,World,Animal,Export,Export(US$ Mil),518.029337
Syrian Arab Republic,2010,World,Wood,Export,Export(US$ Mil),126.440882
Syrian Arab Republic,2010,World,Raw materials,Export,Export(US$ Mil),5969.848791
Syrian Arab Republic,2010,World,Consumer goods,Import,Import(US$ Mil),6912.47729299999
Syrian Arab Republic,2010,World,Intermediate goods,Import,Import(US$ Mil),6246.75887200001
Syrian Arab Republic,2010,World,Capital goods,Import,Import(US$ Mil),2752.544186
Syrian Arab Republic,2010,World,Raw materials,Import,Import(US$ Mil),1645.539836
Syrian Arab Republic,2010,World,All Products,Export,Exports (in US$ Mil),11352.923632
Syrian Arab Republic,2010,World,All Products,Import,Imports (in US$ Mil),17561.575593
Syrian Arab Republic,2010,World,All Products,Tariff,Duty Free Imports (US$ Thousand),2597234.092
Syrian Arab Republic,2010,...,...,Tariff,No. Of Tariff Agreement,2
