Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Turks and Caicos Isl.,2012,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,11.049892
Turks and Caicos Isl.,2012,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,0.762604
Turks and Caicos Isl.,2012,Haiti,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,0.01175
Turks and Caicos Isl.,2012,Dominican Republic,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,0.005556
Turks and Caicos Isl.,2012,Ukraine,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,0.00036
Turks and Caicos Isl.,2012,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,202.468152
Turks and Caicos Isl.,2012,"Bahamas, The",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,37.120573
Turks and Caicos Isl.,2012,Unspecified,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,24.378441
Turks and Caicos Isl.,2012,Switzerland,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1.743843
Turks and Caicos Isl.,2012,Mexico,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,0.479441
Turks and Caicos Isl.,2012,World,Vegetable,Export,Export(US$ Mil),0.000384
Turks and Caicos Isl.,2012,World,Textiles and Clothing,Export,Export(US$ Mil),0.018853
Turks and Caicos Isl.,2012,World,Intermediate goods,Export,Export(US$ Mil),0.110304
Turks and Caicos Isl.,2012,World,Fuels,Export,Export(US$ Mil),0.00124
Turks and Caicos Isl.,2012,World,Metals,Export,Export(US$ Mil),0.35773
Turks and Caicos Isl.,2012,World,Food Products,Export,Export(US$ Mil),0.015721
Turks and Caicos Isl.,2012,World,Footwear,Export,Export(US$ Mil),0.002925
Turks and Caicos Isl.,2012,World,Consumer goods,Export,Export(US$ Mil),8.136482
Turks and Caicos Isl.,2012,World,Minerals,Export,Export(US$ Mil),0.010228
Turks and Caicos Isl.,2012,World,Stone and Glass,Export,Export(US$ Mil),0.280091
Turks and Caicos Isl.,2012,World,Capital goods,Export,Export(US$ Mil),1.294761
Turks and Caicos Isl.,2012,World,Plastic or Rubber,Export,Export(US$ Mil),0.016006
Turks and Caicos Isl.,2012,World,Transportation,Export,Export(US$ Mil),0.51424
Turks and Caicos Isl.,2012,World,Chemicals,Export,Export(US$ Mil),0.008803
Turks and Caicos Isl.,2012,World,Mach and Elec,Export,Export(US$ Mil),0.853636
Turks and Caicos Isl.,2012,World,Hides and Skins,Export,Export(US$ Mil),0.00077
Turks and Caicos Isl.,2012,World,Miscellaneous,Export,Export(US$ Mil),0.441338
Turks and Caicos Isl.,2012,World,Animal,Export,Export(US$ Mil),1.984627
Turks and Caicos Isl.,2012,World,Wood,Export,Export(US$ Mil),7.323671
Turks and Caicos Isl.,2012,World,Raw materials,Export,Export(US$ Mil),2.037895
Turks and Caicos Isl.,2012,World,Intermediate goods,Import,Import(US$ Mil),19.36676
Turks and Caicos Isl.,2012,World,Raw materials,Import,Import(US$ Mil),27.748604
Turks and Caicos Isl.,2012,World,Consumer goods,Import,Import(US$ Mil),188.791023
Turks and Caicos Isl.,2012,World,Capital goods,Import,Import(US$ Mil),29.073744
Turks and Caicos Isl.,2012,World,All Products,Export,Exports (in US$ Mil),11.830262
Turks and Caicos Isl.,2012,World,All Products,Import,Imports (in US$ Mil),268.531134
Turks and Caicos Isl.,2012,...,...,Import,No. Of Import partners,30
