Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Chad,1995,World,All Products,Tariff,Duty Free Imports (US$ Thousand),1566.509
Chad,1995,...,...,Tariff,No. Of Tariff Agreement,7
Chad,2019,...,...,Others,Ease of Doing Business Rank,182
Chad,2019,...,...,Others,Trading Across Borders Rank,173
Chad,2018,...,...,Others,Population,15477751
Chad,2018,...,...,Others,CPIA Trade Ratings,3
Chad,2016,...,...,Others,LPI Score,2.164453
Chad,2016,...,...,Others,LPI Rank,145
Chad,1995,World,Capital goods,Tariff,Weighted Average (%),13.5658043196189
Chad,1995,World,Consumer goods,Tariff,Weighted Average (%),15.0383400173582
Chad,1995,World,Intermediate goods,Tariff,Weighted Average (%),14.2739364667874
Chad,1995,World,Raw materials,Tariff,Weighted Average (%),19.0153256676884
Chad,1995,World,All Products,Tariff,Simple Average (%),17.0800973009138
Chad,1995,World,All Products,Tariff,Weighted Average (%),14.5800678988311
Chad,1995,World,All Products,Tariff,Maximum Rate (%),30
Chad,1995,World,All Products,Tariff,Duty Free Tariff Lines Share (%),0.535659626568717
