Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Thailand,2021,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,41225.33026428
Thailand,2021,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,36577.24720994
Thailand,2021,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,24558.18272485
Thailand,2021,Vietnam,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,12276.40396738
Thailand,2021,Malaysia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,11875.49098068
Thailand,2021,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,66426.5481897199
Thailand,2021,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,35572.36237063
Thailand,2021,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,14575.60142618
Thailand,2021,Malaysia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,12050.78465097
Thailand,2021,"Other Asia, nes",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,10486.36773779
Thailand,2021,World,Chemicals,Export,Export(US$ Mil),14064.37399366
Thailand,2021,World,Mach and Elec,Export,Export(US$ Mil),84323.00054816
Thailand,2021,World,Hides and Skins,Export,Export(US$ Mil),1308.74277317
Thailand,2021,World,Miscellaneous,Export,Export(US$ Mil),9188.3262246
Thailand,2021,World,Animal,Export,Export(US$ Mil),3288.22337622
Thailand,2021,World,Wood,Export,Export(US$ Mil),5327.8444249
Thailand,2021,World,Raw materials,Export,Export(US$ Mil),19673.09602312
Thailand,2021,World,Fuels,Export,Export(US$ Mil),9635.68382338
Thailand,2021,World,Metals,Export,Export(US$ Mil),15197.58312602
Thailand,2021,World,Plastic or Rubber,Export,Export(US$ Mil),35263.08577894
Thailand,2021,World,Transportation,Export,Export(US$ Mil),33608.37093872
Thailand,2021,World,Minerals,Export,Export(US$ Mil),1030.82938924
Thailand,2021,World,Stone and Glass,Export,Export(US$ Mil),12155.68791728
Thailand,2021,World,Capital goods,Export,Export(US$ Mil),102899.07416931
Thailand,2021,World,Vegetable,Export,Export(US$ Mil),15211.23025199
Thailand,2021,World,Textiles and Clothing,Export,Export(US$ Mil),6527.72780898
Thailand,2021,World,Intermediate goods,Export,Export(US$ Mil),56942.3754743799
Thailand,2021,World,Food Products,Export,Export(US$ Mil),19864.03135705
Thailand,2021,World,Footwear,Export,Export(US$ Mil),680.05452442
Thailand,2021,World,Consumer goods,Export,Export(US$ Mil),87087.5191048201
Thailand,2021,World,Intermediate goods,Import,Import(US$ Mil),82422.2677757601
Thailand,2021,World,Capital goods,Import,Import(US$ Mil),90227.90429726
Thailand,2021,World,Raw materials,Import,Import(US$ Mil),41017.6559452801
Thailand,2021,World,Consumer goods,Import,Import(US$ Mil),54444.1539248601
Thailand,2021,World,All Products,Export,Exports (in US$ Mil),266674.79625673
Thailand,2021,World,All Products,Import,Imports (in US$ Mil),268205.27379865
Thailand,2021,World,All Products,Tariff,Duty Free Imports (US$ Thousand),163793824.855672
Thailand,2021,...,...,Tariff,No. Of Tariff Agreement,16
Thailand,2021,...,...,Import,No. Of Import partners,231
Thailand,2021,...,...,Import,No. Of Import products,4444
Thailand,2021,...,...,Export,No. Of Export partners,224
Thailand,2021,...,...,Export,No. Of Export products,4276
Thailand,,...,...,Others,Services Trade Restrictions Index - Over All,48
Thailand,2016,...,...,Others,LPI Score,3.2551
Thailand,2019,...,...,Others,Ease of Doing Business Rank,21
Thailand,2015,...,...,Others,No Of NTM Affected Products (HS 6 Digit),5205
Thailand,2015,...,...,Others,No Of NTM Measures,78
Thailand,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.1042002
Thailand,2013,...,...,Others,Temporary Trade Barriers in Effect - Weighted Average,1.662310719
Thailand,2018,...,...,Others,Population,69428524
Thailand,2016,...,...,Others,LPI Rank,45
Thailand,2013,...,...,Others,Temporary Trade Barriers in Effect - Simple Average,0.7361487746
Thailand,2019,...,...,Others,Trading Across Borders Rank,62
Thailand,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.1042005
Thailand,2021,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,15.459
Thailand,2021,China,All Products,Export,Partner share(%)-Top 5 Export Partner,13.716
Thailand,2021,Japan,All Products,Export,Partner share(%)-Top 5 Export Partner,9.209
Thailand,2021,Vietnam,All Products,Export,Partner share(%)-Top 5 Export Partner,4.6035
Thailand,2021,Malaysia,All Products,Export,Partner share(%)-Top 5 Export Partner,4.4532
Thailand,2021,China,All Products,Import,Partner share(%)-Top 5 Import Partner,24.7671
Thailand,2021,Japan,All Products,Import,Partner share(%)-Top 5 Import Partner,13.2631
Thailand,2021,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,5.4345
Thailand,2021,Malaysia,All Products,Import,Partner share(%)-Top 5 Import Partner,4.4931
Thailand,2021,"Other Asia, nes",All Products,Import,Partner share(%)-Top 5 Import Partner,3.9098
Thailand,2021,World,Fuels,Export,Export Product share(%),3.6133
Thailand,2021,World,Metals,Export,Export Product share(%),5.6989
Thailand,2021,World,Minerals,Export,Export Product share(%),0.3865
Thailand,2021,World,Stone and Glass,Export,Export Product share(%),4.5582
Thailand,2021,World,Capital goods,Export,Export Product share(%),38.586
Thailand,2021,World,Plastic or Rubber,Export,Export Product share(%),13.2233
Thailand,2021,World,Transportation,Export,Export Product share(%),12.6028
Thailand,2021,World,Chemicals,Export,Export Product share(%),5.274
Thailand,2021,World,Mach and Elec,Export,Export Product share(%),31.6202
Thailand,2021,World,Vegetable,Export,Export Product share(%),5.704
Thailand,2021,World,Textiles and Clothing,Export,Export Product share(%),2.4478
Thailand,2021,World,Intermediate goods,Export,Export Product share(%),21.3527
Thailand,2021,World,Hides and Skins,Export,Export Product share(%),0.4908
Thailand,2021,World,Miscellaneous,Export,Export Product share(%),3.4455
Thailand,2021,World,Animal,Export,Export Product share(%),1.233
Thailand,2021,World,Wood,Export,Export Product share(%),1.9979
Thailand,2021,World,Raw materials,Export,Export Product share(%),7.3772
Thailand,2021,World,Food Products,Export,Export Product share(%),7.4488
