Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Turkmenistan,2000,Russian Federation,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1029.302693
Turkmenistan,2000,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,401.345654
Turkmenistan,2000,"Iran, Islamic Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,241.958812
Turkmenistan,2000,Turkey,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,185.996787
Turkmenistan,2000,Ukraine,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,164.887207
Turkmenistan,2000,Russian Federation,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,254.491486
Turkmenistan,2000,Turkey,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,253.252016
Turkmenistan,2000,Ukraine,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,214.285212
Turkmenistan,2000,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,146.63084
Turkmenistan,2000,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,144.350126
Turkmenistan,2000,World,Fuels,Export,Export(US$ Mil),2029.733281
Turkmenistan,2000,World,Metals,Export,Export(US$ Mil),9.628296
Turkmenistan,2000,World,Minerals,Export,Export(US$ Mil),2.001205
Turkmenistan,2000,World,Stone and Glass,Export,Export(US$ Mil),0.897051
Turkmenistan,2000,World,Capital goods,Export,Export(US$ Mil),12.506353
Turkmenistan,2000,World,Food Products,Export,Export(US$ Mil),1.353339
Turkmenistan,2000,World,Footwear,Export,Export(US$ Mil),
Turkmenistan,2000,World,Consumer goods,Export,Export(US$ Mil),1810.304668
Turkmenistan,2000,World,Animal,Export,Export(US$ Mil),0.742715
Turkmenistan,2000,World,Wood,Export,Export(US$ Mil),0.025787
Turkmenistan,2000,World,Raw materials,Export,Export(US$ Mil),500.491915
Turkmenistan,2000,World,Plastic or Rubber,Export,Export(US$ Mil),0.155505
Turkmenistan,2000,World,Transportation,Export,Export(US$ Mil),14.221207
Turkmenistan,2000,World,Hides and Skins,Export,Export(US$ Mil),5.472569
Turkmenistan,2000,World,Miscellaneous,Export,Export(US$ Mil),38.529544
Turkmenistan,2000,World,Chemicals,Export,Export(US$ Mil),11.260053
Turkmenistan,2000,World,Mach and Elec,Export,Export(US$ Mil),1.271139
Turkmenistan,2000,World,Vegetable,Export,Export(US$ Mil),14.600054
Turkmenistan,2000,World,Textiles and Clothing,Export,Export(US$ Mil),375.653799
Turkmenistan,2000,World,Intermediate goods,Export,Export(US$ Mil),144.212647
Turkmenistan,2000,World,Intermediate goods,Import,Import(US$ Mil),325.964819
Turkmenistan,2000,World,Consumer goods,Import,Import(US$ Mil),542.274249
Turkmenistan,2000,World,Capital goods,Import,Import(US$ Mil),752.635846
Turkmenistan,2000,World,Raw materials,Import,Import(US$ Mil),58.982498
Turkmenistan,2000,World,All Products,Export,Exports (in US$ Mil),2505.545544
Turkmenistan,2000,World,All Products,Import,Imports (in US$ Mil),1785.54035
Turkmenistan,1998,World,All Products,Tariff,Duty Free Imports (US$ Thousand),1381384.724
Turkmenistan,1998,...,...,Tariff,No. Of Tariff Agreement,4
Turkmenistan,2000,...,...,Import,No. Of Import partners,75
Turkmenistan,2000,...,...,Import,No. Of Import products,3128
Turkmenistan,2000,...,...,Export,No. Of Export partners,58
Turkmenistan,2000,...,...,Export,No. Of Export products,418
Turkmenistan,2018,...,...,Others,Population,5850908
