Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Tonga,2014,New Zealand,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,4.377102
Tonga,2014,"Hong Kong, China",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,3.348616
Tonga,2014,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2.920535
Tonga,2014,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2.481265
Tonga,2014,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2.053957
Tonga,2014,New Zealand,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,62.424969
Tonga,2014,Singapore,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,46.101535
Tonga,2014,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,23.684055
Tonga,2014,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,17.46215
Tonga,2014,Fiji,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,17.063674
Tonga,2014,World,Minerals,Export,Export(US$ Mil),0.000618
Tonga,2014,World,Stone and Glass,Export,Export(US$ Mil),0.132596
Tonga,2014,World,Capital goods,Export,Export(US$ Mil),0.588757999999999
Tonga,2014,World,Food Products,Export,Export(US$ Mil),0.454691
Tonga,2014,World,Footwear,Export,Export(US$ Mil),0.001006
Tonga,2014,World,Consumer goods,Export,Export(US$ Mil),4.50237200000001
Tonga,2014,World,Plastic or Rubber,Export,Export(US$ Mil),0.073535
Tonga,2014,World,Transportation,Export,Export(US$ Mil),0.106328
Tonga,2014,World,Chemicals,Export,Export(US$ Mil),0.314968
Tonga,2014,World,Mach and Elec,Export,Export(US$ Mil),0.491708
Tonga,2014,World,Vegetable,Export,Export(US$ Mil),6.783076
Tonga,2014,World,Textiles and Clothing,Export,Export(US$ Mil),0.022754
Tonga,2014,World,Intermediate goods,Export,Export(US$ Mil),3.18403
Tonga,2014,World,Hides and Skins,Export,Export(US$ Mil),0.001813
Tonga,2014,World,Miscellaneous,Export,Export(US$ Mil),0.137463
Tonga,2014,World,Fuels,Export,Export(US$ Mil),2.928009
Tonga,2014,World,Metals,Export,Export(US$ Mil),0.261054
Tonga,2014,World,Animal,Export,Export(US$ Mil),6.666294
Tonga,2014,World,Wood,Export,Export(US$ Mil),0.503585
