Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Trinidad and Tobago,2021,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,3586.26079163569
Trinidad and Tobago,2021,Guyana,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,577.19731048735
Trinidad and Tobago,2021,Mexico,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,372.126531333837
Trinidad and Tobago,2021,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,315.004186780757
Trinidad and Tobago,2021,Belgium,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,307.295060860497
Trinidad and Tobago,2021,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1996.02132208962
Trinidad and Tobago,2021,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,605.670476723592
Trinidad and Tobago,2021,Mexico,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,403.593085593767
Trinidad and Tobago,2021,Brazil,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,323.026026837143
Trinidad and Tobago,2021,Canada,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,259.880603078314
Trinidad and Tobago,2021,World,Chemicals,Export,Export(US$ Mil),4121.19614064777
Trinidad and Tobago,2021,World,Mach and Elec,Export,Export(US$ Mil),154.154178220534
Trinidad and Tobago,2021,World,Vegetable,Export,Export(US$ Mil),28.4371063260156
Trinidad and Tobago,2021,World,Textiles and Clothing,Export,Export(US$ Mil),7.58309097659916
Trinidad and Tobago,2021,World,Intermediate goods,Export,Export(US$ Mil),5004.2116776266
Trinidad and Tobago,2021,World,Minerals,Export,Export(US$ Mil),36.1058894523123
Trinidad and Tobago,2021,World,Stone and Glass,Export,Export(US$ Mil),35.984260496074
Trinidad and Tobago,2021,World,Capital goods,Export,Export(US$ Mil),481.109056948864
Trinidad and Tobago,2021,World,Fuels,Export,Export(US$ Mil),2350.17577672134
Trinidad and Tobago,2021,World,Metals,Export,Export(US$ Mil),910.977408482605
Trinidad and Tobago,2021,World,Food Products,Export,Export(US$ Mil),387.333596731077
Trinidad and Tobago,2021,World,Footwear,Export,Export(US$ Mil),0.21123097958876
Trinidad and Tobago,2021,World,Consumer goods,Export,Export(US$ Mil),1789.24954326677
Trinidad and Tobago,2021,World,Plastic or Rubber,Export,Export(US$ Mil),66.8409120482709
Trinidad and Tobago,2021,World,Transportation,Export,Export(US$ Mil),320.32793037503
Trinidad and Tobago,2021,World,Hides and Skins,Export,Export(US$ Mil),0.29777153857768
Trinidad and Tobago,2021,World,Miscellaneous,Export,Export(US$ Mil),105.172761151234
Trinidad and Tobago,2021,World,Animal,Export,Export(US$ Mil),14.8816628518383
Trinidad and Tobago,2021,World,Wood,Export,Export(US$ Mil),80.548907917243
Trinidad and Tobago,2021,World,Raw materials,Export,Export(US$ Mil),1288.61939638981
Trinidad and Tobago,2021,World,Intermediate goods,Import,Import(US$ Mil),1294.03354218138
Trinidad and Tobago,2021,World,Consumer goods,Import,Import(US$ Mil),1856.51317206333
Trinidad and Tobago,2021,World,Capital goods,Import,Import(US$ Mil),1736.12357578743
Trinidad and Tobago,2021,World,Raw materials,Import,Import(US$ Mil),869.510404589917
Trinidad and Tobago,2021,World,All Products,Export,Exports (in US$ Mil),8620.22862491611
Trinidad and Tobago,2021,World,All Products,Import,Imports (in US$ Mil),5760.69889564032
Trinidad and Tobago,2021,World,All Products,Tariff,Duty Free Imports (US$ Thousand),3361228.81237958
Trinidad and Tobago,2021,...,...,Tariff,No. Of Tariff Agreement,1
Trinidad and Tobago,2021,...,...,Import,No. Of Import partners,188
Trinidad and Tobago,2021,...,...,Import,No. Of Import products,3669
Trinidad and Tobago,2021,...,...,Export,No. Of Export partners,123
Trinidad and Tobago,2021,...,...,Export,No. Of Export products,2571
Trinidad and Tobago,2019,...,...,Others,Trading Across Borders Rank,134
Trinidad and Tobago,2018,...,...,Others,Population,1389858
Trinidad and Tobago,2016,...,...,Others,LPI Score,2.398418
Trinidad and Tobago,2019,...,...,Others,Ease of Doing Business Rank,105
Trinidad and Tobago,2010,...,...,Others,No Of NTM Affected Products (HS 6 Digit),1
Trinidad and Tobago,2010,...,...,Others,No Of NTM Measures,1
Trinidad and Tobago,2016,...,...,Others,LPI Rank,121
Trinidad and Tobago,,...,...,Others,Services Trade Restrictions Index - Over All,10.9
Trinidad and Tobago,2021,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,41.6029
Trinidad and Tobago,2021,Guyana,All Products,Export,Partner share(%)-Top 5 Export Partner,6.6958
Trinidad and Tobago,2021,Mexico,All Products,Export,Partner share(%)-Top 5 Export Partner,4.3169
Trinidad and Tobago,2021,France,All Products,Export,Partner share(%)-Top 5 Export Partner,3.6542
Trinidad and Tobago,2021,Belgium,All Products,Export,Partner share(%)-Top 5 Export Partner,3.5648
Trinidad and Tobago,2021,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,34.6489
Trinidad and Tobago,2021,China,All Products,Import,Partner share(%)-Top 5 Import Partner,10.5138
Trinidad and Tobago,2021,Mexico,All Products,Import,Partner share(%)-Top 5 Import Partner,7.006
Trinidad and Tobago,2021,Brazil,All Products,Import,Partner share(%)-Top 5 Import Partner,5.6074
Trinidad and Tobago,2021,Canada,All Products,Import,Partner share(%)-Top 5 Import Partner,4.5113
Trinidad and Tobago,2021,World,Vegetable,Export,Export Product share(%),0.3299
Trinidad and Tobago,2021,World,Textiles and Clothing,Export,Export Product share(%),0.088
Trinidad and Tobago,2021,World,Intermediate goods,Export,Export Product share(%),58.052
Trinidad and Tobago,2021,World,Food Products,Export,Export Product share(%),4.4933
Trinidad and Tobago,2021,World,Footwear,Export,Export Product share(%),0.0025
Trinidad and Tobago,2021,World,Consumer goods,Export,Export Product share(%),20.7564
Trinidad and Tobago,2021,World,Minerals,Export,Export Product share(%),0.4189
Trinidad and Tobago,2021,World,Stone and Glass,Export,Export Product share(%),0.4174
Trinidad and Tobago,2021,World,Capital goods,Export,Export Product share(%),5.5812
Trinidad and Tobago,2021,World,Fuels,Export,Export Product share(%),27.2635
Trinidad and Tobago,2021,World,Metals,Export,Export Product share(%),10.5679
Trinidad and Tobago,2021,World,Plastic or Rubber,Export,Export Product share(%),0.7754
Trinidad and Tobago,2021,World,Transportation,Export,Export Product share(%),3.716
Trinidad and Tobago,2021,World,Chemicals,Export,Export Product share(%),47.8084
Trinidad and Tobago,2021,World,Mach and Elec,Export,Export Product share(%),1.7883
Trinidad and Tobago,2021,World,Hides and Skins,Export,Export Product share(%),0.0035
Trinidad and Tobago,2021,World,Miscellaneous,Export,Export Product share(%),1.2201
Trinidad and Tobago,2021,World,Animal,Export,Export Product share(%),0.1726
Trinidad and Tobago,2021,World,Wood,Export,Export Product share(%),0.9344
Trinidad and Tobago,2021,World,Raw materials,Export,Export Product share(%),14.9488
Trinidad and Tobago,2021,World,Intermediate goods,Import,Import Product share(%),22.4631
