Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Tunisia,2021,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,4019.59666002024
Tunisia,2021,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,3067.0230369649
Tunisia,2021,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2136.27988454217
Tunisia,2021,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1046.02721342834
Tunisia,2021,Spain,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,678.923580394097
Tunisia,2021,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,3034.07778214294
Tunisia,2021,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2570.44073463371
Tunisia,2021,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2338.3523822802
Tunisia,2021,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1470.88262591595
Tunisia,2021,Turkey,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1215.40269312776
Tunisia,2021,World,Fuels,Export,Export(US$ Mil),1094.48749195474
Tunisia,2021,World,Metals,Export,Export(US$ Mil),993.494197232959
Tunisia,2021,World,Plastic or Rubber,Export,Export(US$ Mil),645.787677612022
Tunisia,2021,World,Transportation,Export,Export(US$ Mil),906.421370200235
Tunisia,2021,World,Minerals,Export,Export(US$ Mil),232.860675038064
Tunisia,2021,World,Stone and Glass,Export,Export(US$ Mil),170.38824938766
Tunisia,2021,World,Capital goods,Export,Export(US$ Mil),3688.6757745079
Tunisia,2021,World,Food Products,Export,Export(US$ Mil),377.890849186
Tunisia,2021,World,Footwear,Export,Export(US$ Mil),471.429628378112
Tunisia,2021,World,Consumer goods,Export,Export(US$ Mil),7841.98507696581
Tunisia,2021,World,Chemicals,Export,Export(US$ Mil),1128.7574312154
Tunisia,2021,World,Mach and Elec,Export,Export(US$ Mil),5042.0585986069
Tunisia,2021,World,Hides and Skins,Export,Export(US$ Mil),97.8681759240188
Tunisia,2021,World,Miscellaneous,Export,Export(US$ Mil),1075.05174849829
Tunisia,2021,World,Animal,Export,Export(US$ Mil),242.3712212431
Tunisia,2021,World,Wood,Export,Export(US$ Mil),289.100171468687
Tunisia,2021,World,Raw materials,Export,Export(US$ Mil),1660.56393472057
Tunisia,2021,World,Vegetable,Export,Export(US$ Mil),1195.07830788817
Tunisia,2021,World,Textiles and Clothing,Export,Export(US$ Mil),2732.15284771012
Tunisia,2021,World,Intermediate goods,Export,Export(US$ Mil),3489.70023630224
Tunisia,2021,World,Capital goods,Import,Import(US$ Mil),5108.20733166587
Tunisia,2021,World,Consumer goods,Import,Import(US$ Mil),7151.4270618891
Tunisia,2021,World,Raw materials,Import,Import(US$ Mil),2944.40498744019
Tunisia,2021,World,Intermediate goods,Import,Import(US$ Mil),7218.65247765725
Tunisia,2021,World,All Products,Export,Exports (in US$ Mil),16695.1986415445
Tunisia,2021,World,All Products,Import,Imports (in US$ Mil),22496.2049488906
Tunisia,2016,World,All Products,Tariff,Duty Free Imports (US$ Thousand),9686323.496
Tunisia,2016,...,...,Tariff,No. Of Tariff Agreement,1
Tunisia,2021,...,...,Import,No. Of Import partners,170
Tunisia,2021,...,...,Import,No. Of Import products,4036
Tunisia,2021,...,...,Export,No. Of Export partners,158
Tunisia,2021,...,...,Export,No. Of Export products,2657
Tunisia,2019,...,...,Others,Trading Across Borders Rank,90
Tunisia,2018,...,...,Others,Population,11565204
Tunisia,2016,...,...,Others,LPI Score,2.496688
Tunisia,2016,...,...,Others,LPI Rank,110
Tunisia,,...,...,Others,Services Trade Restrictions Index - Over All,44.5
Tunisia,2019,...,...,Others,Ease of Doing Business Rank,78
