Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Tuvalu,2005,Fiji,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,0.04855
Tuvalu,2005,New Zealand,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,0.011095
Tuvalu,2005,Indonesia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,0.001522
Tuvalu,2005,Australia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,0.001264
Tuvalu,2005,Australia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,4.351775
Tuvalu,2005,Fiji,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2.543399
Tuvalu,2005,Singapore,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2.260214
Tuvalu,2005,New Zealand,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1.281728
Tuvalu,2005,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,0.66312
Tuvalu,2005,World,Fuels,Export,Export(US$ Mil),0.004472
Tuvalu,2005,World,Metals,Export,Export(US$ Mil),0.00781
Tuvalu,2005,World,Food Products,Export,Export(US$ Mil),
Tuvalu,2005,World,Footwear,Export,Export(US$ Mil),
Tuvalu,2005,World,Consumer goods,Export,Export(US$ Mil),0.01495
Tuvalu,2005,World,Vegetable,Export,Export(US$ Mil),
Tuvalu,2005,World,Textiles and Clothing,Export,Export(US$ Mil),
Tuvalu,2005,World,Intermediate goods,Export,Export(US$ Mil),
Tuvalu,2005,World,Hides and Skins,Export,Export(US$ Mil),
Tuvalu,2005,World,Miscellaneous,Export,Export(US$ Mil),0.022671
Tuvalu,2005,World,Minerals,Export,Export(US$ Mil),
Tuvalu,2005,World,Stone and Glass,Export,Export(US$ Mil),0.000175
Tuvalu,2005,World,Capital goods,Export,Export(US$ Mil),0.014218
Tuvalu,2005,World,Chemicals,Export,Export(US$ Mil),0.000898
Tuvalu,2005,World,Mach and Elec,Export,Export(US$ Mil),0.011704
Tuvalu,2005,World,Animal,Export,Export(US$ Mil),
Tuvalu,2005,World,Wood,Export,Export(US$ Mil),0.007612
Tuvalu,2005,World,Raw materials,Export,Export(US$ Mil),
Tuvalu,2005,World,Plastic or Rubber,Export,Export(US$ Mil),
Tuvalu,2005,World,Transportation,Export,Export(US$ Mil),0.007089
Tuvalu,2005,World,Intermediate goods,Import,Import(US$ Mil),1.006504
Tuvalu,2005,World,Consumer goods,Import,Import(US$ Mil),6.466611
Tuvalu,2005,World,Raw materials,Import,Import(US$ Mil),0.830948
Tuvalu,2005,World,Capital goods,Import,Import(US$ Mil),1.4094
Tuvalu,2005,World,All Products,Export,Exports (in US$ Mil),0.062431
Tuvalu,2005,World,All Products,Import,Imports (in US$ Mil),12.901871
Tuvalu,2005,...,...,Import,No. Of Import partners,28
Tuvalu,2005,...,...,Import,No. Of Import products,525
Tuvalu,2005,...,...,Export,No. Of Export partners,4
Tuvalu,2005,...,...,Export,No. Of Export products,34
Tuvalu,2018,...,...,Others,Population,11508
Tuvalu,2018,...,...,Others,CPIA Trade Ratings,3.5
Tuvalu,2005,Fiji,All Products,Export,Partner share(%)-Top 5 Export Partner,77.7659
Tuvalu,2005,New Zealand,All Products,Export,Partner share(%)-Top 5 Export Partner,17.7716
Tuvalu,2005,Indonesia,All Products,Export,Partner share(%)-Top 5 Export Partner,2.4379
Tuvalu,2005,Australia,All Products,Export,Partner share(%)-Top 5 Export Partner,2.0246
Tuvalu,2005,Australia,All Products,Import,Partner share(%)-Top 5 Import Partner,33.7298
Tuvalu,2005,Fiji,All Products,Import,Partner share(%)-Top 5 Import Partner,19.7134
Tuvalu,2005,Singapore,All Products,Import,Partner share(%)-Top 5 Import Partner,17.5185
Tuvalu,2005,New Zealand,All Products,Import,Partner share(%)-Top 5 Import Partner,9.9344
Tuvalu,2005,China,All Products,Import,Partner share(%)-Top 5 Import Partner,5.1397
Tuvalu,2005,World,Food Products,Export,Export Product share(%),
Tuvalu,2005,World,Footwear,Export,Export Product share(%),
Tuvalu,2005,World,Consumer goods,Export,Export Product share(%),23.9464
Tuvalu,2005,World,Vegetable,Export,Export Product share(%),
Tuvalu,2005,World,Textiles and Clothing,Export,Export Product share(%),
Tuvalu,2005,World,Intermediate goods,Export,Export Product share(%),
Tuvalu,2005,World,Chemicals,Export,Export Product share(%),1.4384
Tuvalu,2005,World,Mach and Elec,Export,Export Product share(%),18.7471
Tuvalu,2005,World,Fuels,Export,Export Product share(%),7.1631
Tuvalu,2005,World,Metals,Export,Export Product share(%),12.5098
Tuvalu,2005,World,Hides and Skins,Export,Export Product share(%),
Tuvalu,2005,World,Miscellaneous,Export,Export Product share(%),36.3137
Tuvalu,2005,World,Plastic or Rubber,Export,Export Product share(%),
Tuvalu,2005,World,Transportation,Export,Export Product share(%),11.3549
Tuvalu,2005,World,Animal,Export,Export Product share(%),
Tuvalu,2005,World,Wood,Export,Export Product share(%),12.1927
Tuvalu,2005,World,Raw materials,Export,Export Product share(%),
Tuvalu,2005,World,Minerals,Export,Export Product share(%),
Tuvalu,2005,World,Stone and Glass,Export,Export Product share(%),0.2803
Tuvalu,2005,World,Capital goods,Export,Export Product share(%),22.7739
Tuvalu,2005,World,Intermediate goods,Import,Import Product share(%),7.8012
Tuvalu,2005,World,Capital goods,Import,Import Product share(%),10.924
Tuvalu,2005,World,Consumer goods,Import,Import Product share(%),50.1215
Tuvalu,2005,World,Raw materials,Import,Import Product share(%),6.4405
Tuvalu,2005,World,All Products,Trade Indicator,World Growth (%),6.12920437475053
Tuvalu,2005,World,All Products,Trade Indicator,Country Growth (%),-24.0840689302446
Tuvalu,2005,...,...,Trade Indicator,Index of export market penetration,1.07771289728416
Tuvalu,2005,...,...,Trade Indicator,HH Market concentration index,0.244858315759012
