Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Tanzania,2021,United Arab Emirates,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1051.73417894194
Tanzania,2021,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1008.69390678
Tanzania,2021,South Africa,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,916.6746845
Tanzania,2021,Switzerland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,526.94484031
Tanzania,2021,Kenya,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,397.224787146662
Tanzania,2021,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2696.19406471
Tanzania,2021,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1359.50660056
Tanzania,2021,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1209.5178372013
Tanzania,2021,Saudi Arabia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,674.116983
Tanzania,2021,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,469.0057569326
Tanzania,2021,World,Fuels,Export,Export(US$ Mil),68.59220394
Tanzania,2021,World,Metals,Export,Export(US$ Mil),145.394947814812
Tanzania,2021,World,Minerals,Export,Export(US$ Mil),247.54919211
Tanzania,2021,World,Stone and Glass,Export,Export(US$ Mil),3066.33792947
Tanzania,2021,World,Capital goods,Export,Export(US$ Mil),101.699565053708
Tanzania,2021,World,Vegetable,Export,Export(US$ Mil),1493.08292939573
Tanzania,2021,World,Textiles and Clothing,Export,Export(US$ Mil),248.52657735
Tanzania,2021,World,Intermediate goods,Export,Export(US$ Mil),3714.96629868742
Tanzania,2021,World,Chemicals,Export,Export(US$ Mil),213.277303627976
Tanzania,2021,World,Mach and Elec,Export,Export(US$ Mil),48.8720318307039
Tanzania,2021,World,Plastic or Rubber,Export,Export(US$ Mil),68.4576538486007
Tanzania,2021,World,Transportation,Export,Export(US$ Mil),42.58220437
Tanzania,2021,World,Food Products,Export,Export(US$ Mil),323.67575787214
Tanzania,2021,World,Footwear,Export,Export(US$ Mil),22.23955942
Tanzania,2021,World,Consumer goods,Export,Export(US$ Mil),970.151054127282
Tanzania,2021,World,Hides and Skins,Export,Export(US$ Mil),6.36630901
Tanzania,2021,World,Miscellaneous,Export,Export(US$ Mil),19.6034473749391
Tanzania,2021,World,Animal,Export,Export(US$ Mil),203.816519018746
Tanzania,2021,World,Wood,Export,Export(US$ Mil),172.48832029
Tanzania,2021,World,Raw materials,Export,Export(US$ Mil),1604.04596887524
Tanzania,2021,World,Intermediate goods,Import,Import(US$ Mil),3101.44232383
Tanzania,2021,World,Consumer goods,Import,Import(US$ Mil),4777.3911886413
Tanzania,2021,World,Raw materials,Import,Import(US$ Mil),320.48810246
