Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Uganda,2020,United Arab Emirates,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1844.838894
Uganda,2020,Kenya,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,465.547821
Uganda,2020,South Sudan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,357.3391
Uganda,2020,"Congo, Dem. Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,267.18595
Uganda,2020,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,138.052359
Uganda,2020,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1351.952033
Uganda,2020,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,959.110452
Uganda,2020,Kenya,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,773.23042
Uganda,2020,Tanzania,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,743.682318
Uganda,2020,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,495.865802
Uganda,2020,World,Vegetable,Export,Export(US$ Mil),1046.409665
Uganda,2020,World,Textiles and Clothing,Export,Export(US$ Mil),60.289109
Uganda,2020,World,Intermediate goods,Export,Export(US$ Mil),2405.237021
Uganda,2020,World,Chemicals,Export,Export(US$ Mil),104.822162
Uganda,2020,World,Mach and Elec,Export,Export(US$ Mil),29.031614
Uganda,2020,World,Fuels,Export,Export(US$ Mil),98.572556
Uganda,2020,World,Metals,Export,Export(US$ Mil),108.648123
Uganda,2020,World,Food Products,Export,Export(US$ Mil),372.646348
Uganda,2020,World,Footwear,Export,Export(US$ Mil),8.069795
Uganda,2020,World,Consumer goods,Export,Export(US$ Mil),637.671644
Uganda,2020,World,Minerals,Export,Export(US$ Mil),76.416001
Uganda,2020,World,Stone and Glass,Export,Export(US$ Mil),1835.265564
Uganda,2020,World,Capital goods,Export,Export(US$ Mil),62.405008
Uganda,2020,World,Plastic or Rubber,Export,Export(US$ Mil),43.769213
Uganda,2020,World,Transportation,Export,Export(US$ Mil),57.951982
Uganda,2020,World,Hides and Skins,Export,Export(US$ Mil),10.456332
Uganda,2020,World,Miscellaneous,Export,Export(US$ Mil),13.284888
Uganda,2020,World,Animal,Export,Export(US$ Mil),214.662977
