Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Ukraine,2021,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,7992.49176591
Ukraine,2021,Poland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,4979.1346999
Ukraine,2021,Turkey,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,3999.6179273
Ukraine,2021,Russian Federation,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,3349.11952111
Ukraine,2021,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,3240.25559885
Ukraine,2021,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,10637.83447288
Ukraine,2021,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,6068.1122577
Ukraine,2021,Russian Federation,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,5850.09268746
Ukraine,2021,Poland,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,4894.8238515
Ukraine,2021,Belarus,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,4706.52555653
Ukraine,2021,World,Hides and Skins,Export,Export(US$ Mil),167.37511973
Ukraine,2021,World,Miscellaneous,Export,Export(US$ Mil),1562.40613967
Ukraine,2021,World,Chemicals,Export,Export(US$ Mil),2730.95658375
Ukraine,2021,World,Mach and Elec,Export,Export(US$ Mil),5299.65117836
Ukraine,2021,World,Minerals,Export,Export(US$ Mil),7555.55074259
Ukraine,2021,World,Stone and Glass,Export,Export(US$ Mil),665.44061043
Ukraine,2021,World,Capital goods,Export,Export(US$ Mil),3567.97071375
Ukraine,2021,World,Plastic or Rubber,Export,Export(US$ Mil),1072.61555419
Ukraine,2021,World,Transportation,Export,Export(US$ Mil),677.28957769
Ukraine,2021,World,Fuels,Export,Export(US$ Mil),743.16974768
Ukraine,2021,World,Metals,Export,Export(US$ Mil),15106.68538823
Ukraine,2021,World,Vegetable,Export,Export(US$ Mil),21600.45085913
Ukraine,2021,World,Textiles and Clothing,Export,Export(US$ Mil),863.98510753
Ukraine,2021,World,Intermediate goods,Export,Export(US$ Mil),28238.4159315
Ukraine,2021,World,Animal,Export,Export(US$ Mil),1325.29619433
Ukraine,2021,World,Wood,Export,Export(US$ Mil),2546.30753744
Ukraine,2021,World,Raw materials,Export,Export(US$ Mil),23844.16598213
Ukraine,2021,World,Food Products,Export,Export(US$ Mil),3765.3543532
Ukraine,2021,World,Footwear,Export,Export(US$ Mil),187.74081644
Ukraine,2021,World,Consumer goods,Export,Export(US$ Mil),9979.68870053002
Ukraine,2021,World,Capital goods,Import,Import(US$ Mil),16474.6137143
Ukraine,2021,World,Raw materials,Import,Import(US$ Mil),7213.99160451
Ukraine,2021,World,Consumer goods,Import,Import(US$ Mil),30791.48969165
Ukraine,2021,World,Intermediate goods,Import,Import(US$ Mil),15212.50361316
Ukraine,2021,World,All Products,Export,Exports (in US$ Mil),65870.27551039
Ukraine,2021,World,All Products,Import,Imports (in US$ Mil),69962.81630435
Ukraine,2021,World,All Products,Tariff,Duty Free Imports (US$ Thousand),41668500.30315
Ukraine,2021,...,...,Tariff,No. Of Tariff Agreement,16
Ukraine,2021,...,...,Import,No. Of Import partners,217
Ukraine,2021,...,...,Import,No. Of Import products,4311
Ukraine,2021,...,...,Export,No. Of Export partners,197
Ukraine,2021,...,...,Export,No. Of Export products,3774
Ukraine,,...,...,Others,Services Trade Restrictions Index - Over All,27.2
Ukraine,2018,...,...,Others,Population,44622516
Ukraine,2016,...,...,Others,LPI Score,2.736683
Ukraine,2016,...,...,Others,LPI Rank,80
Ukraine,2019,...,...,Others,Ease of Doing Business Rank,64
Ukraine,2013,...,...,Others,No Of NTM Affected Products (HS 6 Digit),23
Ukraine,2013,...,...,Others,No Of NTM Measures,3
Ukraine,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.2042678
Ukraine,2019,...,...,Others,Trading Across Borders Rank,74
Ukraine,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.1947729
Ukraine,2021,China,All Products,Export,Partner share(%)-Top 5 Export Partner,12.1337
Ukraine,2021,Poland,All Products,Export,Partner share(%)-Top 5 Export Partner,7.559
Ukraine,2021,Turkey,All Products,Export,Partner share(%)-Top 5 Export Partner,6.072
Ukraine,2021,Russian Federation,All Products,Export,Partner share(%)-Top 5 Export Partner,5.0844
Ukraine,2021,Italy,All Products,Export,Partner share(%)-Top 5 Export Partner,4.9191
Ukraine,2021,China,All Products,Import,Partner share(%)-Top 5 Import Partner,15.205
Ukraine,2021,Germany,All Products,Import,Partner share(%)-Top 5 Import Partner,8.6733
Ukraine,2021,Russian Federation,All Products,Import,Partner share(%)-Top 5 Import Partner,8.3617
Ukraine,2021,Poland,All Products,Import,Partner share(%)-Top 5 Import Partner,6.9963
Ukraine,2021,Belarus,All Products,Import,Partner share(%)-Top 5 Import Partner,6.7272
Ukraine,2021,World,Plastic or Rubber,Export,Export Product share(%),1.6284
Ukraine,2021,World,Transportation,Export,Export Product share(%),1.0282
Ukraine,2021,World,Fuels,Export,Export Product share(%),1.1282
Ukraine,2021,World,Metals,Export,Export Product share(%),22.934
Ukraine,2021,World,Vegetable,Export,Export Product share(%),32.7924
Ukraine,2021,World,Textiles and Clothing,Export,Export Product share(%),1.3116
Ukraine,2021,World,Intermediate goods,Export,Export Product share(%),42.8697
Ukraine,2021,World,Minerals,Export,Export Product share(%),11.4703
Ukraine,2021,World,Stone and Glass,Export,Export Product share(%),1.0102
Ukraine,2021,World,Capital goods,Export,Export Product share(%),5.4167
Ukraine,2021,World,Hides and Skins,Export,Export Product share(%),0.2541
Ukraine,2021,World,Miscellaneous,Export,Export Product share(%),2.3719
Ukraine,2021,World,Animal,Export,Export Product share(%),2.012
Ukraine,2021,World,Wood,Export,Export Product share(%),3.8656
Ukraine,2021,World,Raw materials,Export,Export Product share(%),36.1987
Ukraine,2021,World,Food Products,Export,Export Product share(%),5.7163
Ukraine,2021,World,Footwear,Export,Export Product share(%),0.285
Ukraine,2021,World,Consumer goods,Export,Export Product share(%),15.1505
Ukraine,2021,World,Chemicals,Export,Export Product share(%),4.146
Ukraine,2021,World,Mach and Elec,Export,Export Product share(%),8.0456
Ukraine,2021,World,Capital goods,Import,Import Product share(%),23.5477
Ukraine,2021,World,Raw materials,Import,Import Product share(%),10.3112
Ukraine,2021,World,Intermediate goods,Import,Import Product share(%),21.7437
Ukraine,2021,World,Consumer goods,Import,Import Product share(%),44.0112
Ukraine,2021,World,Capital goods,Tariff,Weighted Average (%),0.775072389647496
Ukraine,2021,World,Raw materials,Tariff,Weighted Average (%),1.1302857135891
Ukraine,2021,World,Consumer goods,Tariff,Weighted Average (%),2.94004520386363
Ukraine,2021,World,Intermediate goods,Tariff,Weighted Average (%),0.794608948151802
Ukraine,2021,World,All Products,Trade Indicator,World Growth (%),12.5883765814344
Ukraine,2021,World,All Products,Trade Indicator,Country Growth (%),17.2360622496121
Ukraine,2021,World,All Products,Tariff,Simple Average (%),2.16379470272562
Ukraine,2021,World,All Products,Tariff,Weighted Average (%),1.71295888270002
Ukraine,2021,World,All Products,Tariff,Maximum Rate (%),50
Ukraine,2021,World,All Products,Tariff,Duty Free Tariff Lines Share (%),71.6226995339003
Ukraine,2021,...,...,Trade Indicator,Index of export market penetration,9.87394501866436
Ukraine,2021,...,...,Trade Indicator,HH Market concentration index,0.0388569939712492
