Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Uruguay,2021,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2598.26136
Uruguay,2021,Brazil,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1742.459379
Uruguay,2021,Free Zones,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1196.329348
Uruguay,2021,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,542.580143
Uruguay,2021,Argentina,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,468.532486
Uruguay,2021,Brazil,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2059.9872952
Uruguay,2021,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1997.32173432
Uruguay,2021,Argentina,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1309.92943885
Uruguay,2021,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,929.693086719999
Uruguay,2021,Nigeria,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,409.66517204
Uruguay,2021,World,Fuels,Export,Export(US$ Mil),539.10125
Uruguay,2021,World,Metals,Export,Export(US$ Mil),82.68398
Uruguay,2021,World,Food Products,Export,Export(US$ Mil),238.553879
Uruguay,2021,World,Footwear,Export,Export(US$ Mil),0.22723
Uruguay,2021,World,Consumer goods,Export,Export(US$ Mil),1284.891244
Uruguay,2021,World,Vegetable,Export,Export(US$ Mil),2108.893781
Uruguay,2021,World,Textiles and Clothing,Export,Export(US$ Mil),203.814807
Uruguay,2021,World,Intermediate goods,Export,Export(US$ Mil),2487.032297
Uruguay,2021,World,Chemicals,Export,Export(US$ Mil),426.881621
Uruguay,2021,World,Mach and Elec,Export,Export(US$ Mil),90.254031
Uruguay,2021,World,Hides and Skins,Export,Export(US$ Mil),158.666649
Uruguay,2021,World,Miscellaneous,Export,Export(US$ Mil),68.30351
Uruguay,2021,World,Animal,Export,Export(US$ Mil),3968.639183
Uruguay,2021,World,Wood,Export,Export(US$ Mil),1074.496759
Uruguay,2021,World,Raw materials,Export,Export(US$ Mil),5416.19777
Uruguay,2021,World,Plastic or Rubber,Export,Export(US$ Mil),314.973549
