Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
United States,2021,Canada,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,306926.753196
United States,2021,Mexico,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,276458.852053
United States,2021,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,151065.177394
United States,2021,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,74960.699147
United States,2021,"Korea, Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,65769.493507
United States,2021,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,541531.352242
United States,2021,Mexico,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,388357.522055
United States,2021,Canada,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,363904.687514
United States,2021,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,139389.676627
United States,2021,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,138194.629531
United States,2021,World,Food Products,Export,Export(US$ Mil),49386.308615
United States,2021,World,Footwear,Export,Export(US$ Mil),1683.881404
United States,2021,World,Consumer goods,Export,Export(US$ Mil),475384.272473
United States,2021,World,Fuels,Export,Export(US$ Mil),239780.823659
United States,2021,World,Metals,Export,Export(US$ Mil),75409.117199
United States,2021,World,Chemicals,Export,Export(US$ Mil),212136.223572
United States,2021,World,Mach and Elec,Export,Export(US$ Mil),375506.250369
United States,2021,World,Plastic or Rubber,Export,Export(US$ Mil),87919.190167
United States,2021,World,Transportation,Export,Export(US$ Mil),216273.476989
United States,2021,World,Minerals,Export,Export(US$ Mil),14682.537155
United States,2021,World,Stone and Glass,Export,Export(US$ Mil),89885.722303
United States,2021,World,Capital goods,Export,Export(US$ Mil),528779.38311
United States,2021,World,Vegetable,Export,Export(US$ Mil),91825.56407
United States,2021,World,Textiles and Clothing,Export,Export(US$ Mil),25593.626273
United States,2021,World,Intermediate goods,Export,Export(US$ Mil),371217.942973
