Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
St. Vincent and the Grenadines,2021,Barbados,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,5.74582368684677
St. Vincent and the Grenadines,2021,St. Lucia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,5.66255727952263
St. Vincent and the Grenadines,2021,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,5.06010985790285
St. Vincent and the Grenadines,2021,Dominica,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,3.60684260009686
St. Vincent and the Grenadines,2021,Antigua and Barbuda,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,3.42121905213434
St. Vincent and the Grenadines,2021,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,174.225625018367
St. Vincent and the Grenadines,2021,Trinidad and Tobago,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,34.9124817317542
St. Vincent and the Grenadines,2021,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,24.3985652793051
St. Vincent and the Grenadines,2021,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,24.2310308646579
St. Vincent and the Grenadines,2021,Canada,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,7.7249168070899
St. Vincent and the Grenadines,2021,World,Chemicals,Export,Export(US$ Mil),0.157974870212396
St. Vincent and the Grenadines,2021,World,Mach and Elec,Export,Export(US$ Mil),1.2837223246422
St. Vincent and the Grenadines,2021,World,Vegetable,Export,Export(US$ Mil),12.9742740499887
St. Vincent and the Grenadines,2021,World,Textiles and Clothing,Export,Export(US$ Mil),0.142789403560914
St. Vincent and the Grenadines,2021,World,Intermediate goods,Export,Export(US$ Mil),12.7869851057315
St. Vincent and the Grenadines,2021,World,Plastic or Rubber,Export,Export(US$ Mil),0.464388199535612
St. Vincent and the Grenadines,2021,World,Transportation,Export,Export(US$ Mil),1.52713835773212
St. Vincent and the Grenadines,2021,World,Fuels,Export,Export(US$ Mil),0.01462777776315
St. Vincent and the Grenadines,2021,World,Metals,Export,Export(US$ Mil),3.23130938565759
St. Vincent and the Grenadines,2021,World,Hides and Skins,Export,Export(US$ Mil),0.011766074062308
St. Vincent and the Grenadines,2021,World,Miscellaneous,Export,Export(US$ Mil),0.583271869787099
St. Vincent and the Grenadines,2021,World,Food Products,Export,Export(US$ Mil),7.77493319963248
St. Vincent and the Grenadines,2021,World,Footwear,Export,Export(US$ Mil),0.0065093851786758
St. Vincent and the Grenadines,2021,World,Consumer goods,Export,Export(US$ Mil),10.4448994451107
St. Vincent and the Grenadines,2021,World,Minerals,Export,Export(US$ Mil),0.0006602074067472
St. Vincent and the Grenadines,2021,World,Stone and Glass,Export,Export(US$ Mil),0.658368473415706
St. Vincent and the Grenadines,2021,World,Capital goods,Export,Export(US$ Mil),2.73998600837113
St. Vincent and the Grenadines,2021,World,Animal,Export,Export(US$ Mil),5.13648704301166
St. Vincent and the Grenadines,2021,World,Wood,Export,Export(US$ Mil),0.750984665915682
St. Vincent and the Grenadines,2021,World,Raw materials,Export,Export(US$ Mil),8.74733472828971
St. Vincent and the Grenadines,2021,World,Intermediate goods,Import,Import(US$ Mil),54.4726426492311
St. Vincent and the Grenadines,2021,World,Consumer goods,Import,Import(US$ Mil),210.563176896845
St. Vincent and the Grenadines,2021,World,Capital goods,Import,Import(US$ Mil),67.3352451326648
