Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Venezuela,2013,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,57806.5087
Venezuela,2013,"Other Asia, nes",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,28056.144279
Venezuela,2013,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,550.147832
Venezuela,2013,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,254.069459
Venezuela,2013,Colombia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,236.363628
Venezuela,2013,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,10487.655403
Venezuela,2013,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,7645.215416
Venezuela,2013,Brazil,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,4503.094498
Venezuela,2013,Colombia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2257.918272
Venezuela,2013,Mexico,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2231.987703
Venezuela,2013,World,Food Products,Export,Export(US$ Mil),20.909888
Venezuela,2013,World,Footwear,Export,Export(US$ Mil),0.562627
Venezuela,2013,World,Consumer goods,Export,Export(US$ Mil),11093.896752
Venezuela,2013,World,Fuels,Export,Export(US$ Mil),85918.587943
Venezuela,2013,World,Metals,Export,Export(US$ Mil),448.337191
Venezuela,2013,World,Minerals,Export,Export(US$ Mil),274.039565
Venezuela,2013,World,Stone and Glass,Export,Export(US$ Mil),14.160514
Venezuela,2013,World,Capital goods,Export,Export(US$ Mil),173.501132
Venezuela,2013,World,Plastic or Rubber,Export,Export(US$ Mil),36.042517
Venezuela,2013,World,Transportation,Export,Export(US$ Mil),109.040382
Venezuela,2013,World,Vegetable,Export,Export(US$ Mil),11.718298
Venezuela,2013,World,Textiles and Clothing,Export,Export(US$ Mil),2.198145
Venezuela,2013,World,Intermediate goods,Export,Export(US$ Mil),1495.47645
Venezuela,2013,World,Chemicals,Export,Export(US$ Mil),995.37302
Venezuela,2013,World,Mach and Elec,Export,Export(US$ Mil),62.508474
Venezuela,2013,World,Animal,Export,Export(US$ Mil),5.552697
Venezuela,2013,World,Wood,Export,Export(US$ Mil),4.569967
Venezuela,2013,World,Raw materials,Export,Export(US$ Mil),75181.299001
Venezuela,2013,World,Hides and Skins,Export,Export(US$ Mil),24.605897
Venezuela,2013,World,Miscellaneous,Export,Export(US$ Mil),33.006179
Venezuela,2013,World,Intermediate goods,Import,Import(US$ Mil),12247.318232
Venezuela,2013,World,Consumer goods,Import,Import(US$ Mil),11468.596256
