Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Vietnam,2021,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,96327.5394328458
Vietnam,2021,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,55922.8229337237
Vietnam,2021,"Korea, Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,21934.4636173498
Vietnam,2021,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,20117.8917707822
Vietnam,2021,"Hong Kong, China",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,11985.1998656112
Vietnam,2021,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,109850.665773668
Vietnam,2021,"Korea, Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,56112.234517325
Vietnam,2021,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,22601.5625714532
Vietnam,2021,"Other Asia, nes",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,20758.396202336
Vietnam,2021,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,15179.1207918992
Vietnam,2021,World,Fuels,Export,Export(US$ Mil),3292.658736134
Vietnam,2021,World,Metals,Export,Export(US$ Mil),21629.7752882167
Vietnam,2021,World,Food Products,Export,Export(US$ Mil),7565.6619984179
Vietnam,2021,World,Footwear,Export,Export(US$ Mil),18866.7792202652
Vietnam,2021,World,Consumer goods,Export,Export(US$ Mil),112802.197434644
Vietnam,2021,World,Minerals,Export,Export(US$ Mil),2126.5547051376
Vietnam,2021,World,Stone and Glass,Export,Export(US$ Mil),3567.4283931551
Vietnam,2021,World,Capital goods,Export,Export(US$ Mil),147613.324545866
Vietnam,2021,World,Animal,Export,Export(US$ Mil),6351.1509876239
Vietnam,2021,World,Wood,Export,Export(US$ Mil),6893.5698977313
Vietnam,2021,World,Raw materials,Export,Export(US$ Mil),20549.6552579286
Vietnam,2021,World,Hides and Skins,Export,Export(US$ Mil),3067.9538441357
Vietnam,2021,World,Miscellaneous,Export,Export(US$ Mil),26194.0086989349
Vietnam,2021,World,Plastic or Rubber,Export,Export(US$ Mil),13473.9671578308
Vietnam,2021,World,Transportation,Export,Export(US$ Mil),5298.0130645388
Vietnam,2021,World,Chemicals,Export,Export(US$ Mil),6004.6872241084
Vietnam,2021,World,Mach and Elec,Export,Export(US$ Mil),155409.237178798
Vietnam,2021,World,Vegetable,Export,Export(US$ Mil),14754.9466413309
Vietnam,2021,World,Textiles and Clothing,Export,Export(US$ Mil),41296.2047736405
Vietnam,2021,World,Intermediate goods,Export,Export(US$ Mil),49911.582201564
Vietnam,2021,World,Intermediate goods,Import,Import(US$ Mil),93454.5086098144
Vietnam,2021,World,Consumer goods,Import,Import(US$ Mil),46211.5373138559
Vietnam,2021,World,Raw materials,Import,Import(US$ Mil),39037.5577353268
Vietnam,2021,World,Capital goods,Import,Import(US$ Mil),147564.185660556
Vietnam,2021,World,All Products,Export,Exports (in US$ Mil),335792.59781
Vietnam,2021,World,All Products,Import,Imports (in US$ Mil),330752.261349424
Vietnam,2021,World,All Products,Tariff,Duty Free Imports (US$ Thousand),206095852.056055
Vietnam,2021,...,...,Tariff,No. Of Tariff Agreement,20
Vietnam,2021,...,...,Import,No. Of Import partners,97
Vietnam,2021,...,...,Import,No. Of Import products,4327
Vietnam,2021,...,...,Export,No. Of Export partners,97
Vietnam,2021,...,...,Export,No. Of Export products,3740
Vietnam,2019,...,...,Others,Trading Across Borders Rank,104
Vietnam,2018,...,...,Others,Population,95540395
Vietnam,2015,...,...,Others,CPIA Trade Ratings,4
Vietnam,2016,...,...,Others,LPI Score,2.976629
Vietnam,2016,...,...,Others,LPI Rank,64
Vietnam,2019,...,...,Others,Ease of Doing Business Rank,70
Vietnam,2015,...,...,Others,No Of NTM Affected Products (HS 6 Digit),5204
Vietnam,2015,...,...,Others,No Of NTM Measures,68
Vietnam,,...,...,Others,Services Trade Restrictions Index - Over All,41.5
Vietnam,2021,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,28.6866
Vietnam,2021,China,All Products,Export,Partner share(%)-Top 5 Export Partner,16.654
Vietnam,2021,"Korea, Rep.",All Products,Export,Partner share(%)-Top 5 Export Partner,6.5321
Vietnam,2021,Japan,All Products,Export,Partner share(%)-Top 5 Export Partner,5.9912
Vietnam,2021,"Hong Kong, China",All Products,Export,Partner share(%)-Top 5 Export Partner,3.5692
Vietnam,2021,China,All Products,Import,Partner share(%)-Top 5 Import Partner,33.2124
Vietnam,2021,"Korea, Rep.",All Products,Import,Partner share(%)-Top 5 Import Partner,16.965
Vietnam,2021,Japan,All Products,Import,Partner share(%)-Top 5 Import Partner,6.8334
Vietnam,2021,"Other Asia, nes",All Products,Import,Partner share(%)-Top 5 Import Partner,6.2761
Vietnam,2021,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,4.5893
Vietnam,2021,World,Food Products,Export,Export Product share(%),2.2531
Vietnam,2021,World,Footwear,Export,Export Product share(%),5.6186
Vietnam,2021,World,Consumer goods,Export,Export Product share(%),33.5928
Vietnam,2021,World,Vegetable,Export,Export Product share(%),4.3941
Vietnam,2021,World,Textiles and Clothing,Export,Export Product share(%),12.2981
Vietnam,2021,World,Intermediate goods,Export,Export Product share(%),14.8638
Vietnam,2021,World,Fuels,Export,Export Product share(%),0.9806
Vietnam,2021,World,Metals,Export,Export Product share(%),6.4414
Vietnam,2021,World,Minerals,Export,Export Product share(%),0.6333
Vietnam,2021,World,Stone and Glass,Export,Export Product share(%),1.0624
Vietnam,2021,World,Capital goods,Export,Export Product share(%),43.9597
Vietnam,2021,World,Chemicals,Export,Export Product share(%),1.7882
Vietnam,2021,World,Mach and Elec,Export,Export Product share(%),46.2813
Vietnam,2021,World,Hides and Skins,Export,Export Product share(%),0.9136
Vietnam,2021,World,Miscellaneous,Export,Export Product share(%),7.8007
Vietnam,2021,World,Animal,Export,Export Product share(%),1.8914
