Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Vanuatu,2011,Malaysia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,12.991283
Vanuatu,2011,Philippines,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,11.456848
Vanuatu,2011,New Zealand,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,7.246193
Vanuatu,2011,Australia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,7.176109
Vanuatu,2011,Fiji,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,5.141331
Vanuatu,2011,Australia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,83.268138
Vanuatu,2011,Singapore,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,51.06441
Vanuatu,2011,New Zealand,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,35.613483
Vanuatu,2011,Fiji,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,22.407378
Vanuatu,2011,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,19.431924
Vanuatu,2011,World,Plastic or Rubber,Export,Export(US$ Mil),0.039311
Vanuatu,2011,World,Transportation,Export,Export(US$ Mil),0.224958
Vanuatu,2011,World,Fuels,Export,Export(US$ Mil),0.043752
Vanuatu,2011,World,Metals,Export,Export(US$ Mil),1.109706
Vanuatu,2011,World,Hides and Skins,Export,Export(US$ Mil),0.303988
Vanuatu,2011,World,Miscellaneous,Export,Export(US$ Mil),1.671788
Vanuatu,2011,World,Minerals,Export,Export(US$ Mil),0.000229
Vanuatu,2011,World,Stone and Glass,Export,Export(US$ Mil),0.021582
Vanuatu,2011,World,Capital goods,Export,Export(US$ Mil),1.08096
Vanuatu,2011,World,Animal,Export,Export(US$ Mil),11.69695
Vanuatu,2011,World,Wood,Export,Export(US$ Mil),0.873383
Vanuatu,2011,World,Raw materials,Export,Export(US$ Mil),34.877693
Vanuatu,2011,World,Vegetable,Export,Export(US$ Mil),37.163782
Vanuatu,2011,World,Textiles and Clothing,Export,Export(US$ Mil),0.008574
Vanuatu,2011,World,Intermediate goods,Export,Export(US$ Mil),21.839546
Vanuatu,2011,World,Chemicals,Export,Export(US$ Mil),3.415031
Vanuatu,2011,World,Mach and Elec,Export,Export(US$ Mil),0.828426
Vanuatu,2011,World,Food Products,Export,Export(US$ Mil),6.130442
Vanuatu,2011,World,Footwear,Export,Export(US$ Mil),1.2E-05
Vanuatu,2011,World,Consumer goods,Export,Export(US$ Mil),4.466811
Vanuatu,2011,World,Intermediate goods,Import,Import(US$ Mil),34.880245
Vanuatu,2011,World,Capital goods,Import,Import(US$ Mil),42.1519990000001
Vanuatu,2011,World,Raw materials,Import,Import(US$ Mil),11.541337
Vanuatu,2011,World,Consumer goods,Import,Import(US$ Mil),184.412637
Vanuatu,2011,World,All Products,Export,Exports (in US$ Mil),63.531915
Vanuatu,2011,World,All Products,Import,Imports (in US$ Mil),280.646739
Vanuatu,2009,World,All Products,Tariff,Duty Free Imports (US$ Thousand),33886.717
Vanuatu,2009,...,...,Tariff,No. Of Tariff Agreement,2
Vanuatu,2011,...,...,Import,No. Of Import partners,99
Vanuatu,2011,...,...,Import,No. Of Import products,2984
Vanuatu,2011,...,...,Export,No. Of Export partners,52
Vanuatu,2011,...,...,Export,No. Of Export products,390
Vanuatu,2018,...,...,Others,Population,292680
Vanuatu,2018,...,...,Others,CPIA Trade Ratings,4
Vanuatu,2019,...,...,Others,Ease of Doing Business Rank,107
Vanuatu,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.1154532
Vanuatu,2019,...,...,Others,Trading Across Borders Rank,148
Vanuatu,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.1152715
Vanuatu,2011,Malaysia,All Products,Export,Partner share(%)-Top 5 Export Partner,20.4484
Vanuatu,2011,Philippines,All Products,Export,Partner share(%)-Top 5 Export Partner,18.0332
Vanuatu,2011,New Zealand,All Products,Export,Partner share(%)-Top 5 Export Partner,11.4056
Vanuatu,2011,Australia,All Products,Export,Partner share(%)-Top 5 Export Partner,11.2953
Vanuatu,2011,Fiji,All Products,Export,Partner share(%)-Top 5 Export Partner,8.0925
Vanuatu,2011,Australia,All Products,Import,Partner share(%)-Top 5 Import Partner,29.6701
Vanuatu,2011,Singapore,All Products,Import,Partner share(%)-Top 5 Import Partner,18.1953
Vanuatu,2011,New Zealand,All Products,Import,Partner share(%)-Top 5 Import Partner,12.6898
Vanuatu,2011,Fiji,All Products,Import,Partner share(%)-Top 5 Import Partner,7.9842
Vanuatu,2011,China,All Products,Import,Partner share(%)-Top 5 Import Partner,6.924
Vanuatu,2011,World,Vegetable,Export,Export Product share(%),58.4962
Vanuatu,2011,World,Textiles and Clothing,Export,Export Product share(%),0.0135
Vanuatu,2011,World,Intermediate goods,Export,Export Product share(%),34.3757
Vanuatu,2011,World,Chemicals,Export,Export Product share(%),5.3753
Vanuatu,2011,World,Mach and Elec,Export,Export Product share(%),1.304
Vanuatu,2011,World,Plastic or Rubber,Export,Export Product share(%),0.0619
Vanuatu,2011,World,Transportation,Export,Export Product share(%),0.3541
Vanuatu,2011,World,Minerals,Export,Export Product share(%),0.0004
Vanuatu,2011,World,Stone and Glass,Export,Export Product share(%),0.034
Vanuatu,2011,World,Capital goods,Export,Export Product share(%),1.7014
Vanuatu,2011,World,Animal,Export,Export Product share(%),18.4111
Vanuatu,2011,World,Wood,Export,Export Product share(%),1.3747
Vanuatu,2011,World,Raw materials,Export,Export Product share(%),54.8979
Vanuatu,2011,World,Hides and Skins,Export,Export Product share(%),0.4785
Vanuatu,2011,World,Miscellaneous,Export,Export Product share(%),2.6314
Vanuatu,2011,World,Fuels,Export,Export Product share(%),0.0689
Vanuatu,2011,World,Metals,Export,Export Product share(%),1.7467
Vanuatu,2011,World,Food Products,Export,Export Product share(%),9.6494
Vanuatu,2011,World,Footwear,Export,Export Product share(%),0
Vanuatu,2011,World,Consumer goods,Export,Export Product share(%),7.0308
Vanuatu,2011,World,Capital goods,Import,Import Product share(%),15.0196
Vanuatu,2011,World,Intermediate goods,Import,Import Product share(%),12.4285
Vanuatu,2011,World,Raw materials,Import,Import Product share(%),4.1124
Vanuatu,2011,World,Consumer goods,Import,Import Product share(%),65.7099
Vanuatu,2009,World,Consumer goods,Tariff,Weighted Average (%),22.5446095065898
Vanuatu,2009,World,Capital goods,Tariff,Weighted Average (%),12.4264797079235
Vanuatu,2009,World,Intermediate goods,Tariff,Weighted Average (%),14.9093286582875
Vanuatu,2009,World,Raw materials,Tariff,Weighted Average (%),30.7922915271576
Vanuatu,2011,World,All Products,Trade Indicator,World Growth (%),9.25458005383553
Vanuatu,2011,World,All Products,Trade Indicator,Country Growth (%),20.7522323928778
Vanuatu,2009,World,All Products,Tariff,Simple Average (%),18.5910299701243
Vanuatu,2009,World,All Products,Tariff,Weighted Average (%),18.7596163623133
Vanuatu,2009,World,All Products,Tariff,Maximum Rate (%),1089.24401855469
Vanuatu,2009,World,All Products,Tariff,Duty Free Tariff Lines Share (%),13.39696723531
Vanuatu,2011,...,...,Trade Indicator,Index of export market penetration,1.23382383042598
Vanuatu,2011,...,...,Trade Indicator,HH Market concentration index,0.247003897931201
