Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Samoa,2021,New Zealand,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,6.70565252053938
Samoa,2021,American Samoa,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,6.07512114581353
Samoa,2021,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,5.37158779632233
Samoa,2021,Australia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2.47947841709837
Samoa,2021,Tokelau,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2.15910438341678
Samoa,2021,New Zealand,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,85.5820307510978
Samoa,2021,Singapore,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,59.0443789635826
Samoa,2021,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,49.5587757144333
Samoa,2021,Australia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,40.4657071856645
Samoa,2021,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,36.6969333538497
Samoa,2021,World,Vegetable,Export,Export(US$ Mil),6.1228230762616
Samoa,2021,World,Textiles and Clothing,Export,Export(US$ Mil),0.218114422863923
Samoa,2021,World,Intermediate goods,Export,Export(US$ Mil),1.60991107503464
Samoa,2021,World,Minerals,Export,Export(US$ Mil),0.079763080219506
Samoa,2021,World,Stone and Glass,Export,Export(US$ Mil),0.136826945459012
Samoa,2021,World,Capital goods,Export,Export(US$ Mil),3.00940320421701
Samoa,2021,World,Fuels,Export,Export(US$ Mil),3.13862690329094
Samoa,2021,World,Metals,Export,Export(US$ Mil),0.629610828959843
Samoa,2021,World,Chemicals,Export,Export(US$ Mil),0.469496141273835
Samoa,2021,World,Mach and Elec,Export,Export(US$ Mil),2.81449635824523
Samoa,2021,World,Food Products,Export,Export(US$ Mil),8.78687134196491
Samoa,2021,World,Footwear,Export,Export(US$ Mil),0.0811585501387875
Samoa,2021,World,Consumer goods,Export,Export(US$ Mil),16.7225091590333
Samoa,2021,World,Plastic or Rubber,Export,Export(US$ Mil),0.133820860812501
Samoa,2021,World,Transportation,Export,Export(US$ Mil),0.315733497141036
Samoa,2021,World,Hides and Skins,Export,Export(US$ Mil),0.0048803244329952
Samoa,2021,World,Miscellaneous,Export,Export(US$ Mil),0.229261833043692
Samoa,2021,World,Animal,Export,Export(US$ Mil),5.19129945184809
Samoa,2021,World,Wood,Export,Export(US$ Mil),0.483801844997574
Samoa,2021,World,Raw materials,Export,Export(US$ Mil),7.49165728352745
Samoa,2021,World,Intermediate goods,Import,Import(US$ Mil),65.2627419013033
Samoa,2021,World,Consumer goods,Import,Import(US$ Mil),199.265576576403
Samoa,2021,World,Capital goods,Import,Import(US$ Mil),56.9593670593445
Samoa,2021,World,Raw materials,Import,Import(US$ Mil),46.529424303028
Samoa,2021,World,All Products,Export,Exports (in US$ Mil),28.8365854609535
Samoa,2021,World,All Products,Import,Imports (in US$ Mil),368.240215627964
Samoa,2018,World,All Products,Tariff,Duty Free Imports (US$ Thousand),53076.4564431273
Samoa,2018,...,...,Tariff,No. Of Tariff Agreement,1
Samoa,2021,...,...,Import,No. Of Import partners,70
Samoa,2021,...,...,Import,No. Of Import products,2564
Samoa,2021,...,...,Export,No. Of Export partners,34
Samoa,2021,...,...,Export,No. Of Export products,695
Samoa,2019,...,...,Others,Ease of Doing Business Rank,98
Samoa,2019,...,...,Others,Trading Across Borders Rank,154
Samoa,2018,...,...,Others,Population,196130
Samoa,2018,...,...,Others,CPIA Trade Ratings,4.5
Samoa,2021,New Zealand,All Products,Export,Partner share(%)-Top 5 Export Partner,23.254
Samoa,2021,American Samoa,All Products,Export,Partner share(%)-Top 5 Export Partner,21.0674
Samoa,2021,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,18.6277
Samoa,2021,Australia,All Products,Export,Partner share(%)-Top 5 Export Partner,8.5984
Samoa,2021,Tokelau,All Products,Export,Partner share(%)-Top 5 Export Partner,7.4874
Samoa,2021,New Zealand,All Products,Import,Partner share(%)-Top 5 Import Partner,23.2408
Samoa,2021,Singapore,All Products,Import,Partner share(%)-Top 5 Import Partner,16.0342
Samoa,2021,China,All Products,Import,Partner share(%)-Top 5 Import Partner,13.4583
Samoa,2021,Australia,All Products,Import,Partner share(%)-Top 5 Import Partner,10.9889
