Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
 World,2021,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2827816.67993833
 World,2021,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2158872.20125749
 World,2021,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1353626.272538
 World,2021,"Hong Kong, China",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,722556.780332745
 World,2021,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,699721.38380835
 World,2021,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,3383435.78533985
 World,2021,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1703893.33486657
 World,2021,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1538830.19920205
 World,2021,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,850187.993810186
 World,2021,"Korea, Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,731208.977991075
 World,2021,World,Food Products,Export,Export(US$ Mil),817802.863507714
 World,2021,World,Footwear,Export,Export(US$ Mil),193919.053588238
 World,2021,World,Consumer goods,Export,Export(US$ Mil),7624588.14091812
 World,2021,World,Vegetable,Export,Export(US$ Mil),836788.244910613
 World,2021,World,Textiles and Clothing,Export,Export(US$ Mil),917754.841445739
 World,2021,World,Intermediate goods,Export,Export(US$ Mil),5370654.18611973
 World,2021,World,Minerals,Export,Export(US$ Mil),447596.18311541
 World,2021,World,Stone and Glass,Export,Export(US$ Mil),1109086.18725979
 World,2021,World,Capital goods,Export,Export(US$ Mil),7781662.36969843
 World,2021,World,Fuels,Export,Export(US$ Mil),2481603.7864386
 World,2021,World,Metals,Export,Export(US$ Mil),1751161.62567361
 World,2021,World,Chemicals,Export,Export(US$ Mil),2622131.92346193
 World,2021,World,Mach and Elec,Export,Export(US$ Mil),6387076.3120189
 World,2021,World,Plastic or Rubber,Export,Export(US$ Mil),1123952.03639123
 World,2021,World,Transportation,Export,Export(US$ Mil),2263963.6722168
 World,2021,World,Animal,Export,Export(US$ Mil),460044.092363145
 World,2021,World,Wood,Export,Export(US$ Mil),551140.31680986
 World,2021,World,Raw materials,Export,Export(US$ Mil),2620159.73444369
 World,2021,World,Hides and Skins,Export,Export(US$ Mil),138670.835357943
