Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Yemen,2019,"Egypt, Arab Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,11.7922830650478
Yemen,2019,Turkey,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,6.66418249317348
Yemen,2019,Oman,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2.504850348294
Yemen,2019,Sudan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2.22221556
Yemen,2019,Eritrea,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,0.2082863052
Yemen,2019,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1133.81685445574
Yemen,2019,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,489.292081191985
Yemen,2019,Saudi Arabia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,304.426037500411
Yemen,2019,Unspecified,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,304.233404184074
Yemen,2019,Oman,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,257.94754199242
Yemen,2019,World,Fuels,Export,Export(US$ Mil),0.01230768
Yemen,2019,World,Metals,Export,Export(US$ Mil),0.0201832965
Yemen,2019,World,Minerals,Export,Export(US$ Mil),0.0020947032
Yemen,2019,World,Stone and Glass,Export,Export(US$ Mil),
Yemen,2019,World,Capital goods,Export,Export(US$ Mil),0.013513473
Yemen,2019,World,Animal,Export,Export(US$ Mil),0.00131868
Yemen,2019,World,Wood,Export,Export(US$ Mil),0.16436098361088
Yemen,2019,World,Raw materials,Export,Export(US$ Mil),0.3256912972854
Yemen,2019,World,Plastic or Rubber,Export,Export(US$ Mil),0.063664272
Yemen,2019,World,Transportation,Export,Export(US$ Mil),
Yemen,2019,World,Food Products,Export,Export(US$ Mil),0.3717052342884
Yemen,2019,World,Footwear,Export,Export(US$ Mil),
Yemen,2019,World,Consumer goods,Export,Export(US$ Mil),0.22828449611088
Yemen,2019,World,Hides and Skins,Export,Export(US$ Mil),
Yemen,2019,World,Miscellaneous,Export,Export(US$ Mil),0.000473526
Yemen,2019,World,Chemicals,Export,Export(US$ Mil),0.012777202008
Yemen,2019,World,Mach and Elec,Export,Export(US$ Mil),0.013513473
Yemen,2019,World,Vegetable,Export,Export(US$ Mil),23.0452621888007
Yemen,2019,World,Textiles and Clothing,Export,Export(US$ Mil),0.075892032
Yemen,2019,World,Intermediate goods,Export,Export(US$ Mil),23.2116684050117
Yemen,2019,World,Intermediate goods,Import,Import(US$ Mil),1012.35072924618
Yemen,2019,World,Capital goods,Import,Import(US$ Mil),345.557275874107
Yemen,2019,World,Consumer goods,Import,Import(US$ Mil),2468.80823597207
Yemen,2019,World,Raw materials,Import,Import(US$ Mil),888.195612686496
Yemen,2019,World,All Products,Export,Exports (in US$ Mil),23.783553271408
Yemen,2019,World,All Products,Import,Imports (in US$ Mil),4715.95874122575
Yemen,2015,World,All Products,Tariff,Duty Free Imports (US$ Thousand),3368827.381
Yemen,2015,...,...,Tariff,No. Of Tariff Agreement,2
Yemen,2019,...,...,Import,No. Of Import partners,121
Yemen,2019,...,...,Import,No. Of Import products,2737
Yemen,2019,...,...,Export,No. Of Export partners,14
Yemen,2019,...,...,Export,No. Of Export products,62
Yemen,,...,...,Others,Services Trade Restrictions Index - Over All,31.9
Yemen,2018,...,...,Others,Population,28498687
Yemen,2018,...,...,Others,CPIA Trade Ratings,2.5
Yemen,2019,...,...,Others,Trading Across Borders Rank,188
Yemen,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.0456168
Yemen,2019,...,...,Others,Ease of Doing Business Rank,187
Yemen,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.0605565
Yemen,2019,"Egypt, Arab Rep.",All Products,Export,Partner share(%)-Top 5 Export Partner,49.5817
Yemen,2019,Turkey,All Products,Export,Partner share(%)-Top 5 Export Partner,28.0201
Yemen,2019,Oman,All Products,Export,Partner share(%)-Top 5 Export Partner,10.5319
Yemen,2019,Sudan,All Products,Export,Partner share(%)-Top 5 Export Partner,9.3435
Yemen,2019,Eritrea,All Products,Export,Partner share(%)-Top 5 Export Partner,0.8758
Yemen,2019,United Arab Emirates,All Products,Import,Partner share(%)-Top 5 Import Partner,24.0421
Yemen,2019,China,All Products,Import,Partner share(%)-Top 5 Import Partner,10.3752
Yemen,2019,Saudi Arabia,All Products,Import,Partner share(%)-Top 5 Import Partner,6.4552
Yemen,2019,Unspecified,All Products,Import,Partner share(%)-Top 5 Import Partner,6.4511
Yemen,2019,Oman,All Products,Import,Partner share(%)-Top 5 Import Partner,5.4697
Yemen,2019,World,Animal,Export,Export Product share(%),0.0055
Yemen,2019,World,Wood,Export,Export Product share(%),0.6911
Yemen,2019,World,Raw materials,Export,Export Product share(%),1.3694
Yemen,2019,World,Food Products,Export,Export Product share(%),1.5629
Yemen,2019,World,Footwear,Export,Export Product share(%),
Yemen,2019,World,Consumer goods,Export,Export Product share(%),0.9598
Yemen,2019,World,Fuels,Export,Export Product share(%),0.0517
Yemen,2019,World,Metals,Export,Export Product share(%),0.0849
Yemen,2019,World,Minerals,Export,Export Product share(%),0.0088
Yemen,2019,World,Stone and Glass,Export,Export Product share(%),
Yemen,2019,World,Capital goods,Export,Export Product share(%),0.0568
Yemen,2019,World,Plastic or Rubber,Export,Export Product share(%),0.2677
Yemen,2019,World,Transportation,Export,Export Product share(%),
Yemen,2019,World,Hides and Skins,Export,Export Product share(%),
Yemen,2019,World,Miscellaneous,Export,Export Product share(%),0.002
Yemen,2019,World,Chemicals,Export,Export Product share(%),0.0537
Yemen,2019,World,Mach and Elec,Export,Export Product share(%),0.0568
Yemen,2019,World,Vegetable,Export,Export Product share(%),96.8958
Yemen,2019,World,Textiles and Clothing,Export,Export Product share(%),0.3191
Yemen,2019,World,Intermediate goods,Export,Export Product share(%),97.5955
Yemen,2019,World,Raw materials,Import,Import Product share(%),18.8338
Yemen,2019,World,Intermediate goods,Import,Import Product share(%),21.4665
Yemen,2019,World,Capital goods,Import,Import Product share(%),7.3274
Yemen,2019,World,Consumer goods,Import,Import Product share(%),52.3501
Yemen,2015,World,Raw materials,Tariff,Weighted Average (%),8.23049342897124
Yemen,2015,World,Capital goods,Tariff,Weighted Average (%),6.01739858467448
Yemen,2015,World,Consumer goods,Tariff,Weighted Average (%),6.04086285396782
Yemen,2015,World,Intermediate goods,Tariff,Weighted Average (%),4.29883163486255
Yemen,2019,World,All Products,Trade Indicator,World Growth (%),-1.73027240114794
Yemen,2019,World,All Products,Trade Indicator,Country Growth (%),-3.03010650002553
Yemen,2015,World,All Products,Tariff,Simple Average (%),5.51855813903615
Yemen,2015,World,All Products,Tariff,Weighted Average (%),5.13691053615732
Yemen,2015,World,All Products,Tariff,Maximum Rate (%),25
Yemen,2015,World,All Products,Tariff,Duty Free Tariff Lines Share (%),20.8957070394655
Yemen,2019,...,...,Trade Indicator,Index of export market penetration,1.48799092548575
Yemen,2019,...,...,Trade Indicator,HH Market concentration index,0.296343381874174
