Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
South Africa,2021,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,13571.1739152022
South Africa,2021,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,12974.206361964
South Africa,2021,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,9374.08747814387
South Africa,2021,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,8227.26375430356
South Africa,2021,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,8177.21830588791
South Africa,2021,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,19226.800900204
South Africa,2021,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,7544.99388646693
South Africa,2021,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,6576.13999718571
South Africa,2021,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,5347.77769297352
South Africa,2021,Saudi Arabia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,4102.14099538352
South Africa,2021,World,Chemicals,Export,Export(US$ Mil),7524.36880087587
South Africa,2021,World,Mach and Elec,Export,Export(US$ Mil),8302.68934772779
South Africa,2021,World,Minerals,Export,Export(US$ Mil),18622.0173069681
South Africa,2021,World,Stone and Glass,Export,Export(US$ Mil),33848.8110392235
South Africa,2021,World,Capital goods,Export,Export(US$ Mil),14259.8181643376
South Africa,2021,World,Plastic or Rubber,Export,Export(US$ Mil),1997.13796301681
South Africa,2021,World,Transportation,Export,Export(US$ Mil),11346.1997759591
South Africa,2021,World,Fuels,Export,Export(US$ Mil),10512.502104551
South Africa,2021,World,Metals,Export,Export(US$ Mil),11630.2804200736
South Africa,2021,World,Vegetable,Export,Export(US$ Mil),6902.89261642861
South Africa,2021,World,Textiles and Clothing,Export,Export(US$ Mil),1412.52591122512
South Africa,2021,World,Intermediate goods,Export,Export(US$ Mil),52353.7192104874
South Africa,2021,World,Food Products,Export,Export(US$ Mil),4038.9720525493
South Africa,2021,World,Footwear,Export,Export(US$ Mil),220.473597891823
South Africa,2021,World,Consumer goods,Export,Export(US$ Mil),18567.7086467073
South Africa,2021,World,Hides and Skins,Export,Export(US$ Mil),244.093529867102
South Africa,2021,World,Miscellaneous,Export,Export(US$ Mil),1336.70570071015
South Africa,2021,World,Animal,Export,Export(US$ Mil),1178.91701163417
South Africa,2021,World,Wood,Export,Export(US$ Mil),2202.69166686467
South Africa,2021,World,Raw materials,Export,Export(US$ Mil),35947.4133610089
South Africa,2021,World,Intermediate goods,Import,Import(US$ Mil),19763.6328301218
South Africa,2021,World,Consumer goods,Import,Import(US$ Mil),32335.0329696015
South Africa,2021,World,Capital goods,Import,Import(US$ Mil),24346.0796482745
South Africa,2021,World,Raw materials,Import,Import(US$ Mil),9500.80371997653
South Africa,2021,World,All Products,Export,Exports (in US$ Mil),121321.278845567
South Africa,2021,World,All Products,Import,Imports (in US$ Mil),93439.5633719347
South Africa,2021,World,All Products,Tariff,Duty Free Imports (US$ Thousand),41731960.1568501
South Africa,2021,...,...,Tariff,No. Of Tariff Agreement,11
South Africa,2021,...,...,Import,No. Of Import partners,233
South Africa,2021,...,...,Import,No. Of Import products,4462
South Africa,2021,...,...,Export,No. Of Export partners,216
South Africa,2021,...,...,Export,No. Of Export products,4449
South Africa,2019,...,...,Others,Ease of Doing Business Rank,84
South Africa,2013,...,...,Others,No Of NTM Affected Products (HS 6 Digit),30
South Africa,2013,...,...,Others,No Of NTM Measures,3
South Africa,2009,...,...,Others,Overall Trade Restrictiveness Index - MFN Tariff,0.0636017
South Africa,2016,...,...,Others,LPI Score,3.775321
South Africa,2019,...,...,Others,Trading Across Borders Rank,145
South Africa,2009,...,...,Others,Overall Trade Restrictiveness Index -  Applied Tariff,0.052519
South Africa,,...,...,Others,Services Trade Restrictions Index - Over All,34.5
South Africa,2013,...,...,Others,Temporary Trade Barriers in Effect - Weighted Average,0.5761581659
South Africa,2018,...,...,Others,Population,57779622
South Africa,2016,...,...,Others,LPI Rank,20
South Africa,2013,...,...,Others,Temporary Trade Barriers in Effect - Simple Average,0.6199147701
South Africa,2021,China,All Products,Export,Partner share(%)-Top 5 Export Partner,11.1861
South Africa,2021,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,10.6941
South Africa,2021,Germany,All Products,Export,Partner share(%)-Top 5 Export Partner,7.7267
South Africa,2021,Japan,All Products,Export,Partner share(%)-Top 5 Export Partner,6.7814
South Africa,2021,United Kingdom,All Products,Export,Partner share(%)-Top 5 Export Partner,6.7401
South Africa,2021,China,All Products,Import,Partner share(%)-Top 5 Import Partner,20.5767
South Africa,2021,Germany,All Products,Import,Partner share(%)-Top 5 Import Partner,8.0747
South Africa,2021,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,7.0379
South Africa,2021,India,All Products,Import,Partner share(%)-Top 5 Import Partner,5.7232
South Africa,2021,Saudi Arabia,All Products,Import,Partner share(%)-Top 5 Import Partner,4.3902
South Africa,2021,World,Vegetable,Export,Export Product share(%),5.6898
South Africa,2021,World,Textiles and Clothing,Export,Export Product share(%),1.1643
South Africa,2021,World,Intermediate goods,Export,Export Product share(%),43.153
South Africa,2021,World,Fuels,Export,Export Product share(%),8.665
South Africa,2021,World,Metals,Export,Export Product share(%),9.5863
South Africa,2021,World,Minerals,Export,Export Product share(%),15.3493
South Africa,2021,World,Stone and Glass,Export,Export Product share(%),27.9001
South Africa,2021,World,Capital goods,Export,Export Product share(%),11.7538
South Africa,2021,World,Food Products,Export,Export Product share(%),3.3292
South Africa,2021,World,Footwear,Export,Export Product share(%),0.1817
South Africa,2021,World,Consumer goods,Export,Export Product share(%),15.3046
South Africa,2021,World,Chemicals,Export,Export Product share(%),6.202
South Africa,2021,World,Mach and Elec,Export,Export Product share(%),6.8436
South Africa,2021,World,Plastic or Rubber,Export,Export Product share(%),1.6462
South Africa,2021,World,Transportation,Export,Export Product share(%),9.3522
South Africa,2021,World,Hides and Skins,Export,Export Product share(%),0.2012
South Africa,2021,World,Miscellaneous,Export,Export Product share(%),1.1018
South Africa,2021,World,Animal,Export,Export Product share(%),0.9717
South Africa,2021,World,Wood,Export,Export Product share(%),1.8156
South Africa,2021,World,Raw materials,Export,Export Product share(%),29.6299
South Africa,2021,World,Intermediate goods,Import,Import Product share(%),21.1512
South Africa,2021,World,Consumer goods,Import,Import Product share(%),34.6053
South Africa,2021,World,Capital goods,Import,Import Product share(%),26.0554
South Africa,2021,World,Raw materials,Import,Import Product share(%),10.1679
South Africa,2021,World,Intermediate goods,Tariff,Weighted Average (%),2.1261061948161
South Africa,2021,World,Consumer goods,Tariff,Weighted Average (%),9.52279828309032
South Africa,2021,World,Capital goods,Tariff,Weighted Average (%),1.96754005371507
South Africa,2021,World,Raw materials,Tariff,Weighted Average (%),1.57809026927602
South Africa,2021,World,All Products,Trade Indicator,World Growth (%),12.5883765814344
South Africa,2021,World,All Products,Trade Indicator,Country Growth (%),20.0638739850152
South Africa,2021,World,All Products,Tariff,Simple Average (%),7.16417176422924
South Africa,2021,World,All Products,Tariff,Weighted Average (%),4.46088316138688
South Africa,2021,World,All Products,Tariff,Maximum Rate (%),221.193405151367
South Africa,2021,World,All Products,Tariff,Duty Free Tariff Lines Share (%),64.7238813277196
South Africa,2021,...,...,Trade Indicator,Index of export market penetration,13.7927756779485
South Africa,2021,...,...,Trade Indicator,HH Market concentration index,0.0709150871897196
