Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Zambia,2021,Switzerland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,4249.44454309916
Zambia,2021,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1911.09942417864
Zambia,2021,Singapore,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1367.11736913452
Zambia,2021,"Congo, Dem. Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,981.689837506667
Zambia,2021,South Africa,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,262.419537479117
Zambia,2021,South Africa,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,2015.21206999565
Zambia,2021,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,810.823528927335
Zambia,2021,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,402.964900078059
Zambia,2021,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,363.90326783292
Zambia,2021,"Congo, Dem. Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,297.735989027938
Zambia,2021,World,Food Products,Export,Export(US$ Mil),560.598431135851
Zambia,2021,World,Footwear,Export,Export(US$ Mil),3.73530174001684
Zambia,2021,World,Consumer goods,Export,Export(US$ Mil),614.79923475865
Zambia,2021,World,Vegetable,Export,Export(US$ Mil),161.813486465061
Zambia,2021,World,Textiles and Clothing,Export,Export(US$ Mil),33.1434789130666
Zambia,2021,World,Intermediate goods,Export,Export(US$ Mil),8786.2670466192
Zambia,2021,World,Animal,Export,Export(US$ Mil),69.334562422026
Zambia,2021,World,Wood,Export,Export(US$ Mil),35.1519952055564
Zambia,2021,World,Raw materials,Export,Export(US$ Mil),557.680650324296
Zambia,2021,World,Minerals,Export,Export(US$ Mil),408.139018510773
Zambia,2021,World,Stone and Glass,Export,Export(US$ Mil),259.671640097924
Zambia,2021,World,Capital goods,Export,Export(US$ Mil),138.044391051097
Zambia,2021,World,Fuels,Export,Export(US$ Mil),146.089337194906
Zambia,2021,World,Metals,Export,Export(US$ Mil),7938.84416265777
Zambia,2021,World,Plastic or Rubber,Export,Export(US$ Mil),30.6466018661646
Zambia,2021,World,Transportation,Export,Export(US$ Mil),32.289097497295
Zambia,2021,World,Chemicals,Export,Export(US$ Mil),272.332135431494
Zambia,2021,World,Mach and Elec,Export,Export(US$ Mil),134.327374805984
Zambia,2021,World,Hides and Skins,Export,Export(US$ Mil),4.53235892445351
Zambia,2021,World,Miscellaneous,Export,Export(US$ Mil),10.7028754518441
Zambia,2021,World,Consumer goods,Import,Import(US$ Mil),2104.69011562291
Zambia,2021,World,Capital goods,Import,Import(US$ Mil),1773.08002992115
Zambia,2021,World,Raw materials,Import,Import(US$ Mil),594.535605845749
Zambia,2021,World,Intermediate goods,Import,Import(US$ Mil),1959.06234503596
Zambia,2021,World,All Products,Export,Exports (in US$ Mil),10101.3518583202
Zambia,2021,World,All Products,Import,Imports (in US$ Mil),6435.39451605574
Zambia,2021,World,All Products,Tariff,Duty Free Imports (US$ Thousand),3302796.364
