Reporter,Year,Partner,Product categories,Indicator Type,Indicator,Indicator Value
Zimbabwe,2021,South Africa,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,2923.0545653
Zimbabwe,2021,United Arab Emirates,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,1725.32253754
Zimbabwe,2021,Mozambique,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,508.64104081
Zimbabwe,2021,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,256.06909047
Zimbabwe,2021,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,214.16980817
Zimbabwe,2021,South Africa,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,3240.04449083
Zimbabwe,2021,Singapore,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,1044.33982795
Zimbabwe,2021,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,919.744408169999
Zimbabwe,2021,Mozambique,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,254.55614847
Zimbabwe,2021,Mauritius,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,218.21242234
Zimbabwe,2021,World,Fuels,Export,Export(US$ Mil),94.36102987
Zimbabwe,2021,World,Metals,Export,Export(US$ Mil),1574.38988789
Zimbabwe,2021,World,Vegetable,Export,Export(US$ Mil),80.29597075
Zimbabwe,2021,World,Textiles and Clothing,Export,Export(US$ Mil),100.73286282
Zimbabwe,2021,World,Intermediate goods,Export,Export(US$ Mil),3535.19626838
Zimbabwe,2021,World,Chemicals,Export,Export(US$ Mil),11.73014497
Zimbabwe,2021,World,Mach and Elec,Export,Export(US$ Mil),32.65461983
Zimbabwe,2021,World,Minerals,Export,Export(US$ Mil),1154.35628213
Zimbabwe,2021,World,Stone and Glass,Export,Export(US$ Mil),2006.41835034
Zimbabwe,2021,World,Capital goods,Export,Export(US$ Mil),40.02261295
Zimbabwe,2021,World,Hides and Skins,Export,Export(US$ Mil),30.86507579
Zimbabwe,2021,World,Miscellaneous,Export,Export(US$ Mil),15.53260872
Zimbabwe,2021,World,Animal,Export,Export(US$ Mil),5.45637408
Zimbabwe,2021,World,Wood,Export,Export(US$ Mil),27.949265431
Zimbabwe,2021,World,Raw materials,Export,Export(US$ Mil),2274.10048698
Zimbabwe,2021,World,Plastic or Rubber,Export,Export(US$ Mil),10.91338499
Zimbabwe,2021,World,Transportation,Export,Export(US$ Mil),7.40753345
Zimbabwe,2021,World,Food Products,Export,Export(US$ Mil),881.5412331
Zimbabwe,2021,World,Footwear,Export,Export(US$ Mil),1.56853653
Zimbabwe,2021,World,Consumer goods,Export,Export(US$ Mil),185.600288701
Zimbabwe,2021,World,Consumer goods,Import,Import(US$ Mil),2823.686889
Zimbabwe,2021,World,Capital goods,Import,Import(US$ Mil),1814.58500636
Zimbabwe,2021,World,Intermediate goods,Import,Import(US$ Mil),2518.45744388
Zimbabwe,2021,World,Raw materials,Import,Import(US$ Mil),383.22087634
Zimbabwe,2021,World,All Products,Export,Exports (in US$ Mil),6036.173160691
Zimbabwe,2021,World,All Products,Import,Imports (in US$ Mil),7577.61902656
Zimbabwe,2021,World,All Products,Tariff,Duty Free Imports (US$ Thousand),1122948.21408988
Zimbabwe,2021,...,...,Tariff,No. Of Tariff Agreement,1
Zimbabwe,2021,...,...,Import,No. Of Import partners,147
Zimbabwe,2021,...,...,Import,No. Of Import products,3751
Zimbabwe,2021,...,...,Export,No. Of Export partners,100
Zimbabwe,2021,...,...,Export,No. Of Export products,1203
Zimbabwe,,...,...,Others,Services Trade Restrictions Index - Over All,64.2
Zimbabwe,2019,...,...,Others,Ease of Doing Business Rank,140
Zimbabwe,2018,...,...,Others,Population,14439018
Zimbabwe,2018,...,...,Others,CPIA Trade Ratings,2.5
Zimbabwe,2016,...,...,Others,LPI Score,2.082408
Zimbabwe,2016,...,...,Others,LPI Rank,151
Zimbabwe,2019,...,...,Others,Trading Across Borders Rank,159
Zimbabwe,2021,South Africa,All Products,Export,Partner share(%)-Top 5 Export Partner,48.4256
Zimbabwe,2021,United Arab Emirates,All Products,Export,Partner share(%)-Top 5 Export Partner,28.5831
Zimbabwe,2021,Mozambique,All Products,Export,Partner share(%)-Top 5 Export Partner,8.4265
Zimbabwe,2021,China,All Products,Export,Partner share(%)-Top 5 Export Partner,4.2422
Zimbabwe,2021,Unspecified,All Products,Export,Partner share(%)-Top 5 Export Partner,3.5481
Zimbabwe,2021,South Africa,All Products,Import,Partner share(%)-Top 5 Import Partner,42.7581
Zimbabwe,2021,Singapore,All Products,Import,Partner share(%)-Top 5 Import Partner,13.7819
Zimbabwe,2021,China,All Products,Import,Partner share(%)-Top 5 Import Partner,12.1376
Zimbabwe,2021,Mozambique,All Products,Import,Partner share(%)-Top 5 Import Partner,3.3593
Zimbabwe,2021,Mauritius,All Products,Import,Partner share(%)-Top 5 Import Partner,2.8797
Zimbabwe,2021,World,Animal,Export,Export Product share(%),0.0904
Zimbabwe,2021,World,Wood,Export,Export Product share(%),0.463
Zimbabwe,2021,World,Raw materials,Export,Export Product share(%),37.6745
Zimbabwe,2021,World,Fuels,Export,Export Product share(%),1.5633
Zimbabwe,2021,World,Metals,Export,Export Product share(%),26.0826
Zimbabwe,2021,World,Minerals,Export,Export Product share(%),19.124
Zimbabwe,2021,World,Stone and Glass,Export,Export Product share(%),33.2399
Zimbabwe,2021,World,Capital goods,Export,Export Product share(%),0.663
Zimbabwe,2021,World,Chemicals,Export,Export Product share(%),0.1943
Zimbabwe,2021,World,Mach and Elec,Export,Export Product share(%),0.541
Zimbabwe,2021,World,Hides and Skins,Export,Export Product share(%),0.5113
Zimbabwe,2021,World,Miscellaneous,Export,Export Product share(%),0.2573
Zimbabwe,2021,World,Vegetable,Export,Export Product share(%),1.3302
Zimbabwe,2021,World,Textiles and Clothing,Export,Export Product share(%),1.6688
Zimbabwe,2021,World,Intermediate goods,Export,Export Product share(%),58.5668
Zimbabwe,2021,World,Plastic or Rubber,Export,Export Product share(%),0.1808
Zimbabwe,2021,World,Transportation,Export,Export Product share(%),0.1227
Zimbabwe,2021,World,Food Products,Export,Export Product share(%),14.6043
Zimbabwe,2021,World,Footwear,Export,Export Product share(%),0.026
Zimbabwe,2021,World,Consumer goods,Export,Export Product share(%),3.0748
Zimbabwe,2021,World,Raw materials,Import,Import Product share(%),5.0573
Zimbabwe,2021,World,Intermediate goods,Import,Import Product share(%),33.2355
Zimbabwe,2021,World,Capital goods,Import,Import Product share(%),23.9466
Zimbabwe,2021,World,Consumer goods,Import,Import Product share(%),37.2635
Zimbabwe,2021,World,Raw materials,Tariff,Weighted Average (%),5.91862155812466
Zimbabwe,2021,World,Capital goods,Tariff,Weighted Average (%),8.24897947190445
Zimbabwe,2021,World,Consumer goods,Tariff,Weighted Average (%),19.8089571194653
Zimbabwe,2021,World,Intermediate goods,Tariff,Weighted Average (%),10.2570118259229
Zimbabwe,2021,World,All Products,Trade Indicator,World Growth (%),12.5883765814344
Zimbabwe,2021,World,All Products,Trade Indicator,Country Growth (%),8.81701124092782
Zimbabwe,2021,World,All Products,Tariff,Simple Average (%),18.4394159346886
Zimbabwe,2021,World,All Products,Tariff,Weighted Average (%),11.366350165197
Zimbabwe,2021,World,All Products,Tariff,Maximum Rate (%),653.789184570313
Zimbabwe,2021,World,All Products,Tariff,Duty Free Tariff Lines Share (%),10.3494132118754
Zimbabwe,2021,...,...,Trade Indicator,Index of export market penetration,2.08614467762913
Zimbabwe,2021,...,...,Trade Indicator,HH Market concentration index,0.282601607276035
