Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Spain,World,Consumer goods,Export,Export(US$ Mil),         159829.49,         131612.99,         143623.81,         147478.62,         136038.99,         124297.39,         121166.61,         135760.70,         131654.07,         121327.75,         126401.72,         105106.91,          99274.46,         121818.60,         109330.55,          92747.91,          84349.13,          80156.99,          72635.45,          57387.75,          52769.08,          51252.71,          47463.47,          46295.96,          43332.57,          42938.50,          39992.91,          32406.30,          26550.11,          28364.02,          26175.94,          23454.53,          17796.08,
Spain,World,Minerals,Export,Export(US$ Mil),           3878.98,           2823.78,           3667.08,           4601.58,           3717.62,           2640.46,           2991.57,           3428.61,           3587.41,           3207.90,           3607.76,           2389.52,           1738.36,           1756.61,           1863.25,           1486.58,           1321.61,           1134.19,           1050.02,            988.98,            948.43,            909.79,            946.27,            871.21,            970.94,            817.02,            632.53,            533.48,            451.90,            471.59,            487.92,            523.54,            598.83,
Spain,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          45267.77,          39010.10,          44701.71,          47537.56,          43858.73,          40618.31,          39973.43,          42978.07,          37544.06,          35990.21,          43314.36,          37342.20,          38605.66,          58374.72,          59916.82,          46828.75,          42711.62,          41314.51,          35151.97,          26777.06,          24084.52,          23148.80,          23317.45,          20811.31,          18391.70,          18228.45,          17286.21,          13511.50,          11924.89,          16361.32,          15107.23,          14393.02,          11476.62,
Spain,World,Raw materials,Export,Export(US$ Mil),          45253.77,          38940.79,          36919.26,          36840.85,          33957.24,          30733.21,          30313.59,          33789.08,          32045.24,          30703.67,          30253.41,          25202.91,          22793.41,          24821.55,          21910.91,          18651.60,          17241.08,          15842.51,          15208.74,          12251.75,          11059.89,          10227.94,          10507.20,          10461.02,          10643.01,          10061.16,           8876.37,           7347.79,           6319.27,           6490.99,           5908.25,           5313.69,           5101.95,
Spain,World,Capital goods,Export,Export(US$ Mil),          68730.86,          59512.32,          67426.07,          69431.29,          64635.45,          60085.84,          56938.97,          65103.12,          66761.81,          58311.90,          63473.50,          52928.82,          48808.72,          62957.36,          61328.57,          53268.23,          48058.48,          44533.70,          38709.97,          29551.65,          27701.95,          28348.40,          28896.30,          27755.08,          25812.94,          25106.76,          20540.98,          16998.71,          14185.22,          15455.71,          13728.07,          12888.12,          10131.13,
Spain,World,Plastic or Rubber,Export,Export(US$ Mil),          20498.79,          15329.21,          16412.64,          17699.21,          16160.10,          14533.07,          14569.11,          16919.22,          16178.24,          15407.37,          16498.96,          13899.83,          11423.39,          14696.42,          13911.51,          11862.00,          10123.47,           9200.09,           7750.90,           6312.78,           6080.51,           5820.67,           5554.63,           5314.08,           4981.67,           4780.93,           4464.78,           3330.42,           2644.46,           2689.59,           2541.76,           2530.97,           2053.82,
Spain,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,          14908.68,,,          15525.65,          14505.04,          13814.05,          19244.95,          19419.78,          16688.42,          16454.57,          15750.96,          13617.51,          10823.79,          10895.79,          11098.39,          11042.74,          10359.11,          10108.26,          10195.35,           8812.31,           7259.64,           5931.70,           7282.33,           7026.48,           6277.43,           4639.35,
Spain,World,Vegetable,Export,Export(US$ Mil),          31600.50,          27150.73,          25161.35,          25631.51,          24693.36,          23054.29,          21784.55,          23705.42,          22608.12,          20567.12,          19880.80,          17875.44,          17024.00,          19148.17,          16734.44,          14231.63,          13416.63,          12766.55,          12256.53,           9862.02,           8270.25,           7726.12,           8216.02,           8990.40,           9229.77,           8681.71,           7872.71,           6778.80,           5923.87,           5877.43,           5873.73,           5035.56,           4225.63,
Spain,World,Footwear,Export,Export(US$ Mil),           3441.38,           2921.78,           3378.20,           3491.65,           3371.42,           3201.42,           3081.21,           3811.06,           3288.11,           2922.79,           3192.61,           2702.19,           2708.23,           2938.27,           2711.73,           2378.40,           2252.70,           2387.44,           2378.07,           2178.38,           2028.44,           1934.34,           2043.25,           2231.64,           2265.99,           2118.12,           2010.02,           1753.11,           1289.57,           1318.90,           1371.42,           1547.74,           1155.16,
Spain,World,Miscellaneous,Export,Export(US$ Mil),          36494.22,          30246.01,          30068.75,          28049.16,          17855.64,          16442.21,          16470.82,          21640.01,          21302.35,          20245.88,          17321.26,          13600.87,          12503.32,          14477.76,          12855.38,          10278.39,           9240.10,           8531.62,           7651.67,           6790.64,           6445.79,           6172.59,           5855.31,           5828.13,           5822.17,           4596.90,           3575.28,           3218.79,           2896.85,           2965.38,           2739.30,           2629.92,           1661.72,
