Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Estonia,World,Consumer goods,Export,Export(US$ Mil),           7201.81,           5767.88,           6145.33,           6655.90,           5785.24,           5161.73,           5294.38,           6694.14,           7059.67,           7657.38,           7707.78,           5589.58,           5154.94,           6040.22,           5213.22,           4364.57,           2890.94,           2388.15,           2150.11,           1654.20,           1369.09,           1134.60,           1017.86,           1104.28,           1151.91,            917.04,            798.31,,,,,,,
Estonia,World,Minerals,Export,Export(US$ Mil),             26.70,             29.57,             60.21,             73.14,             53.22,             22.29,             26.65,             59.87,             68.42,             59.77,             61.30,             38.76,             38.77,             87.08,             51.33,             27.26,             21.38,             18.76,             19.34,             15.39,             16.37,             16.65,             17.89,             21.03,             29.18,             17.11,             18.15,,,,,,,
Estonia,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           2255.87,           1731.91,           1831.76,           1973.83,           1793.65,           1649.46,           1523.65,           2043.33,           1994.49,           1709.69,           1743.71,           1398.34,           1048.70,           2057.56,           1996.76,           1729.16,           1406.25,            846.72,            517.94,            379.78,            339.08,            312.37,            383.02,            518.33,            444.33,            321.22,            243.40,,,,,,,
Estonia,World,Raw materials,Export,Export(US$ Mil),           1851.03,           1454.76,           1550.00,           1589.11,           1456.00,           1180.86,           1219.12,           1484.62,           1608.07,           1590.38,           1656.85,           1239.16,            804.86,           1249.18,           1028.97,            823.22,            711.55,            614.58,            610.38,            518.25,            445.44,            487.38,            471.17,            566.30,            454.91,            227.07,            249.85,,,,,,,
Estonia,World,Capital goods,Export,Export(US$ Mil),           6583.40,           5500.57,           5154.37,           5367.88,           4689.47,           4598.74,           4325.39,           5509.38,           5651.81,           5274.04,           5178.46,           3224.62,           2202.64,           3148.54,           2665.84,           2617.84,           2581.37,           1969.76,           1516.48,           1090.94,           1283.65,           1317.97,            706.14,            748.96,            546.48,            350.28,            316.45,,,,,,,
Estonia,World,Plastic or Rubber,Export,Export(US$ Mil),            676.33,            550.63,            547.23,            548.95,            513.21,            471.53,            485.78,            664.75,            778.23,            777.69,            688.19,            515.79,            423.09,            594.83,            456.95,            298.70,            270.55,            213.87,            184.10,            122.15,             89.93,             75.37,             68.25,             73.48,             59.09,             45.15,             48.85,,,,,,,
Estonia,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,,,            106.03,,,,,,,,
Estonia,Sweden,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           1972.94,           1693.11,           1685.56,           1855.03,           1959.64,           2357.98,           2410.42,           2868.12,           2728.44,           2559.93,           2586.94,           1795.13,           1136.21,           1721.67,           1467.34,           1189.63,           1010.07,            904.79,            701.58,            539.82,            473.33,            663.44,            560.82,            541.68,            394.68,            240.02,            199.83,,,,,,,
Estonia,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,            277.05,            194.20,            237.88,,,,,,,,,,
Estonia,World,Vegetable,Export,Export(US$ Mil),            714.03,            630.97,            523.65,            384.03,            367.71,            303.90,            319.88,            323.30,            344.19,            344.57,            311.10,            235.90,            200.58,            267.93,            203.99,            136.74,            106.02,             55.51,             56.75,             49.11,             39.18,             28.80,             31.29,             47.01,             41.25,             35.29,             31.63,,,,,,,
Estonia,World,Footwear,Export,Export(US$ Mil),             58.86,             56.54,             65.60,             80.85,             91.89,             91.19,             54.42,             95.32,            127.59,            156.87,            142.73,             69.78,             65.15,             95.06,            107.76,             72.59,             66.08,             51.10,             67.26,             52.67,             46.29,             47.01,             43.97,             40.84,             32.65,             32.64,             26.68,,,,,,,
