Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Ethiopia(excludes Eritrea),World,Consumer goods,Export,Export(US$ Mil),            488.25,            413.72,            470.67,            131.73,            210.27,            186.34,            183.21,            175.10,            156.10,            141.00,            134.14,             83.43,             51.47,             57.38,             44.52,            401.98,            230.33,             78.52,             21.61,              7.09,              6.31,              5.19,              4.24,              7.35,              5.66,,             13.61,,,,,,,
Ethiopia(excludes Eritrea),World,Minerals,Export,Export(US$ Mil),              7.51,              9.20,             16.72,             28.33,             22.96,             12.86,             12.74,             22.73,              3.51,             16.04,             26.06,             16.87,              9.83,              5.83,              8.52,              4.21,              7.41,              3.47,              3.26,              5.24,              2.22,              0.10,              0.01,,              0.00,,              0.06,,,,,,,
Ethiopia(excludes Eritrea),Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,             93.18,             91.31,            108.69,,             87.38,,,,,,,
Ethiopia(excludes Eritrea),World,Raw materials,Export,Export(US$ Mil),           2238.66,           1767.73,           1713.29,            919.62,           1389.18,           1254.24,           1258.44,           1474.94,           1105.18,           1298.13,           1165.19,            798.67,            582.99,            524.92,            412.77,            394.62,            617.25,            363.52,            390.74,            290.75,            294.79,            379.65,            392.65,            497.78,            477.69,,            332.31,,,,,,,
Ethiopia(excludes Eritrea),World,Capital goods,Export,Export(US$ Mil),             34.08,             92.80,            136.73,            140.52,            199.65,            102.38,             79.80,             91.67,             49.84,             44.37,             79.69,             88.89,             73.38,             30.93,             72.65,              1.59,              7.98,              4.36,              0.17,              0.59,              2.26,              0.43,              0.53,              0.41,              0.12,,              0.02,,,,,,,
Ethiopia(excludes Eritrea),World,Plastic or Rubber,Export,Export(US$ Mil),              8.26,              6.40,              8.59,              3.60,              4.78,              3.18,              3.25,              4.69,              1.81,              1.55,              2.41,              2.05,              1.03,              4.86,              2.18,              0.58,              0.42,              0.10,              0.07,              0.03,              0.00,              0.00,              0.01,              0.00,              0.00,,,,,,,,,
Ethiopia(excludes Eritrea),United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,,             66.73,,,,,,,,,
Ethiopia(excludes Eritrea),Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,            784.96,,,,,,,,            426.99,,,            232.32,            195.62,            183.73,,            102.99,            131.83,             90.53,            116.30,,             96.18,,,,,,,
Ethiopia(excludes Eritrea),World,Vegetable,Export,Export(US$ Mil),           2591.40,           2054.10,           2031.07,           1031.18,           1546.09,           1396.44,           1344.92,           1616.77,           1235.58,           1392.29,           1188.03,            838.82,            614.42,            534.92,            418.02,            732.27,            764.64,            424.12,            410.04,            309.32,            289.21,            378.73,            393.68,            492.56,            472.28,,            333.28,,,,,,,
Ethiopia(excludes Eritrea),World,Footwear,Export,Export(US$ Mil),              4.46,              8.12,             31.99,             26.60,             46.93,             37.73,             33.90,             32.10,             27.98,             14.48,              8.72,              7.91,              6.60,              9.79,              7.78,              3.16,              1.03,              0.41,              0.95,              0.05,              0.11,              0.07,              0.04,              0.09,              0.07,,              0.04,,,,,,,
Ethiopia(excludes Eritrea),United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,            669.54,,,,,,,,,            483.16,            482.74,,            720.09,,            394.97,,,,,,,,,,,,,,,,,,
Ethiopia(excludes Eritrea),World,Miscellaneous,Export,Export(US$ Mil),              3.93,             23.46,             14.73,             12.44,              9.24,             41.89,              9.04,             22.35,             11.95,             10.27,              8.93,             12.68,              7.81,              4.63,             41.46,              0.46,              2.49,              3.69,              0.13,              0.14,              0.08,              0.06,              0.06,              1.47,              0.08,,              0.03,,,,,,,
