Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
European Union,World,Consumer goods,Export,Export(US$ Mil),         936354.65,         801147.00,         797573.01,         813615.15,         756862.73,         683067.38,         699477.73,         803050.48,         801376.22,         767025.67,         732918.00,         603927.24,         505266.44,         637148.37,         566546.82,         487720.71,         423911.69,         383600.67,         328235.89,         279866.91,         246348.98,         237385.29,,,,,,,,,,,,
European Union,World,Minerals,Export,Export(US$ Mil),          13170.98,           9468.18,           8886.63,           9490.27,           8372.39,           6600.00,           7093.86,           8583.35,           8621.58,           8531.97,           8619.09,           6879.04,           5485.76,           6743.99,           5697.59,           4942.17,           4147.52,           3349.69,           2943.16,           2557.24,           2308.52,           2378.56,,,,,,,,,,,,
European Union,World,Raw materials,Export,Export(US$ Mil),         117237.87,          96108.72,          93041.71,          93800.51,          87756.48,          79393.97,          79439.19,          94910.97,         102434.36,         100523.55,         103577.20,          84160.89,          65785.06,          83546.31,          70743.60,          60061.31,          54869.20,          48899.45,          41849.99,          37309.93,          32698.19,          35927.25,,,,,,,,,,,,
European Union,World,Capital goods,Export,Export(US$ Mil),         870298.95,         753079.68,         833790.08,         841891.41,         780636.50,         715342.14,         718451.69,         816669.99,         820644.08,         794540.33,         794958.33,         672073.90,         585158.78,         746450.01,         659318.63,         563982.28,         520053.26,         463895.38,         379098.04,         324757.65,         318926.21,         314469.64,,,,,,,,,,,,
European Union,World,Plastic or Rubber,Export,Export(US$ Mil),         112138.86,          90186.84,          82987.70,          87510.55,          82266.60,          74357.93,          74992.40,          87612.50,          86637.63,          83956.72,          83984.14,          72021.17,          56726.91,          66281.14,          60810.49,          51872.25,          45827.20,          40423.51,          32774.17,          26824.49,          26007.79,          26301.05,,,,,,,,,,,,
European Union,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,         169736.69,         172481.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
European Union,Norway,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,          24272.53,,,,,,,,,,,,
European Union,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,          88345.34,,,         108757.26,          98525.50,          92349.69,          93173.68,          82109.35,          69698.44,          72655.64,          84726.05,,,,,,,,,,,,
European Union,World,Vegetable,Export,Export(US$ Mil),          57426.11,          50583.18,          37138.90,          35439.93,          34561.36,          34896.71,          35634.53,          39919.59,          40920.20,          35042.04,          34911.57,          28619.81,          24643.79,          30969.32,          22623.53,          18076.87,          16233.75,          15341.76,          14874.18,          12661.08,          10764.26,          11599.93,,,,,,,,,,,,
European Union,World,Footwear,Export,Export(US$ Mil),          16900.01,          15341.09,          13524.99,          13090.25,          11866.59,          10405.78,          10067.17,          11836.28,          11491.50,          10263.04,           9830.37,           7935.38,           7258.79,           9053.82,           8222.18,           7018.25,           6329.23,           6443.64,           5835.63,           5660.93,           5640.41,           5456.01,,,,,,,,,,,,
European Union,World,Miscellaneous,Export,Export(US$ Mil),         239211.54,         202431.80,         232460.39,         224368.14,         210632.11,         195966.48,         192231.28,         207758.10,         199440.82,         190457.14,         178986.43,         155731.08,         222691.67,         286429.22,         221274.47,         188839.39,         168731.45,         164820.24,         134620.58,         114854.88,          72700.91,          70146.04,,,,,,,,,,,,
European Union,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,         260734.89,         228726.18,         249834.46,         246853.04,         221016.78,         186457.91,         187589.94,         217375.32,         195611.52,         184521.54,         188859.58,         149358.53,         115078.24,         115411.79,          98581.46,          80063.40,          64261.78,          60171.48,          46958.00,          33180.58,          27443.56,,,,,,,,,,,,,
European Union,Switzerland,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,         147927.84,         125005.83,         148054.08,         128908.82,         125930.50,         135220.13,         114441.59,         129230.87,         126288.44,         136901.86,         130709.13,         113691.41,         114186.23,         123510.08,         107702.96,,          84128.44,          78558.74,          68112.37,          59280.16,          57846.52,          58386.85,,,,,,,,,,,,
European Union,...,...,Import,No. Of Import products,           4556.00,           4556.00,           4553.00,           4555.00,           4553.00,           4579.00,           4580.00,           4580.00,           4578.00,           4580.00,           4610.00,           4609.00,           4610.00,           4610.00,           4609.00,           4871.00,           4871.00,           4872.00,           4871.00,           4870.00,           4942.00,           4943.00,,,,,,,,,,,,
European Union,...,...,Export,No. Of Export products,           4556.00,           4556.00,           4556.00,           4555.00,           4556.00,           4579.00,           4580.00,           4579.00,           4581.00,           4580.00,           4609.00,           4609.00,           4611.00,           4610.00,           4610.00,           4872.00,           4871.00,           4871.00,           4873.00,           4871.00,           4943.00,           4941.00,,,,,,,,,,,,
European Union,Switzerland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,         185716.06,         162387.96,         179973.40,         184695.08,         169381.20,         157709.76,         166960.07,         186405.04,         224207.86,         170928.59,         197462.25,         146040.22,         125398.01,         150104.96,         129513.85,         112581.00,         108351.88,          94847.02,          81689.64,          69547.06,          69202.17,          67379.08,,,,,,,,,,,,
European Union,...,...,Export,No. Of Export partners,            210.00,            210.00,            209.00,            209.00,            209.00,            209.00,            209.00,            209.00,            211.00,            206.00,            206.00,            206.00,            205.00,            205.00,            205.00,            205.00,            204.00,            204.00,            204.00,            204.00,            205.00,            190.00,,,,,,,,,,,,
European Union,World,Intermediate goods,Export,Export(US$ Mil),         575100.79,         456091.32,         471814.63,         480283.70,         420763.64,         380894.40,         415579.12,         463436.20,         505961.18,         438219.55,         469832.06,         375858.45,         325117.79,         394667.70,         350858.92,         301181.49,         270217.97,         234397.08,         193819.59,         165390.06,         149486.92,         148997.82,,,,,,,,,,,,
European Union,Norway,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,          95176.68,         100743.55,         105231.23,         109554.11,,          96039.51,         141363.66,,          99442.80,,,,,,,,,,,,,,,,,,
European Union,World,Textiles and Clothing,Export,Export(US$ Mil),          69054.88,          59112.06,          59177.55,          58960.54,          53944.05,          49456.69,          49250.95,          57130.73,          55605.55,          53112.74,          53989.97,          45267.13,          40388.78,          50809.44,          47739.65,          41806.72,          38963.62,          38403.48,          34095.24,          30088.36,          29970.78,          29212.36,,,,,,,,,,,,
European Union,World,Food Products,Export,Export(US$ Mil),         125540.98,         109557.70,          94373.78,          93294.98,          87039.52,          79474.77,          77258.06,          86789.42,          84217.75,          79530.16,          75252.15,          62578.36,          54542.56,          59426.24,          54069.24,          47696.94,          41284.81,          37774.78,          34244.63,          29492.54,          26772.29,          25676.09,,,,,,,,,,,,
European Union,World,Consumer goods,Import,Import(US$ Mil),         768767.58,         625080.91,         702834.89,         711028.55,         641349.55,         587856.55,         598944.40,         685576.84,         671240.52,         662650.05,         696929.35,         590626.64,         528961.90,         636056.53,         579694.18,         501848.73,         425605.93,         372249.33,         315802.45,         256354.95,         231238.01,         228116.56,,,,,,,,,,,,
European Union,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,          91401.49,         117740.59,          85906.82,          70785.97,          62364.30,,,          32963.55,,,,,,,,,,,,,,
European Union,World,Transportation,Export,Export(US$ Mil),         355663.13,         304915.87,         337606.50,         359743.69,         345888.17,         326253.37,         328274.15,         352920.43,         349895.58,         330031.42,         314490.21,         258667.79,         197016.32,         270242.11,         240828.45,         205781.59,         195080.06,         166266.49,         142971.56,         123528.67,         120706.36,         115807.99,,,,,,,,,,,,
European Union,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,         559014.75,         438340.16,         471070.70,         466359.66,         422718.74,         389092.65,         388706.00,         400838.67,         371097.46,         374780.54,         409574.53,         374704.01,         300059.36,         367073.80,         320892.62,         245994.36,         199981.05,         160680.00,         120527.11,          85366.68,          73429.98,          68662.88,,,,,,,,,,,,
European Union,World,Raw materials,Import,Import(US$ Mil),         417993.06,         289112.79,         413799.59,         454250.41,         377246.16,         303593.84,         350864.00,         532350.40,         578372.25,         618530.35,         618957.84,         466615.30,         364557.97,         599986.11,         451183.96,         396902.28,         333821.51,         253945.93,         198031.10,         163809.05,         159159.27,         171737.07,,,,,,,,,,,,
European Union,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,          54017.04,          46418.95,          41072.74,          40725.31,          41823.04,,,,,,,,,,,,
European Union,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,         331582.33,         286341.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
European Union,Russian Federation,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,         174567.48,          98723.47,         162453.91,         180389.69,         147787.01,         118803.21,         135256.93,         222237.51,         252849.88,         255318.33,         258434.44,         197515.80,         166668.54,         265915.89,         201510.23,         179255.37,         141571.68,         105608.78,          80611.67,          61601.84,          58990.81,          58676.07,,,,,,,,,,,,
European Union,World,Hides and Skins,Export,Export(US$ Mil),          25921.61,          20169.41,          23024.26,          21057.98,          19480.24,          17325.60,          18211.58,          20407.39,          21721.59,          19626.32,          18732.88,          14593.84,          11400.24,          14105.75,          12892.92,          11950.97,          10243.34,           9751.59,           8329.45,           7327.73,           7425.30,           7052.66,,,,,,,,,,,,
