Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Fiji,World,Consumer goods,Export,Export(US$ Mil),            426.55,            387.34,            538.78,            576.19,            530.47,            467.23,            510.92,            738.55,            636.38,            646.93,            590.03,            444.03,            314.04,            512.13,            419.15,            369.49,            378.01,            268.24,            228.14,            265.55,,,,,,,,,,,,,,
Fiji,World,Minerals,Export,Export(US$ Mil),              6.61,              6.18,              6.35,             14.78,             10.36,             13.64,             16.07,             18.42,             14.44,             10.44,              3.96,              3.76,              4.29,              5.33,              4.77,              2.41,              1.15,              0.74,              1.66,              3.33,              3.14,              2.47,,,,,,,,,,,,
Fiji,World,Raw materials,Export,Export(US$ Mil),            148.94,            143.12,            156.54,            178.54,            172.07,            162.71,            204.86,            234.65,            167.16,            226.66,            182.19,            160.32,            108.01,            131.24,            109.05,             95.42,             84.52,             76.10,             66.97,             58.71,,,,,,,,,,,,,,
Fiji,World,Capital goods,Export,Export(US$ Mil),             54.52,             74.43,            112.58,             87.94,            116.58,             83.10,             50.25,             98.02,             69.71,             74.27,             38.02,             24.20,             16.32,             17.29,             30.02,             12.16,             13.33,              1.91,              3.98,             11.88,,,,,,,,,,,,,,
Fiji,World,Plastic or Rubber,Export,Export(US$ Mil),              5.94,              6.68,              6.78,              6.98,              7.21,              7.42,              6.39,              8.68,              6.86,              4.82,              5.61,              3.77,              2.64,              2.42,              4.14,              2.90,              2.00,              1.40,              1.93,              2.68,              1.37,              1.66,,,,,,,,,,,,
Fiji,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,            127.75,,            158.39,,,,,,,,,,             64.50,             68.03,             60.42,             57.93,             39.31,             33.40,,,,,,,,,,,,,
Fiji,World,Vegetable,Export,Export(US$ Mil),             60.67,             51.88,             45.05,             44.52,             41.97,             52.26,             53.17,             57.44,             47.75,             49.43,             49.31,             43.33,             36.21,             48.83,             43.63,             35.42,             31.88,             32.32,             24.54,             19.79,             18.82,             21.26,,,,,,,,,,,,
Fiji,World,Footwear,Export,Export(US$ Mil),              0.98,              0.40,              0.77,              0.91,              1.06,              1.23,              0.98,              1.67,              1.64,              1.37,              1.12,              1.18,              1.02,              1.51,              2.04,              2.68,              5.63,             12.71,             11.53,             10.31,             10.19,             11.65,,,,,,,,,,,,
Fiji,World,Miscellaneous,Export,Export(US$ Mil),             13.95,             66.01,             17.48,             16.43,             19.05,             24.34,             12.62,             21.20,             23.09,             19.99,             10.89,              8.21,              8.36,              9.01,              9.70,              9.08,              9.12,             11.15,             12.74,              8.54,             13.43,              8.79,,,,,,,,,,,,
Fiji,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,             46.20,             40.82,,,,             47.10,,             80.48,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,...,...,Import,No. Of Import products,           3281.00,           3300.00,           3439.00,           3518.00,           3497.00,           3476.00,           3536.00,           3587.00,           3548.00,           3507.00,           3498.00,           3431.00,           3430.00,           3477.00,           3569.00,           3742.00,           3738.00,           3677.00,           3651.00,           3623.00,              1.00,              1.00,,,,,,,,,,,,
Fiji,...,...,Export,No. Of Export products,           1921.00,           1949.00,           2045.00,           2055.00,           2152.00,           2155.00,           2238.00,           2152.00,           2223.00,           2082.00,           2080.00,           1980.00,           1851.00,           1847.00,           1972.00,           2003.00,           1980.00,           1667.00,           1634.00,           2110.00,              1.00,              1.00,,,,,,,,,,,,
Fiji,Tonga,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,             47.13,,             49.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,...,...,Export,No. Of Export partners,            105.00,            104.00,            117.00,            121.00,            121.00,            114.00,            117.00,            126.00,            111.00,            113.00,            125.00,            124.00,            106.00,            109.00,            106.00,            111.00,            105.00,            101.00,            110.00,            109.00,            115.00,            110.00,,,,,,,,,,,,
Fiji,"Korea, Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,             95.52,,            137.84,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,            386.31,,,,,            135.43,            413.44,,,,,,,,,,,,,,,,,,,,,,,,,
