Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Georgia,World,Consumer goods,Export,Export(US$ Mil),           1644.68,           1392.52,           1872.09,           1579.53,           1175.88,            802.79,            845.31,           1313.85,           1330.01,           1046.44,            800.92,            508.24,            302.57,            374.13,            334.75,            254.57,            269.14,            181.52,            153.30,             98.59,             85.37,             83.69,             62.55,             71.04,             87.37,             75.01,,,,,,,,
Georgia,World,Minerals,Export,Export(US$ Mil),            887.27,            840.74,            678.88,            523.73,            434.74,            341.27,            277.36,            267.65,            199.22,             93.13,            116.73,             92.86,             91.02,            204.78,            144.90,            111.52,             56.85,             45.25,             32.77,             19.68,             24.44,             31.14,             15.82,             10.25,             11.26,             14.69,,,,,,,,
Georgia,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,            454.63,            432.14,,            466.10,            448.95,            540.44,            480.97,            334.69,            302.77,            432.82,            386.14,            350.77,            206.49,            150.84,,             59.60,             75.80,             54.86,             44.09,             82.13,,,,,,,,,,
Georgia,World,Raw materials,Export,Export(US$ Mil),           1347.38,           1152.62,            938.51,            801.56,            724.04,            686.34,            657.86,            641.00,            615.48,            423.66,            485.93,            408.93,            295.74,            392.17,            366.77,            311.67,            260.62,            216.37,            158.21,             94.82,            108.58,            133.16,             73.10,             43.44,             47.03,             44.67,,,,,,,,
Georgia,World,Capital goods,Export,Export(US$ Mil),            269.72,            146.33,            241.45,            201.97,            140.01,             76.22,            117.22,            136.26,            177.28,            138.65,             96.81,             76.25,             68.18,             72.50,             76.03,            105.09,            117.00,            114.36,             45.70,             54.73,             55.74,             34.04,             38.28,             11.95,             14.79,             10.58,,,,,,,,
Georgia,World,Plastic or Rubber,Export,Export(US$ Mil),             61.93,             38.81,             70.28,             66.55,             50.90,             34.30,             32.85,             35.60,             24.83,             13.10,              4.62,              2.55,              1.87,              2.26,              2.56,              2.47,              0.65,              2.09,              1.34,              1.44,              1.07,              1.43,              1.08,              0.87,              1.41,              2.16,,,,,,,,
Georgia,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,            158.40,            123.74,,,,,,,,,,,,,,,
Georgia,World,Vegetable,Export,Export(US$ Mil),            295.20,            231.16,            172.47,            165.08,            168.48,            250.43,            241.67,            263.39,            297.42,            179.02,            156.81,            111.02,            120.40,             65.65,             97.37,             81.00,             95.18,             53.49,             34.38,             23.16,             22.37,             34.61,             34.10,             31.03,             30.75,             37.55,,,,,,,,
Georgia,Kazakhstan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,            156.87,,,,,,,,,,,,,,,,,,,,,,,
Georgia,World,Footwear,Export,Export(US$ Mil),              5.82,              7.12,              4.82,              2.35,              1.58,              2.24,              2.27,              4.19,              3.14,              0.54,              0.40,              0.26,              1.18,              1.17,              0.82,              0.35,              0.14,              0.13,              0.14,              0.03,              0.71,              1.52,              1.50,              0.74,              0.47,              0.63,,,,,,,,
Georgia,Bulgaria,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,,,             43.27,,,,,,,,
Georgia,World,Miscellaneous,Export,Export(US$ Mil),             85.81,             65.66,             89.44,             72.42,             37.89,             43.16,             34.56,             28.46,             28.70,             60.81,             69.83,             58.55,             44.90,              9.90,             11.17,              9.35,              6.97,              2.97,              1.40,              3.09,              1.81,              3.18,              5.17,              1.41,              0.54,              1.04,,,,,,,,
Georgia,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            615.68,            477.26,,,            201.70,            174.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,...,...,Import,No. Of Import products,           3909.00,           3853.00,           3931.00,           3926.00,           3935.00,           3885.00,           3887.00,           3881.00,           3885.00,           3853.00,           3795.00,           3688.00,           3624.00,           3914.00,           3966.00,           3906.00,           3692.00,           3589.00,           3237.00,           3098.00,           3049.00,           3030.00,           2964.00,           2628.00,           2386.00,           2070.00,,,,,,,,
Georgia,...,...,Export,No. Of Export products,           2502.00,           2440.00,           2521.00,           2351.00,           2249.00,           2145.00,           2148.00,           2112.00,           2056.00,           1955.00,           1829.00,           1742.00,           1618.00,           1676.00,           1620.00,           1624.00,           1432.00,           1316.00,           1206.00,           1166.00,           1146.00,           1195.00,           1219.00,           1018.00,            932.00,            863.00,,,,,,,,
Georgia,Switzerland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,             33.25,,             16.33,,,,             13.92,,,,,,,,,
Georgia,...,...,Export,No. Of Export partners,            130.00,            127.00,            124.00,            121.00,            119.00,            115.00,            112.00,            120.00,            110.00,            112.00,            107.00,            106.00,            103.00,             93.00,             96.00,            101.00,             93.00,             80.00,             84.00,             87.00,             81.00,             86.00,             68.00,             65.00,             59.00,             50.00,,,,,,,,
Georgia,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,             34.00,             24.53,             13.24,,,,,,,,,,
Georgia,Turkmenistan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,             71.81,             75.83,            113.44,             54.91,             36.73,             28.88,,,,,             13.43,,,,,,,,
Georgia,World,Intermediate goods,Export,Export(US$ Mil),            968.70,            642.87,            737.24,            785.47,            698.60,            504.07,            553.43,            762.71,            783.17,            731.32,            750.89,            637.27,            432.10,            656.07,            450.62,            263.22,            217.53,            134.21,            103.68,             97.30,             67.74,             70.22,             64.23,             65.88,             90.59,             68.50,,,,,,,,
Georgia,World,Textiles and Clothing,Export,Export(US$ Mil),            167.72,            111.31,            128.06,             99.86,             96.57,             85.83,             91.27,             90.97,             62.55,             44.61,             27.71,             29.15,             25.14,             21.30,             16.32,             11.99,              8.96,              2.29,              3.45,              1.76,              1.39,              1.41,              1.62,              2.68,              3.70,              5.70,,,,,,,,
Georgia,World,Food Products,Export,Export(US$ Mil),            743.01,            617.11,            641.48,            711.31,            528.33,            367.79,            317.46,            500.99,            405.12,            266.54,            214.60,            179.97,            147.54,            175.62,            196.10,            151.49,            204.55,            143.38,            129.31,             78.42,             60.70,             57.53,             30.73,             37.59,             47.77,             21.61,,,,,,,,
Georgia,World,Consumer goods,Import,Import(US$ Mil),           5210.48,           4176.21,           5189.81,           4992.15,           4355.25,           3904.19,           3939.02,           4865.01,           4571.24,           4423.61,           3879.38,           3023.30,           2450.93,           3329.09,           2742.59,           2080.60,           1351.28,            924.58,            539.03,            422.73,            389.83,            359.62,            344.40,            429.97,            542.77,            397.12,,,,,,,,
Georgia,Bulgaria,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,            312.74,            299.70,            259.17,,            160.76,            214.25,,,,,,,,,,             42.84,,,,,,,,,,,,,,,,,
Georgia,Romania,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,,,             40.94,,,,,,,,
Georgia,World,Transportation,Export,Export(US$ Mil),            507.31,            465.77,            817.64,            482.30,            276.33,            188.81,            228.49,            588.32,            807.67,            667.64,            546.55,            301.88,            122.41,            163.51,            108.98,            121.23,            111.90,             97.96,             44.84,             56.77,             40.43,             15.32,             28.97,              5.57,              5.83,              3.52,,,,,,,,
Georgia,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            865.02,            709.08,            858.66,            834.13,            732.65,            547.51,            587.28,            733.47,            612.25,            614.42,            527.70,            335.16,,,,,,,,,,,,,,,,,,,,,,
Georgia,Armenia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,            432.56,            286.33,            213.54,            152.74,            180.15,            280.57,            312.62,            255.69,            218.07,            163.69,             88.26,            124.78,            110.78,             73.52,,             54.33,             30.68,,,             13.55,             15.00,             17.83,             18.94,             21.03,,,,,,,,
Georgia,World,Raw materials,Import,Import(US$ Mil),           1288.15,           1142.79,           1178.23,            985.95,            876.17,            696.85,            752.63,            816.68,            761.04,            672.20,            359.65,            267.83,            193.80,            432.99,            365.67,            234.97,            121.44,            130.26,             67.64,             59.44,             51.87,             66.74,             48.18,             70.63,             94.88,             91.50,,,,,,,,
Georgia,Azerbaijan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            531.73,            441.30,            508.68,            507.64,            274.22,,            240.87,            544.17,            709.93,            626.51,            425.73,            255.81,            164.99,            205.22,            137.29,             88.25,             83.26,,,             29.21,,             20.27,             19.18,             18.47,             25.10,             24.34,,,,,,,,
Georgia,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,             31.67,,             32.77,             22.87,,,,,,,,,,,,,
Georgia,Russian Federation,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           1023.18,            888.47,            977.12,            934.72,            789.56,            680.59,            625.47,            462.23,            503.52,,,,,            424.65,            575.28,            557.60,            382.63,            254.89,            160.63,            121.73,             92.78,             92.78,            115.63,            127.14,            124.51,            127.09,,,,,,,,
Georgia,World,Hides and Skins,Export,Export(US$ Mil),              1.61,              1.13,              3.02,              2.73,              3.60,              4.34,              5.62,              7.43,              7.05,              5.25,              4.86,              4.04,              2.22,              2.75,              3.64,              2.48,              1.68,              1.70,              1.71,              1.74,              2.09,              2.32,              0.76,              0.94,              1.51,              1.77,,,,,,,,
Georgia,...,...,Development,Trade Balance (current US$ Mil),,          -2949.47,          -1566.38,          -1872.34,          -1784.26,          -2305.53,          -2548.80,          -2980.01,          -2089.94,          -3117.91,          -2745.21,          -2080.18,          -2056.75,          -3809.30,          -2721.94,          -1873.12,          -1154.69,           -860.18,           -587.59,           -447.24,           -463.84,           -509.76,           -533.15,           -746.17,           -931.43,           -589.43,           -453.22,          -1291.19,           -668.28,,,           -413.52,,
Georgia,Russian Federation,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            610.06,            441.11,            496.97,            437.75,            397.85,            206.69,            162.89,            270.03,            179.68,,,,,,,             75.57,            153.72,            104.53,             83.93,             61.10,             74.01,             67.22,             44.61,             55.23,             68.69,             56.66,,,,,,,,
Georgia,...,...,Tariff,No. Of Tariff Agreement,             10.00,              9.00,,,,              4.00,              5.00,,              3.00,             13.00,             13.00,             13.00,             13.00,             12.00,             11.00,             13.00,              1.00,              1.00,              1.00,              1.00,              2.00,,              4.00,,,,,,,,,,,
Georgia,Turkey,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           1828.98,           1407.71,           1617.15,           1474.32,           1373.87,           1353.93,           1327.47,           1728.76,           1410.20,           1470.24,           1278.68,            885.90,            786.91,            916.17,            708.37,            519.37,            282.26,            201.37,            111.62,             89.22,            106.91,            111.09,             73.20,             98.39,            116.72,             76.59,,,,,,,,
Georgia,World,Wood,Export,Export(US$ Mil),             69.16,             50.91,             54.96,             43.19,             45.72,             34.15,             26.33,             28.04,             32.78,             37.25,             24.73,             19.48,             24.87,             25.84,             25.52,             21.03,             17.19,             13.17,             11.26,              5.73,              4.54,              8.14,              6.27,              6.55,              5.96,             12.84,,,,,,,,
Georgia,World,Mach and Elec,Export,Export(US$ Mil),            198.13,             83.80,            137.91,            127.41,             97.95,             52.75,             64.92,             71.58,             77.49,             68.53,             48.02,             27.11,             29.10,             29.90,             44.05,             38.06,             34.78,             22.04,             12.22,              9.62,             15.75,             23.35,             12.83,              9.02,             11.68,              7.72,,,,,,,,
Georgia,...,...,Development,GDP (current US$ Mil),,          15891.69,          17477.26,          17599.70,          16242.92,          15141.76,          14953.95,          17627.00,          17189.55,          16488.40,          15107.44,          12243.51,          10766.84,          12795.08,          10172.88,           7745.39,           6410.82,           5125.37,           3991.28,           3395.73,           3219.49,           3057.48,           2800.05,           3613.54,           3510.52,           3095.05,           2693.77,           2514.07,           2688.02,,,           7753.54,,
Georgia,World,Metals,Export,Export(US$ Mil),            671.85,            337.11,            444.68,            510.40,            440.95,            250.69,            293.43,            481.79,            462.66,            454.29,            525.93,            488.11,            232.10,            475.60,            332.03,            217.87,            195.42,            167.29,            113.63,             70.34,             80.54,             80.81,             55.98,             38.51,             49.60,             29.87,,,,,,,,
Georgia,World,All Products,Tariff,Duty Free Imports (US$ Thousand),        8022564.40,        7191228.75,,,,        6282619.32,        7126074.45,,        6751016.10,        7265131.01,        5763020.74,        4847693.55,        3878560.79,        5720469.38,        4713021.94,        2038312.61,         615909.32,          38939.98,          24549.64,          21619.49,          15172.33,,              0.00,,,,,,,,,,,
Georgia,Azerbaijan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            598.39,            513.21,            558.97,            592.76,            567.11,            492.57,            538.64,,,            460.44,            472.12,            391.86,            288.77,            607.64,            381.94,            318.49,            233.34,            155.82,             93.71,             80.29,             73.21,             56.06,             41.48,             73.52,            115.80,             78.70,,,,,,,,
Georgia,World,Stone and Glass,Export,Export(US$ Mil),             93.43,            119.56,             96.89,             98.50,             88.27,             98.93,             85.95,             63.01,            100.24,            109.47,            126.25,            130.69,            122.45,            108.55,             79.99,             56.71,             40.52,             22.64,             22.73,             29.60,             15.35,              3.08,              1.19,              1.61,              3.30,              1.50,,,,,,,,
Georgia,World,Intermediate goods,Import,Import(US$ Mil),           1738.77,           1288.61,           1401.05,           1398.31,           1209.43,           1031.68,           1068.63,           1262.10,           1176.04,           1255.57,           1036.71,            747.50,            565.34,           1026.07,            806.59,            521.48,            422.39,            375.56,            269.92,            129.00,            122.68,            111.14,             80.23,            167.02,            190.66,            135.57,,,,,,,,
Georgia,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,            207.37,,            226.20,            143.47,            187.23,,,            149.04,,,,,,,,,,,,,,,,,,,
