Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Ghana,World,Consumer goods,Export,Export(US$ Mil),,,           1056.56,            924.21,           1111.88,            940.28,           1535.51,           1375.53,            880.89,           1432.30,           5588.60,            177.43,            295.69,            208.31,            266.39,            333.40,            227.53,,            175.05,,            172.89,            229.72,            156.11,            119.00,            135.95,            159.31,,,,,,,,
Ghana,World,Minerals,Export,Export(US$ Mil),,,            424.79,            370.64,            278.11,            167.25,            176.74,            200.33,            208.60,            185.72,            161.24,            102.03,             74.48,             76.75,             49.32,             27.67,             56.32,             20.11,             40.83,,             25.30,             32.77,             27.50,             36.66,             36.16,             44.08,,,,,,,,
Ghana,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,            314.78,            218.95,            189.17,            210.59,            205.21,            222.58,            237.79,            296.27,            292.56,,,,,,,,
Ghana,World,Raw materials,Export,Export(US$ Mil),,,           8074.88,           8760.28,           6054.36,           4339.75,           6189.96,           7535.57,           5231.60,           6184.46,           6538.16,           1066.35,           1267.76,           1443.62,           1185.39,           1379.44,           1039.83,,            830.46,,            291.94,            365.01,            577.02,            558.51,            492.94,            888.50,,,,,,,,
Ghana,World,Capital goods,Export,Export(US$ Mil),,,             47.35,             92.88,             63.50,            104.49,            235.25,            320.07,            259.91,            213.49,            143.13,             73.59,             64.60,            101.16,             63.12,             13.74,             81.87,,             16.69,,              5.66,             18.22,             17.49,             14.44,             10.26,             11.85,,,,,,,,
Ghana,Vietnam,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,            549.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghana,World,Plastic or Rubber,Export,Export(US$ Mil),,,            291.50,            264.16,            448.00,            354.84,            306.24,            343.70,            135.49,            130.69,            462.85,            103.78,            150.39,             66.58,             71.81,            188.05,             29.06,             14.69,             30.82,,             15.10,             29.44,             11.23,              7.36,             12.50,             26.67,,,,,,,,
Ghana,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,            685.55,            604.14,           1099.10,           1106.72,            795.92,,            541.87,            729.37,            607.37,            387.31,            323.10,            393.37,            411.12,            473.96,            368.71,            233.99,            219.05,            238.25,            316.04,            265.45,            307.74,            348.67,            471.15,            429.28,,,,,,,,
Ghana,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,,,            159.31,,,,,,,,
Ghana,World,Vegetable,Export,Export(US$ Mil),,,            660.31,            855.26,            670.76,           1216.21,            812.14,            580.36,            767.56,            499.25,           1205.67,             99.09,             94.08,            232.88,            142.26,            199.67,            122.54,             85.88,             84.86,,             29.34,             66.97,            122.38,             67.27,             50.60,             59.66,,,,,,,,
