Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
"Gambia, The",World,Consumer goods,Export,Export(US$ Mil),             14.49,              3.54,             15.48,              5.87,              4.77,             12.17,              5.41,             14.26,             17.81,             32.07,             34.30,             12.62,              7.04,              1.30,              0.66,              0.37,              0.28,              0.17,              0.20,              0.43,              2.84,              3.03,              2.12,              4.00,              3.18,              1.26,              4.04,,,,,,,
"Gambia, The",Denmark,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,              3.70,,,,,,,,,,,,,,,,
"Gambia, The",World,Minerals,Export,Export(US$ Mil),              0.47,              5.51,              0.39,              0.00,,              0.00,,              0.00,              0.00,              0.00,              0.85,              2.70,              3.44,              0.00,              0.00,              0.09,,,              0.00,              0.00,,,              0.07,              0.31,              0.02,,,,,,,,,
"Gambia, The",Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,             17.19,             27.24,             26.35,             21.47,             29.91,             26.71,             57.24,             61.48,             34.33,             42.71,             26.73,,             19.73,             15.60,,,,,,,,
"Gambia, The",World,Raw materials,Export,Export(US$ Mil),              9.33,              2.76,              5.18,              2.00,              3.31,             17.35,             11.83,             15.96,             10.46,              6.81,              9.81,             20.81,             16.40,              8.26,              5.71,              9.16,              3.59,              2.63,              1.56,              4.03,              2.89,             11.09,              8.81,             16.70,              1.88,              7.67,              7.79,,,,,,,
"Gambia, The",Morocco,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,              0.22,,,,,,,,,,,,,,,,,,
"Gambia, The",World,Capital goods,Export,Export(US$ Mil),              1.68,             12.65,              1.68,              0.11,              0.44,              1.54,              0.17,              7.97,              5.58,              1.79,              1.18,              0.90,              0.38,              0.77,              0.22,              0.37,              0.40,              6.52,              0.34,              0.15,              0.27,              0.52,              0.33,              0.87,              0.82,              0.69,              0.58,,,,,,,
"Gambia, The",Vietnam,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,              1.01,             10.91,              3.69,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gambia, The",World,Plastic or Rubber,Export,Export(US$ Mil),              0.01,              0.01,              0.00,              0.01,              0.01,              0.00,              0.15,              0.42,              0.67,              1.28,              4.33,              1.56,              0.01,              0.02,              0.00,              0.00,              0.00,              0.01,              0.00,              0.01,              0.00,              0.02,              0.01,              0.01,              0.04,              0.01,              0.01,,,,,,,
"Gambia, The",United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,             79.27,,,             18.67,,,,             15.76,             15.08,             23.57,             26.15,             24.71,,             23.55,             19.07,             16.41,             16.36,             14.09,             14.64,             19.53,             25.98,             30.01,             25.03,             21.70,,,,,,,
"Gambia, The",World,Vegetable,Export,Export(US$ Mil),              8.44,              3.62,              3.71,              1.16,              1.86,             15.63,             13.21,              8.00,             13.64,             13.86,             12.38,             20.96,             18.16,              3.98,              6.20,              9.08,              2.81,              8.47,              1.28,             12.86,              5.88,              9.03,              6.42,             16.69,              1.81,              6.83,              3.20,,,,,,,
