Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Grenada,World,Consumer goods,Export,Export(US$ Mil),             17.38,             13.50,             17.05,             15.21,             13.17,             13.45,             14.26,             16.94,             15.08,             16.71,             13.49,              9.49,,             11.24,             14.00,             12.84,             15.53,             19.14,             17.56,             19.36,             20.18,             19.80,             24.66,             17.43,             14.95,              9.57,              8.87,             12.06,             10.52,,,,,
Grenada,World,Minerals,Export,Export(US$ Mil),              0.00,              0.00,              0.02,              0.24,              0.15,              0.00,              0.00,              0.11,              0.01,              0.00,              0.00,              0.00,,              0.00,              0.00,              0.00,              0.00,              0.00,              0.00,,,              0.01,              0.00,              0.00,              0.00,              0.00,,              0.00,              0.00,,,,,
Grenada,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,              8.01,              5.26,,,,,,,,,,,,,,
Grenada,World,Raw materials,Export,Export(US$ Mil),              8.00,              5.54,              9.15,             10.08,              8.29,              8.17,              8.07,              7.59,             11.02,             10.34,              8.06,              7.64,,              5.64,              5.32,              4.27,              3.87,              5.65,              6.16,              5.81,              5.66,              5.63,              5.52,              6.25,              6.80,              7.28,             10.24,              9.19,              8.99,,,,,
Grenada,World,Capital goods,Export,Export(US$ Mil),              4.96,              1.07,              3.38,              6.71,              2.56,              5.50,              2.56,              3.84,              3.59,              3.25,              2.04,              1.36,,              5.08,              8.74,              2.70,              3.93,              2.59,              9.77,              5.83,             26.32,             44.04,              1.18,             13.01,              1.56,              0.61,              0.94,              0.95,              1.25,,,,,
Grenada,World,Plastic or Rubber,Export,Export(US$ Mil),              0.18,              0.09,              0.06,              0.11,              0.07,              0.11,              0.08,              0.23,              0.10,              0.07,              0.06,              0.04,,              0.06,              0.03,              0.04,              0.12,              1.52,              0.64,              0.02,              0.03,              0.61,              1.49,              0.28,              0.40,              0.56,              0.22,              1.01,              0.71,,,,,
Grenada,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,             18.14,             15.72,             19.40,             23.62,             17.29,,             13.60,,             13.65,             10.17,             12.58,             13.15,             11.89,             16.12,             15.45,             16.68,             19.52,             16.37,             15.22,             12.61,             15.00,             21.14,             16.10,             18.93,             15.47,             14.56,             13.22,             14.05,             13.75,,,,,
Grenada,Sweden,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,              3.53,,,,,,,,,,,,,,,
Grenada,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,             12.40,,,,,,,              9.97,             12.95,             17.94,             11.82,             13.40,             12.18,             11.36,              6.44,              8.77,             10.01,             11.02,              9.89,              8.51,              5.63,              4.07,              5.68,              4.69,,,,,
Grenada,World,Vegetable,Export,Export(US$ Mil),             11.84,              9.34,             11.92,             13.60,             13.69,             15.06,             15.71,             14.71,             15.22,             14.57,             14.16,              9.18,,             10.48,              7.55,              7.23,             11.99,             13.73,             14.87,             18.04,             20.00,             18.48,             21.32,             13.26,             10.50,              8.52,              8.66,              9.47,              7.93,,,,,
Grenada,World,Footwear,Export,Export(US$ Mil),              0.04,              0.01,              0.02,              0.01,              0.02,              0.00,              0.02,              0.00,              0.01,              0.01,              0.00,              0.00,,              0.01,              0.00,              0.04,              0.02,              0.01,              0.01,              0.01,              0.01,              0.01,              0.00,              0.00,              0.00,              0.00,              0.00,              1.12,              1.60,,,,,
Grenada,Canada,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,             86.31,,,,,,,,,,,,              5.96,              6.34,              7.05,              6.32,,              4.68,              4.96,,              4.29,,,,,
Grenada,World,Miscellaneous,Export,Export(US$ Mil),              0.75,              0.59,              0.81,              0.44,              0.96,              2.23,              0.84,              1.34,              0.43,              0.29,              0.30,              0.29,,              0.82,              0.44,              0.81,              0.21,              0.19,              0.20,              1.01,              0.70,              0.34,              0.12,              0.21,              0.15,              0.04,              0.21,              0.24,              0.04,,,,,
Grenada,St. Vincent and the Grenadines,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,              1.73,              1.52,              2.37,              2.13,              1.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,St. Kitts and Nevis,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,              2.01,,,              2.61,,              1.86,,,,,,,,,,,,,,,,,,
Grenada,...,...,Import,No. Of Import products,           3140.00,           3082.00,           3148.00,           3144.00,           3076.00,           2986.00,           2995.00,           2901.00,           2929.00,           2855.00,           2748.00,           2858.00,           2873.00,           2929.00,           2935.00,           3047.00,           3115.00,           2907.00,           3023.00,           2994.00,           2979.00,           3019.00,           2195.00,           2165.00,           2162.00,           2153.00,           2099.00,           2112.00,           2075.00,,,,,
Grenada,Dominica,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,              2.42,,              2.57,              2.47,,              5.01,              2.46,              2.43,,,,,,,,,,,,,,,,,,
Grenada,...,...,Export,No. Of Export products,            673.00,            577.00,            630.00,            586.00,            567.00,            616.00,            622.00,            564.00,            684.00,            597.00,            488.00,            498.00,,            499.00,            479.00,            510.00,            570.00,            556.00,            447.00,            371.00,            352.00,            398.00,            354.00,            329.00,            474.00,            219.00,            249.00,            289.00,            328.00,,,,,
Grenada,...,...,Export,No. Of Export partners,             49.00,             40.00,             47.00,             46.00,             39.00,             46.00,             50.00,             51.00,             54.00,             54.00,             41.00,             42.00,,             51.00,             43.00,             43.00,             36.00,             56.00,             43.00,             38.00,             38.00,             47.00,             42.00,             40.00,             38.00,             30.00,             32.00,             40.00,             36.00,,,,,
Grenada,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,              2.11,              4.05,              3.80,              4.03,,              2.36,              1.74,,              1.86,,,,,,
Grenada,World,Intermediate goods,Export,Export(US$ Mil),              4.43,              4.04,              4.48,              5.75,              5.96,              8.00,              8.22,              7.94,              7.66,              7.14,              7.75,              6.43,,              8.58,              5.34,              5.55,              4.31,              4.18,              6.71,              7.26,              6.48,              6.37,              4.95,              3.90,              2.64,              2.30,              1.69,              1.14,              1.65,,,,,
Grenada,World,Textiles and Clothing,Export,Export(US$ Mil),              0.19,              0.14,              0.21,              0.21,              0.18,              0.25,              0.25,              0.22,              0.54,              0.66,              0.54,              0.72,,              0.91,              4.75,              0.80,              0.74,              0.54,              0.57,              0.78,              0.55,              0.78,              0.81,              1.41,              1.40,              0.11,              0.19,              0.37,              0.46,,,,,
Grenada,Trinidad and Tobago,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,             76.87,             76.97,             92.07,            108.41,             84.75,             78.09,             83.81,             63.03,             92.28,             95.36,             80.37,             79.99,             70.88,             90.34,            101.63,             57.32,             69.98,             47.41,             47.53,             41.59,             41.11,             44.54,             43.14,             44.11,             34.60,             32.08,             26.18,             23.46,             27.76,,,,,
Grenada,World,Food Products,Export,Export(US$ Mil),             10.47,              7.13,              9.05,              7.82,              6.19,              5.00,              6.24,              6.37,              7.20,              6.61,              4.86,              4.06,,              4.34,              2.74,              2.93,              2.22,              3.19,              2.90,              3.01,              2.50,              3.18,              3.06,              4.14,              3.87,              4.30,              4.88,              3.64,              4.17,,,,,
