Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Greenland,World,Consumer goods,Export,Export(US$ Mil),,,,            134.99,            100.63,            102.65,             77.78,            120.21,            132.90,            143.69,            143.74,            118.58,            113.21,            147.09,            118.63,            123.74,            131.69,            110.01,             88.10,             79.31,             70.00,             76.98,             83.42,             86.17,             85.98,            121.63,            126.56,            100.75,,,,,,
Greenland,Denmark,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,            546.66,            476.31,            448.81,            321.49,            428.11,            418.99,            430.37,            437.40,            346.51,            313.81,            414.58,            365.14,            340.81,            348.49,            319.11,            323.03,            268.59,            226.06,            233.27,            242.12,            212.20,            250.04,            318.35,            322.52,            262.14,,,,,,
Greenland,World,Minerals,Export,Export(US$ Mil),,,,              0.00,              0.03,              0.00,              0.00,              0.00,              0.04,              0.00,              0.02,              2.65,             19.77,             44.39,             50.23,             29.75,             25.51,             21.80,              0.00,              0.00,              0.00,              0.00,              0.00,,,              0.00,,,,,,,,
Greenland,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,             21.25,,,,             15.12,,             17.41,,,             19.32,             21.00,,             19.24,,,             16.83,,,,,,              8.79,,,              8.67,,,,,,
Greenland,World,Raw materials,Export,Export(US$ Mil),,,,            454.31,            432.94,            386.30,            276.48,            372.43,            290.50,            271.73,            287.95,            212.02,            205.48,            273.40,            246.89,            246.81,            242.22,            239.67,            236.22,            197.44,            164.44,            179.70,            191.12,            153.22,            178.91,            221.48,            221.47,            187.36,,,,,,
Greenland,World,Capital goods,Export,Export(US$ Mil),,,,             25.00,             37.77,             41.60,             13.58,             21.20,             58.85,              4.39,             15.46,             22.83,             15.43,              6.53,              6.17,             16.77,              2.40,              2.57,              3.37,              9.50,              8.47,              1.84,              1.41,              1.23,              5.47,              8.44,              1.03,              1.02,,,,,,
Greenland,World,Plastic or Rubber,Export,Export(US$ Mil),,,,              0.02,              0.05,              0.01,              0.01,              0.01,              0.03,              0.04,              0.03,              0.03,              0.05,              0.07,              0.03,              0.09,              0.01,              0.15,              0.05,              0.04,              0.02,              0.01,              0.01,              0.02,              0.01,              0.01,              0.01,              0.02,,,,,,
Greenland,Norway,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,              5.33,,,,,,,              4.70,              6.11,             14.26,              4.25,,,,,,              7.01,,,,              4.48,,,,,,,,,
Greenland,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,             13.47,             12.03,             10.89,             11.42,             14.06,             12.78,,,,,,
Greenland,Poland,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,             48.20,             28.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenland,World,Vegetable,Export,Export(US$ Mil),,,,              0.01,              0.00,              0.00,              0.00,              0.00,              0.01,              0.00,              0.02,              0.01,              0.00,              0.01,              0.00,              0.01,              0.00,              0.00,,              0.00,              0.00,,              0.00,              0.00,              0.00,              0.00,              0.00,              0.00,,,,,,
