Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Guatemala,World,Consumer goods,Export,Export(US$ Mil),           6434.08,           5788.67,           5394.95,           5156.13,           4662.93,           4352.71,           4397.73,           4289.52,           3957.96,           3896.86,           3816.52,           3507.74,           3111.20,           3388.30,           3254.60,           1028.03,           2898.48,           1157.42,           1017.92,            923.51,            858.95,,            757.48,            720.34,            604.81,            539.70,            482.25,            439.67,            391.11,,,,,
Guatemala,World,Minerals,Export,Export(US$ Mil),            145.95,             90.11,             50.87,             64.82,            350.28,            670.88,            759.87,            869.14,            534.45,            598.86,            931.75,            514.11,            346.02,            275.66,            222.89,              9.88,             17.16,              7.19,              6.20,              5.78,              7.82,,              8.84,              8.73,             10.50,              7.84,              6.68,              5.35,              4.99,,,,,
Guatemala,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,            104.84,,,,,,
Guatemala,World,Raw materials,Export,Export(US$ Mil),           3550.59,           3011.00,           3011.11,           2982.06,           3269.02,           3327.54,           3367.05,           3652.27,           3320.74,           3610.80,           3953.13,           2747.76,           2361.74,           2480.18,           2121.05,           1259.94,           1437.19,           1003.12,            913.86,            846.98,            833.80,,           1130.86,           1151.48,           1136.93,            981.39,            962.55,            691.02,            571.24,,,,,
Guatemala,World,Capital goods,Export,Export(US$ Mil),            389.96,            283.89,            281.88,            316.90,            357.68,            316.16,            348.05,            315.86,            329.86,            324.87,            319.73,            323.29,            239.51,            276.74,            252.86,            125.85,            145.74,            109.46,            103.77,             92.52,             82.91,,             67.41,             75.03,             58.92,             44.13,             40.64,             30.59,             22.50,,,,,
Guatemala,World,Plastic or Rubber,Export,Export(US$ Mil),            782.67,            541.72,            514.98,            495.68,            513.92,            454.46,            482.97,            508.97,            544.88,            601.78,            670.68,            469.94,            319.27,            440.71,            363.71,            212.85,            253.45,            173.70,            137.18,            121.76,            116.70,,             97.05,            109.61,            111.84,            107.37,             92.91,             77.33,             62.72,,,,,
Guatemala,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,            181.53,            209.14,            130.01,,            121.13,,            137.94,,,,,
Guatemala,World,Vegetable,Export,Export(US$ Mil),           4419.59,           4248.32,           3649.77,           3429.66,           3357.76,           2976.84,           2751.82,           2735.80,           2615.88,           2813.33,           2638.62,           2100.04,           2003.91,           1900.54,           1632.89,           1031.76,           1192.64,            880.24,            825.02,            777.04,            804.44,,           1026.76,           1035.09,           1002.70,            867.63,            882.32,            615.95,            527.48,,,,,
Guatemala,Netherlands Antilles,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,            460.75,            448.63,,,,,,,,,,,,,,,,,,,
Guatemala,World,Footwear,Export,Export(US$ Mil),             55.59,             36.30,             34.47,             42.54,             45.08,             45.99,             41.37,             39.67,             41.88,             43.73,             42.88,             38.90,             33.04,             36.75,             32.00,             27.35,             26.87,             23.82,             21.69,             26.79,             24.65,,             16.56,             19.38,             14.56,             11.02,              9.80,              8.83,             10.16,,,,,
Guatemala,World,Miscellaneous,Export,Export(US$ Mil),            194.22,            135.43,            142.68,            140.18,            147.66,            185.66,            170.61,            185.06,            178.91,            167.12,            111.09,             86.31,             72.17,             95.45,            106.19,             55.00,             83.43,             39.77,             34.27,             56.13,             77.51,,             30.86,             29.97,             27.48,             25.25,             17.68,             15.81,             13.93,,,,,
