Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Honduras,World,Consumer goods,Export,Export(US$ Mil),           1486.36,           1558.04,            686.17,           1433.30,           1376.17,           1259.81,           1379.28,           1534.42,,           1447.37,            889.25,            965.87,            838.21,,            824.70,            534.57,            311.91,            319.94,            281.04,            255.33,            281.80,            287.53,            309.74,            719.23,            637.54,            277.49,             51.81,             86.51,,,,,,
Honduras,World,Minerals,Export,Export(US$ Mil),            120.25,             85.09,             90.03,            100.37,             68.71,             51.26,             72.71,            107.93,,             75.26,             92.33,            104.53,             67.21,,            142.66,            111.57,             80.65,             64.62,             53.64,             51.60,             42.51,             54.15,              9.56,             22.70,             45.50,             35.71,              0.40,              6.27,,,,,,
Honduras,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,             47.34,,,,,,
Honduras,World,Raw materials,Export,Export(US$ Mil),           2510.23,           2016.65,           1791.86,           2120.06,           2434.03,           1874.06,           1949.73,           1914.74,,           2171.74,           2037.14,           1502.24,           1188.36,,           1108.04,           1005.74,            710.62,            635.93,            503.19,            504.07,            639.43,            824.21,            636.84,            604.81,            615.62,            894.44,            565.13,            478.91,,,,,,
Honduras,World,Capital goods,Export,Export(US$ Mil),            115.42,            127.85,             49.08,            111.50,            150.63,             84.67,             64.71,            119.70,,            193.78,             71.09,            129.86,            120.00,,             79.98,             71.50,             47.37,             33.33,             18.47,             16.71,              7.75,             24.03,             34.38,             27.45,             22.94,             61.43,              3.65,              2.80,,,,,,
Honduras,World,Plastic or Rubber,Export,Export(US$ Mil),             64.45,            155.48,             46.67,            125.08,            113.96,            106.03,             86.89,            186.59,,            162.65,             63.78,            104.44,             96.48,,             70.68,             33.70,             22.45,             21.18,             16.20,             12.88,             11.38,             11.13,             14.64,             16.10,             10.51,              9.04,              2.97,              3.52,,,,,,
Honduras,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,            115.21,             75.06,             75.85,,             55.68,,,,,,
Honduras,World,Vegetable,Export,Export(US$ Mil),           2083.71,           1837.95,           1654.55,           1954.18,           2249.99,           1698.07,           1704.68,           1493.33,,           1924.60,           1844.47,           1187.28,           1008.04,,            896.67,            700.67,            631.81,            561.67,            444.11,            402.98,            468.56,            569.00,            438.23,            814.78,            657.25,            656.36,            499.47,            355.16,,,,,,
Honduras,Netherlands Antilles,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,             79.19,,,,,,
Honduras,World,Footwear,Export,Export(US$ Mil),              6.96,              6.06,              4.71,              7.02,              8.49,              6.11,              9.42,              7.87,,              6.44,              5.79,              5.64,              4.21,,              5.75,              4.35,              4.84,              2.87,              1.54,              1.71,              1.10,              1.37,              1.70,              1.58,              1.81,              0.96,              0.54,              0.54,,,,,,
Honduras,World,Miscellaneous,Export,Export(US$ Mil),             13.14,             55.36,             10.81,             45.18,             58.97,             19.70,             16.45,             54.34,,            169.91,             23.37,             69.06,             79.19,,             89.88,             36.23,              6.27,              6.30,             11.00,             11.06,             45.44,             77.32,             36.24,             42.96,             50.19,             33.40,              9.33,             17.21,,,,,,
Honduras,...,...,Import,No. Of Import products,           3764.00,           3715.00,           3815.00,           3814.00,           3829.00,           3854.00,           3870.00,           3917.00,,           3907.00,           3965.00,           3912.00,           3895.00,,           3940.00,           4061.00,           4011.00,           3952.00,           4004.00,           4101.00,           4001.00,           4005.00,           4003.00,           4100.00,           4168.00,           4115.00,           4070.00,           3954.00,,,,,,
Honduras,Belgium-Luxembourg,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,,             42.89,             23.16,             18.62,,,,,,
Honduras,...,...,Export,No. Of Export products,           2054.00,           2123.00,           1935.00,           2156.00,           2183.00,           2095.00,           2055.00,           2235.00,,           2114.00,           1934.00,           1971.00,           2097.00,,           2050.00,           2059.00,           1822.00,           1784.00,           1678.00,           1795.00,           1584.00,           1435.00,           1530.00,           1588.00,           1242.00,           1708.00,           1064.00,           1086.00,,,,,,
Honduras,Guatemala,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            226.34,            254.27,,,,            219.76,            227.77,            227.20,,            174.33,,            171.33,            163.17,,            220.15,,             92.24,             79.57,             69.20,             61.05,             76.51,            110.96,             91.72,             81.23,,,,,,,,,,
Honduras,...,...,Export,No. Of Export partners,            113.00,            102.00,            115.00,            120.00,            124.00,             99.00,            108.00,            107.00,,            111.00,             96.00,             97.00,            105.00,,            103.00,             93.00,             89.00,             90.00,             97.00,             94.00,             85.00,             67.00,             62.00,             75.00,             64.00,             71.00,             67.00,             71.00,,,,,,
Honduras,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            331.78,            280.59,            210.11,            302.02,            393.46,            308.92,            335.76,            326.24,,            479.21,            391.39,            232.71,            184.54,,            186.16,            147.35,            108.02,             97.08,             59.31,             54.19,             54.39,             59.79,             35.53,             60.97,             87.61,            112.85,            126.70,             76.02,,,,,,
Honduras,Mexico,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            878.91,            615.27,            725.86,            727.34,            639.57,            612.56,            615.19,            533.30,,            663.49,            603.27,            527.27,            391.48,,            394.47,            259.32,            253.12,            205.69,            189.54,            185.07,            151.88,            140.39,            140.93,            124.75,            110.94,             87.06,             72.16,,,,,,,
Honduras,El Salvador,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            515.55,            392.79,            425.94,            432.70,            386.26,            391.31,            366.93,            321.30,,            386.51,            372.77,            300.43,            363.42,,            287.11,            205.82,            203.09,            157.81,            153.44,            146.89,            145.52,            177.31,            166.08,            130.82,            109.22,             84.87,             68.28,,,,,,,
Honduras,World,Intermediate goods,Export,Export(US$ Mil),            863.94,            963.75,            564.05,            821.77,           1009.31,            866.10,            807.75,            962.24,,            750.91,            533.86,            470.89,            404.20,,            330.95,            266.96,            224.48,            204.66,            187.86,            188.83,            184.01,            169.58,            180.07,            170.30,            143.33,             81.74,             35.37,             45.71,,,,,,
Honduras,World,Textiles and Clothing,Export,Export(US$ Mil),             24.95,             23.62,             15.83,            303.20,             20.54,             18.65,             21.52,             19.49,,             27.79,             13.52,             12.27,             18.61,,             29.07,             30.72,             52.04,             71.95,             57.95,             68.61,             33.33,             47.41,             57.66,             60.04,            108.89,             74.77,              8.04,             14.36,,,,,,
Honduras,World,Food Products,Export,Export(US$ Mil),            383.52,            595.31,            325.28,            379.52,            400.24,            342.89,            364.58,            443.56,,            332.71,            269.81,            260.09,            246.71,,            204.59,            157.24,            133.11,            111.17,             98.50,            104.00,            102.77,             84.92,             88.82,             93.33,             86.20,             68.87,             19.37,             23.18,,,,,,
Honduras,World,Consumer goods,Import,Import(US$ Mil),           6078.12,           4277.87,           5127.49,           5068.13,           4657.62,           4348.54,           4381.94,           4593.17,,           5080.75,           4926.79,           4073.11,           3346.74,,           3608.35,           2582.66,           2461.92,           1801.69,           1648.60,           1422.32,           1455.24,           1340.14,            922.92,            833.23,            671.38,            566.08,            482.73,            382.94,,,,,,
Honduras,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,            557.35,            350.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,World,Transportation,Export,Export(US$ Mil),              7.98,             51.18,             13.78,             49.33,             65.97,              6.12,              2.97,             55.45,,            137.03,             36.82,             61.73,             57.86,,             33.52,              9.82,              2.83,              5.27,              2.82,              4.94,              1.49,              2.15,              6.26,              6.01,              7.30,             14.18,              0.86,              0.33,,,,,,
Honduras,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           2083.17,           1309.54,           1475.81,           1483.48,           1296.04,           1146.37,           1289.16,            900.22,,            766.97,            668.13,            531.75,,,,,,,,,,,,,,,,,,,,,,
Honduras,World,Raw materials,Import,Import(US$ Mil),            779.83,            566.40,            543.82,            558.13,            469.70,            496.92,            482.15,            449.92,,            496.30,            490.01,            370.98,            364.92,,            294.58,            278.83,            231.05,            183.23,            149.11,            163.58,            195.88,            200.76,            151.01,            173.53,            178.45,            126.06,            100.07,             80.59,,,,,,
Honduras,Netherlands,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,            129.79,,,,,,,
Honduras,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,             29.93,             53.59,,,,,             44.20,             24.89,,,,,,
