Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Croatia,World,Consumer goods,Export,Export(US$ Mil),           8939.13,           6997.55,           7705.88,           7790.99,           6954.25,           6057.47,           5564.34,           6234.12,           5653.01,           5588.42,           5632.31,           4969.18,           4612.04,           5731.88,           5191.03,           4675.95,           3959.26,           3459.87,           2745.23,           2153.18,           2019.91,           1970.93,           1607.42,           1721.86,           1883.78,           1830.74,           1900.79,           1851.48,           1742.95,           1752.77,,,,
Croatia,World,Minerals,Export,Export(US$ Mil),            330.95,            275.99,            253.34,            263.51,            234.55,            196.77,            207.43,            226.80,            222.61,            171.31,            197.49,            195.68,            196.44,            264.81,            232.66,            199.63,            164.10,            139.28,            119.19,            100.48,            101.83,             87.01,             71.86,             53.20,             62.97,             40.04,             45.38,             50.90,             43.15,             52.10,,,,
Croatia,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           4988.88,           3990.13,           4328.93,           4288.52,           3871.41,           3517.26,           3196.30,           3463.09,           3075.97,           2645.56,           2858.43,           2508.55,           2863.08,           4115.89,           3719.00,           3127.14,           2751.13,           2568.93,           2221.01,           1742.30,           1583.24,           1297.66,           1439.41,           1615.90,           1840.80,           1601.75,           1508.93,           1109.72,            990.69,            767.54,,,,
Croatia,World,Raw materials,Export,Export(US$ Mil),           3293.95,           2461.48,           1613.49,           1565.13,           1389.35,           1230.80,           1201.10,           1265.53,           1262.75,           1203.26,           1223.09,            975.20,            837.12,            912.24,            874.10,            655.09,            471.95,            443.08,            384.64,            292.81,            251.98,            231.37,            194.03,            222.07,            299.55,            251.45,            272.87,            232.39,            218.69,            384.53,,,,
Croatia,World,Capital goods,Export,Export(US$ Mil),           4325.79,           3551.75,           3658.97,           3682.13,           3348.93,           2971.04,           2818.95,           2893.30,           2932.91,           3056.60,           3782.99,           3515.40,           2961.92,           4492.04,           3710.67,           2868.36,           2440.76,           2479.53,           1757.33,           1352.88,           1348.38,           1139.85,           1218.88,           1346.00,            715.03,            926.40,            745.21,            684.03,            516.25,            814.85,,,,
Croatia,World,Plastic or Rubber,Export,Export(US$ Mil),            836.40,            617.42,            616.16,            588.93,            500.99,            451.72,            396.65,            399.98,            330.99,            268.62,            452.14,            501.45,            389.22,            570.49,            494.56,            394.75,            361.00,            289.48,            221.16,            187.98,            172.46,            191.20,            205.13,            257.60,            252.12,            279.34,            446.03,            273.10,            209.98,            280.29,,,,
Croatia,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,            455.23,,,,,,,
Croatia,Sweden,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,            163.84,,            338.88,,,,
Croatia,World,Vegetable,Export,Export(US$ Mil),           1064.69,            838.86,            627.65,            603.34,            561.61,            476.88,            421.01,            370.87,            356.32,            361.01,            299.37,            270.96,            281.34,            228.02,            237.24,            125.73,             86.01,             77.10,             97.95,             86.70,             72.54,             71.68,             52.38,             77.79,             52.13,             84.95,            101.51,             84.94,             84.89,             97.11,,,,
Croatia,World,Footwear,Export,Export(US$ Mil),            364.91,            318.25,            323.19,            343.95,            293.38,            251.99,            246.39,            267.97,            231.95,            207.11,            240.72,            213.81,            206.81,            229.58,            216.74,            193.11,            178.10,            179.65,            162.77,            152.24,            168.16,            159.05,            175.81,            200.71,            250.40,            237.63,            235.76,            279.18,            225.85,            186.83,,,,
Croatia,World,Miscellaneous,Export,Export(US$ Mil),           1235.28,           1023.12,            895.96,           1146.50,           1050.58,           1058.67,            879.55,            987.63,            844.11,            616.61,            631.93,            557.48,            542.11,            689.44,            658.70,            512.04,            414.41,            374.51,            300.95,            236.33,            218.40,            166.24,            175.89,            175.29,            200.88,            195.34,            251.09,            231.80,            229.48,            235.57,,,,
Croatia,Bosnia and Herzegovina,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           1932.70,           1455.17,           1705.14,           1612.95,           1536.75,           1249.80,           1248.87,           1641.11,           1562.43,           1577.52,           1637.28,           1368.34,           1347.15,           2177.81,           1782.59,           1310.51,           1256.12,           1153.79,            892.44,            704.44,            560.56,            494.83,            547.07,            653.79,            648.65,            548.46,            383.18,            338.38,            188.79,            192.30,,,,
