Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Hungary,World,Consumer goods,Export,Export(US$ Mil),          49652.16,          44322.54,          45302.81,          44750.31,          41244.60,          38456.92,          38127.69,          42256.05,          38331.15,          34678.65,          34973.38,          30440.51,          27077.32,          33537.18,          27706.13,          21850.05,          18126.74,          15992.76,          12794.44,          10908.36,          10035.32,           9026.72,           8597.43,           7681.69,           6694.42,           5557.14,           5013.71,           4317.76,           3490.63,           4051.03,,,,
Hungary,World,Minerals,Export,Export(US$ Mil),            133.02,            162.43,            109.46,            100.95,             96.15,             78.18,             66.54,             68.23,             76.09,             90.62,             86.70,             61.35,             53.14,             73.37,             44.62,             43.09,             47.47,             48.19,             42.15,             35.73,             29.30,             33.14,             27.14,             26.65,             16.94,             17.10,             13.98,             15.16,             25.09,             15.91,,,,
Hungary,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          33018.77,          27893.05,          29633.02,          30458.35,          27675.68,          24936.49,          23774.54,          26343.46,          24748.86,          23192.91,          24178.68,          20989.92,          19198.63,          27776.61,          25396.65,          21048.97,          18206.78,          17678.36,          11682.11,           9144.48,           8392.52,           8213.04,           8188.80,           7233.59,           5694.91,           3796.62,           3602.39,           3402.87,           2674.92,           2592.30,,,,
Hungary,World,Raw materials,Export,Export(US$ Mil),           6814.63,           5631.16,           5539.71,           5403.12,           5512.17,           4872.13,           4941.91,           5827.36,           6068.02,           6415.40,           6363.31,           4997.58,           4179.32,           5362.65,           4573.85,           2965.14,           2777.78,           2642.75,           2127.40,           1810.01,           1732.07,           1506.29,           1451.72,           1708.60,           1691.51,           1633.02,           1862.45,           1432.41,           1179.93,           1743.82,,,,
Hungary,World,Capital goods,Export,Export(US$ Mil),          57535.81,          49603.65,          50886.74,          51322.91,          47125.96,          44001.89,          41355.58,          46017.57,          45288.51,          43863.97,          50508.99,          43130.73,          37053.52,          48274.89,          44138.21,          36178.35,          31209.03,          29587.93,          22031.33,          16580.46,          14103.99,          13342.54,          11162.61,           9819.43,           6975.09,           2582.79,           2549.08,           1931.71,           1731.04,           1871.28,,,,
Hungary,World,Plastic or Rubber,Export,Export(US$ Mil),           9897.78,           7323.53,           7537.68,           8008.75,           7234.86,           6554.65,           6373.53,           7099.14,           6980.00,           6357.04,           6559.98,           5033.89,           4006.26,           5156.62,           4556.27,           3503.70,           2941.89,           2358.08,           1735.40,           1331.90,           1230.64,           1206.34,            946.05,            965.69,            915.29,            777.52,            834.43,            593.33,            467.35,            563.51,,,,
Hungary,Romania,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           7454.36,           6241.65,           6174.04,           6360.68,           5863.76,           5155.25,           5355.45,           6121.49,           6111.63,           6127.70,           6759.42,           5098.75,           4336.55,           5739.59,,,,,,,,,,,,,,,,,,,,
Hungary,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,            571.12,,,,,,
Hungary,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,           1701.10,,,,,,,,,,,,
Hungary,Poland,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           7942.38,           6596.20,           6765.09,           6771.56,           5837.58,           5107.83,           5007.16,           5401.47,,,,           4589.55,,,,,,,,,,,,,,,,,,,,,,
Hungary,World,Vegetable,Export,Export(US$ Mil),           4576.40,           3952.95,           3609.20,           3400.81,           3841.73,           3164.31,           3166.22,           3557.59,           3748.69,           4076.74,           3765.71,           2963.75,           2742.57,           3461.40,           2735.40,           1516.30,           1336.64,           1292.39,           1082.41,            869.11,            794.96,            688.35,            772.12,            960.47,            895.80,            651.68,           1021.93,            674.81,            549.63,           1046.03,,,,
Hungary,World,Footwear,Export,Export(US$ Mil),            691.72,            618.74,            716.76,            784.22,            669.31,            552.13,            437.44,            520.16,            490.09,            443.44,            521.38,            416.84,            385.26,            407.17,            406.12,            354.87,            301.51,            299.14,            332.26,            347.81,            356.18,            331.12,            360.85,            361.58,            337.49,            322.88,            272.88,            282.83,            243.95,            362.51,,,,
Hungary,World,Miscellaneous,Export,Export(US$ Mil),           8038.44,           6747.05,           6993.81,           7289.03,           6969.77,           6456.05,           7627.10,           9766.67,           9361.36,           9328.35,          10180.04,           9311.19,           8709.07,          12520.70,          11070.61,           7317.00,           4991.26,           3004.02,           2851.75,           3028.86,           2476.77,           1648.50,           1414.64,           1290.83,           1255.37,            623.55,            536.95,           1258.08,            352.80,            398.00,,,,
Hungary,...,...,Import,No. Of Import products,           4383.00,           4374.00,           4380.00,           4360.00,           4370.00,           4408.00,           4394.00,           4397.00,           4369.00,           4386.00,           4364.00,           4332.00,           3958.00,           3977.00,           4036.00,           4188.00,           4312.00,           4448.00,           4370.00,           4357.00,           4358.00,           4362.00,           4338.00,           4338.00,           4318.00,           4286.00,           4286.00,           4246.00,           4271.00,           4186.00,,,,
Hungary,...,...,Export,No. Of Export products,           3999.00,           4015.00,           4007.00,           4006.00,           3983.00,           4011.00,           4010.00,           4011.00,           4009.00,           4042.00,           3846.00,           3810.00,           3073.00,           3057.00,           3055.00,           3223.00,           3874.00,           4006.00,           3376.00,           3384.00,           3353.00,           3287.00,           3274.00,           3300.00,           3191.00,           3160.00,           3143.00,           3024.00,           2901.00,           2878.00,,,,
Hungary,...,...,Export,No. Of Export partners,            205.00,            206.00,            208.00,            204.00,            205.00,            206.00,            207.00,            205.00,            195.00,            192.00,            193.00,            192.00,            191.00,            193.00,            196.00,            194.00,            187.00,            185.00,            182.00,            177.00,            184.00,            179.00,            176.00,            167.00,            165.00,            168.00,            174.00,            168.00,            165.00,            153.00,,,,
Hungary,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          37602.91,          33478.03,          33827.81,          33803.39,          31009.86,          28293.70,          27340.55,          30899.99,          27888.02,          25694.40,          27550.35,          23805.45,          21101.99,          28909.33,          26824.55,          21841.72,          18731.72,          17539.82,          14595.41,          12162.08,          10858.89,          10471.26,           9599.87,           8356.77,           7033.15,           3754.59,           3633.42,           3017.45,           2292.35,           2880.84,,,,
Hungary,Czechoslovakia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,            466.46,,,,
Hungary,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,           3672.13,           3259.32,,,,           1579.15,,           1313.59,           1229.13,            924.58,            683.48,            605.94,,            415.14,,,,,
Hungary,World,Intermediate goods,Export,Export(US$ Mil),          22059.73,          16671.44,          16802.33,          18116.22,          16052.37,          13322.23,          13687.23,          15512.03,          15111.64,          14294.30,          14828.72,          11502.66,           9485.44,          13110.98,          11237.99,           8972.20,           7925.14,           6900.66,           5355.41,           4324.15,           3845.46,           3765.66,           3460.16,           3387.73,           3224.92,           2859.50,           3026.79,           2193.52,           1838.46,           2388.68,,,,
Hungary,World,Textiles and Clothing,Export,Export(US$ Mil),           2188.22,           1843.54,           1726.07,           1672.04,           1627.37,           1505.10,           1350.67,           1624.75,           1570.41,           1394.76,           1629.79,           1392.85,           1269.80,           1627.11,           1734.44,           1640.38,           1903.50,           2131.98,           1942.99,           1654.85,           1643.10,           1509.25,           1611.98,           1539.67,           1363.37,           1369.19,           1301.46,           1216.80,            998.15,           1418.92,,,,
Hungary,World,Food Products,Export,Export(US$ Mil),           5535.73,           4871.14,           4548.74,           4572.53,           4116.66,           3719.13,           3415.93,           4030.58,           4112.94,           3552.11,           3215.88,           2654.90,           2432.02,           2704.67,           2129.69,           1755.79,           1572.08,           1413.17,           1115.69,            866.78,            772.85,            698.20,            741.63,            932.48,           1005.00,           1074.06,            934.60,            808.65,            671.25,            687.99,,,,
Hungary,World,Consumer goods,Import,Import(US$ Mil),          39104.06,          32771.31,          34484.02,          34489.55,          30405.00,          26917.06,          26344.52,          31042.81,          28604.48,          26611.52,          28291.16,          23945.89,          21716.54,          31712.48,          26219.63,          22132.76,          18895.88,          17312.71,          14045.87,          10706.98,           9207.40,           8732.51,           8012.10,           7379.43,           6054.83,           5312.40,           4859.82,           4829.20,           3936.76,           3502.67,,,,
Hungary,Slovak Republic,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           7312.64,           6441.75,           6405.98,           6422.67,           5374.15,           5053.41,           4992.12,           5500.57,           5796.84,           6048.64,           6513.32,           5073.13,,           5104.99,,,,,,,,,,,,,,,,,,,,
Hungary,World,Transportation,Export,Export(US$ Mil),          22580.20,          20078.10,          22228.38,          21449.27,          19743.83,          18841.38,          18220.39,          18153.23,          13602.18,          10320.74,          10613.92,           8866.35,           7458.57,          12076.22,          10659.19,           7212.47,           5277.76,           4580.60,           3665.80,           3097.73,           2862.05,           2551.63,           2344.46,           1493.45,           1149.84,            599.74,            698.39,            577.76,            593.61,            598.49,,,,
Hungary,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           9825.40,           9017.06,           7157.90,           6377.35,           5291.35,           4866.97,           4776.88,,           5360.44,           5412.28,           6079.15,           6173.90,           4949.09,           6129.65,           5128.10,           3858.84,           3587.95,,           3298.10,           2084.89,,,,,,,,,,,,,,
Hungary,World,Raw materials,Import,Import(US$ Mil),           6776.77,           4815.84,           6206.50,           6461.39,           5310.54,           4323.73,           4575.63,           7104.95,           7248.80,           7318.21,           7776.63,           5476.64,           1963.17,           2489.22,           4989.47,           1664.13,           3709.75,           2550.32,            928.87,           1495.00,            579.35,            594.03,           1215.49,           1211.30,           1426.88,           1505.44,           1449.40,           1400.02,           1172.04,           1298.46,,,,
Hungary,Netherlands,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,           5964.65,           6005.04,,,,,,,,,           3658.32,           4920.63,,,,           2974.45,,,,,,,,,,,,,,,,
Hungary,"Serbia, FR(Serbia/Montenegro)",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,            340.49,,,,
Hungary,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,           5162.44,           4390.65,,           4277.57,           3324.42,           3161.24,           3097.25,           1970.65,           1615.09,,,,,,,,            464.74,,,,,,
Hungary,Russian Federation,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,           7292.48,           8540.72,           8283.26,           8880.72,           6828.20,           5680.58,          10157.29,           6491.16,           6179.25,           4868.35,           3385.00,           2957.33,           2283.97,           2369.32,           2588.60,           1631.06,           1533.26,           1833.49,           1989.19,           1753.59,           1745.84,           1673.02,           1790.91,,,,
Hungary,World,Hides and Skins,Export,Export(US$ Mil),            382.26,            338.11,            496.77,            604.92,            563.61,            542.49,            465.87,            476.57,            391.55,            353.83,            323.01,            252.99,            217.64,            271.95,            272.49,            226.68,            207.74,            207.79,            205.72,            183.26,            166.54,            154.88,            148.66,            159.24,            149.34,            145.52,            119.85,            119.56,             93.23,            141.35,,,,
Hungary,...,...,Development,Trade Balance (current US$ Mil),,           3341.91,           4594.20,           7063.05,           9757.07,          11154.36,           9946.83,           8920.09,           9467.31,           8681.15,           8632.08,           6945.62,           5271.17,            563.15,            752.59,          -1305.65,          -2607.53,          -4115.70,          -3360.78,          -1383.39,           -693.60,          -1742.75,          -1343.86,           -764.47,            455.05,            220.87,             -3.60,          -2442.69,          -2879.97,            -82.11,           -286.81,,,
Hungary,Russian Federation,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,            947.35,            752.34,            802.57,            807.04,            919.06,           1348.55,,,,
Hungary,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,           4928.44,,,,,,,           4497.36,,           4485.68,           3463.76,           3186.56,           3090.91,           2473.36,           1945.07,           1818.80,,,,            706.10,            479.45,            513.50,,,,,,,
Hungary,...,...,Tariff,No. Of Tariff Agreement,,,,,,,,,,,,,,,,,,,,              1.00,,,,,              9.00,              3.00,,,              8.00,,,,,
Hungary,Slovak Republic,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           8156.64,,,,           5672.03,           4958.77,           4794.85,           5619.79,           5704.17,           5331.19,           5474.19,,,,,,,,,,,,,,,,,,,,,,,
Hungary,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           8243.00,           6300.48,           6271.73,           6413.21,           5790.36,,           4665.01,           5170.55,           5101.60,           4784.97,           5550.35,           5252.94,           4721.04,           5759.19,           5266.21,           4052.13,           3433.47,           3053.52,           2498.08,           1983.76,           1905.17,           1654.43,           1476.94,           1262.58,           1095.56,           1003.01,           1042.40,            906.05,            622.40,            897.59,,,,
Hungary,World,Wood,Export,Export(US$ Mil),           2970.31,           2398.09,           2452.98,           2710.51,           2498.78,           2290.31,           2130.06,           2415.86,           2353.34,           2246.31,           2267.65,           1964.38,           1800.06,           2071.55,           1848.70,           1482.28,           1341.84,           1307.11,           1099.12,            888.18,            812.76,            752.27,            736.40,            711.68,            610.26,            552.66,            471.79,            366.40,            268.76,            373.50,,,,
Hungary,World,Mach and Elec,Export,Export(US$ Mil),          55064.69,          48167.78,          47997.88,          47838.54,          43669.53,          40639.19,          38483.94,          42664.39,          43161.46,          43306.67,          50740.72,          45686.95,          40044.83,          49630.78,          44441.19,          37178.84,          31934.07,          29971.37,          22465.67,          16968.48,          14667.88,          14252.10,          12010.52,          10524.07,           7431.03,           2690.69,           2545.13,           1865.66,           1407.52,           1554.23,,,,
Hungary,Czech Republic,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,           5735.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,...,...,Development,GDP (current US$ Mil),,         155012.93,         163503.65,         160431.09,         142961.61,         128470.53,         125074.29,         140765.02,         135411.70,         128475.50,         141759.72,         131916.52,         130760.31,         158136.33,         139966.00,         115577.26,         112980.95,         103960.02,          85302.00,          67608.92,          53749.99,          47218.41,          49073.38,          48706.79,          47296.95,          46658.76,          46425.68,          43166.68,          40124.92,          38730.59,          34753.57,,,
Hungary,World,Metals,Export,Export(US$ Mil),           7138.73,           5216.48,           5707.35,           6492.13,           5639.82,           4533.48,           4395.19,           5377.90,           5543.51,           5435.80,           5736.07,           4372.13,           3393.20,           5743.09,           4938.49,           4105.74,           3384.70,           3044.69,           2150.49,           1759.49,           1605.92,           1556.91,           1379.42,           1445.00,           1347.20,           1244.16,           1334.69,            914.78,            724.47,            902.66,,,,
Hungary,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,           4250.35,,,           3377.49,           3369.51,           2838.31,           2647.41,           2407.22,           2158.78,           1935.03,           1553.73,           1309.67,           1214.85,           1017.55,            748.09,            694.30,,,,
Hungary,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,           1522.38,           1296.49,           1075.47,,,,,,,,,,
