Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Ireland,World,Consumer goods,Export,Export(US$ Mil),          46400.97,          44424.66,          40660.18,          44643.19,          38871.62,          39617.44,          41115.35,          40869.88,          39383.96,          40492.86,          46505.41,          43465.43,          82643.69,          79818.64,          71271.04,          32172.83,          30811.44,          31730.72,          27291.79,          24996.96,          19055.00,          16711.49,          17192.22,          16552.35,          15008.62,          15749.70,          14270.45,          12215.38,           9834.50,          10758.84,,,,
Ireland,World,Minerals,Export,Export(US$ Mil),            524.53,            501.42,            488.75,            570.07,            539.26,            461.98,            538.36,            718.56,            667.14,            691.42,            729.84,            616.53,           1022.95,            906.67,           1509.81,            697.58,            406.12,            341.63,            230.90,            125.57,            155.20,            146.72,            142.05,            118.20,            166.37,            131.17,            152.24,            134.58,            161.04,            173.52,,,,
Ireland,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           8630.41,           8160.34,           8349.49,          12505.92,           7535.35,           7504.19,           6520.83,           6135.08,           5794.61,           4725.08,           5399.00,           4734.90,          10042.39,          13650.64,          15649.58,           6415.46,           5730.66,           5530.91,           4023.76,           3370.85,           3152.99,           3082.73,           2930.17,           2763.38,           2366.98,           2452.18,           2256.23,           1816.62,           1568.59,           1880.51,,,,
Ireland,World,Raw materials,Export,Export(US$ Mil),           6767.23,           5666.52,           5515.43,           5925.68,           5749.45,           5144.81,           5247.45,           6188.25,           5802.58,           5637.24,           5940.85,           4857.55,           8617.86,           9744.14,          10295.19,           4424.06,           3821.71,           3486.15,           2853.17,           2288.83,           2148.47,           2408.90,           2724.01,           2371.87,           2446.75,           2627.93,           2885.20,           2644.68,           2474.31,           2693.25,,,,
Ireland,World,Capital goods,Export,Export(US$ Mil),          39993.87,          33897.35,          35465.50,          32398.85,          32138.38,          31457.14,          26200.36,          23517.97,          21889.53,          20343.66,          21974.54,          19845.86,          51422.75,          68308.29,          69145.94,          32752.84,          31798.72,          33386.94,          30412.55,          33036.85,          34381.59,          32170.25,          28290.70,          24032.42,          20786.75,          17263.97,          15367.27,          10526.13,           8567.58,           7917.89,,,,
Ireland,World,Plastic or Rubber,Export,Export(US$ Mil),           2757.71,           1961.56,           1924.74,           1958.89,           1688.27,           1611.92,           1665.86,           1752.31,           1670.66,           1520.55,           1581.04,           1366.12,           2382.53,           2793.98,           2730.40,           1142.63,           1091.82,           1057.17,            925.12,            793.29,            866.89,            801.52,            802.11,            798.81,            746.46,            786.92,            773.23,            692.43,            586.70,            767.28,,,,
Ireland,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          23070.67,          23000.15,          23061.86,          23655.20,          21433.62,          18957.24,          19964.95,          23334.36,          22426.92,          19801.14,          21758.00,          18342.05,          35668.30,          52769.39,          53466.19,          22723.84,          21131.95,          18502.89,          15446.09,          18021.09,          17239.70,          15158.24,          15576.44,          14896.29,          13559.57,          12430.28,          11498.32,           9347.75,           7846.23,           9544.73,,,,
Ireland,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,           2596.83,,           1783.13,           2435.01,           2707.50,           3129.66,           2705.49,           1929.92,           1705.82,           1233.56,           1416.16,           1125.30,,,,
Ireland,World,Vegetable,Export,Export(US$ Mil),            642.68,            500.03,            455.00,            443.63,            465.78,            473.24,            486.22,            494.69,            477.25,            477.58,            527.23,            429.09,            916.67,           1267.63,           1603.49,            436.15,            455.10,            398.40,            377.44,            321.14,            321.93,            287.78,            310.56,            426.37,            357.46,            361.31,            319.70,            284.66,            261.74,            370.62,,,,
Ireland,World,Footwear,Export,Export(US$ Mil),             49.70,             43.61,             57.12,             61.04,             58.48,             66.82,             58.17,             56.45,             47.32,             73.86,             80.82,             72.46,             77.85,             95.41,            101.73,             37.35,             47.95,             40.83,             37.22,             24.80,             31.26,             33.82,             37.27,             34.62,             43.80,             56.20,             55.29,            100.51,             71.85,             59.48,,,,
