Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
"Iran, Islamic Rep.",World,Consumer goods,Export,Export(US$ Mil),,,,          20944.91,          32036.63,          25794.47,          19006.43,          26344.73,          23412.01,,          12500.03,          16903.79,,,,           4951.06,           3514.74,           2533.10,           2416.96,           1972.36,           1976.33,           1753.32,           1886.36,           1622.31,           1586.16,,,,,,,,,
"Iran, Islamic Rep.",World,Minerals,Export,Export(US$ Mil),,,,           1923.66,           2703.62,           1912.10,           1682.34,           2506.55,           3132.48,,           1873.77,           2047.43,,,,            467.25,            327.21,            214.80,            160.07,            120.67,            175.03,            126.46,             95.60,             49.50,             67.70,,,,,,,,,
"Iran, Islamic Rep.",Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,           2451.77,           3072.07,           2533.50,,,,,           3927.41,           4463.58,,,,,           5105.17,           4114.25,           2815.99,           3474.64,           1689.57,           1390.77,           1382.15,           1659.69,           1853.90,,,,,,,,,
"Iran, Islamic Rep.",World,Raw materials,Export,Export(US$ Mil),,,,          55935.95,          54368.07,          40561.98,          24175.46,          45196.54,          52285.26,,          88757.31,          51832.01,,,,          52783.04,          50269.91,          35533.06,          27374.83,          20109.79,          20575.35,          25510.63,          17359.95,          10953.70,          16084.94,,,,,,,,,
"Iran, Islamic Rep.",World,Capital goods,Export,Export(US$ Mil),,,,           1539.34,           1053.58,            885.53,            900.67,           1091.51,           1330.37,,           1064.78,           1070.98,,,,            588.48,            362.49,            312.21,            284.64,            184.65,            164.86,            115.31,             86.74,             63.20,             48.09,,,,,,,,,
"Iran, Islamic Rep.",World,Plastic or Rubber,Export,Export(US$ Mil),,,,           5656.43,           6157.83,           5044.85,           4853.93,           5162.05,           4386.69,,           3248.74,           2904.45,,,,            856.24,            429.02,            239.97,            211.32,            188.63,            162.89,            135.98,            111.61,            118.61,            102.12,,,,,,,,,
"Iran, Islamic Rep.",Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,           1045.27,,,,,,,,           1004.71,            881.66,,,,,,,,,
"Iran, Islamic Rep.",South Africa,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,            721.13,,,,,,,,,,,
"Iran, Islamic Rep.",World,Vegetable,Export,Export(US$ Mil),,,,           3507.44,           3586.08,           3406.14,           3338.63,           4126.04,           3014.23,,           3195.51,           3751.41,,,,           2048.50,           1609.18,           1086.13,           1149.74,            898.61,            735.84,            598.76,            603.57,            671.91,            389.40,,,,,,,,,
"Iran, Islamic Rep.",World,Footwear,Export,Export(US$ Mil),,,,            117.82,             92.71,            102.02,            100.68,            117.13,            120.40,,            148.47,            128.17,,,,             90.65,             68.16,             59.36,             88.81,             70.58,            102.97,             56.88,             43.22,             47.59,             62.20,,,,,,,,,
"Iran, Islamic Rep.",United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,           5706.47,           8179.95,           5689.20,           6906.11,          11207.90,          11129.50,,          18188.18,          15670.56,,,,,           7276.22,           5476.41,           3079.80,           1834.96,           1481.03,           1007.78,            768.58,            758.50,,,,,,,,,,
"Iran, Islamic Rep.","Other Asia, nes",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,          41581.58,          44827.38,          32448.55,          25741.58,          49994.23,          55821.24,,          61361.31,          36469.01,,,,          14199.23,           6131.05,           7953.03,           6044.72,           6236.53,           5175.21,           6824.82,,,,,,,,,,,,
"Iran, Islamic Rep.",World,Miscellaneous,Export,Export(US$ Mil),,,,            168.82,            219.90,            177.02,            175.13,            135.48,            103.86,,          14843.85,           3397.43,,,,            114.62,             45.05,             81.17,             43.98,             57.79,             37.02,             60.40,             27.74,             23.49,             33.03,,,,,,,,,
"Iran, Islamic Rep.",China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,           9217.70,           9064.67,           8369.57,           7230.39,           9388.91,           7458.17,,           5287.38,           4450.43,,,,,,,,,,,,,,,,,,,,,,
"Iran, Islamic Rep.",Switzerland,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,           1895.98,,,,,,,,,,,,,,
"Iran, Islamic Rep.",...,...,Import,No. Of Import products,,,,           3387.00,           3686.00,           3751.00,           3657.00,           3667.00,           3516.00,,           3805.00,           3906.00,,,,           3390.00,           4010.00,           3943.00,           3713.00,           3439.00,           3147.00,           2997.00,           2964.00,           3011.00,           2977.00,,,,,,,,,
"Iran, Islamic Rep.",...,...,Export,No. Of Export products,,,,           3009.00,           2790.00,           2722.00,           2565.00,           2682.00,           2611.00,,           2452.00,           2554.00,,,,           2873.00,           2878.00,           2603.00,           2634.00,           2574.00,           2398.00,           2333.00,           2172.00,           1972.00,           1887.00,,,,,,,,,
"Iran, Islamic Rep.",...,...,Export,No. Of Export partners,,,,            148.00,            146.00,            150.00,            143.00,            135.00,            141.00,,            149.00,            158.00,,,,            149.00,            154.00,            155.00,            159.00,            158.00,            161.00,            151.00,            144.00,            145.00,            139.00,,,,,,,,,
"Iran, Islamic Rep.",Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,            423.00,            410.10,,,,,,,,,,
"Iran, Islamic Rep.","Korea, Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,           3681.60,           3460.09,           3679.40,           4416.77,           3942.30,,           4494.05,           3687.11,,,,,,           1755.21,,,,            726.63,,,,,,,,,,,,
"Iran, Islamic Rep.",France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,           2205.48,           2703.16,           2680.54,           1948.44,           1207.46,            907.25,,            685.39,,,,,,,,,,,
"Iran, Islamic Rep.",World,Intermediate goods,Export,Export(US$ Mil),,,,          18187.94,          18196.46,          15893.24,          15856.22,          17650.07,          15087.96,,          13466.33,          10651.96,,,,           4864.14,           3692.39,           2453.33,           1623.06,           1388.39,           1187.38,            965.64,            675.17,            601.85,            706.07,,,,,,,,,
"Iran, Islamic Rep.",Iraq,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,           8960.69,           6425.02,           6131.48,           6214.06,           6484.53,           6027.84,,           4646.79,           4601.58,,,,,,,,,,,,,,,,,,,,,,
"Iran, Islamic Rep.",India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,           2650.20,,,           2294.62,           3782.55,           4309.36,,,,,,,           1493.37,,,,,,,,,,,,,,,,,,
