Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Iraq,World,Consumer goods,Export,Export(US$ Mil),,,,,,,,            304.50,,,,,,,,,,,,,,,,,,,,,,,,,,
Iraq,World,Minerals,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iraq,World,Raw materials,Export,Export(US$ Mil),,,,,,,,          84151.21,,,,,,,,,,,,,,,,,,,,,,,,,,
Iraq,World,Capital goods,Export,Export(US$ Mil),,,,,,,,              0.01,,,,,,,,,,,,,,,,,,,,,,,,,,
Iraq,World,Plastic or Rubber,Export,Export(US$ Mil),,,,,,,,              0.13,,,,,,,,,,,,,,,,,,,,,,,,,,
Iraq,World,Vegetable,Export,Export(US$ Mil),,,,,,,,              6.31,,,,,,,,,,,,,,,,,,,,,,,,,,
Iraq,World,Footwear,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iraq,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,           5535.41,,,,,,,,,,,,,,,,,,,,,,,,,,
Iraq,World,Miscellaneous,Export,Export(US$ Mil),,,,,,,,              0.01,,,,,,,,,,,,,,,,,,,,,,,,,,
Iraq,Jordan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,             13.59,,,,,,,,,,,,,,,,,,,,,,,,,,
Iraq,...,...,Import,No. Of Import products,,,,,,,,           1280.00,,,,,,,,,,,,,,,,,,,,,,,,,,
Iraq,...,...,Export,No. Of Export products,,,,,,,,             21.00,,,,,,,,,,,,,,,,,,,,,,,,,,
Iraq,...,...,Export,No. Of Export partners,,,,,,,,             16.00,,,,,,,,,,,,,,,,,,,,,,,,,,
Iraq,"Korea, Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,           2904.52,,,,,,,,,,,,,,,,,,,,,,,,,,
Iraq,World,Intermediate goods,Export,Export(US$ Mil),,,,,,,,             50.32,,,,,,,,,,,,,,,,,,,,,,,,,,
Iraq,World,Textiles and Clothing,Export,Export(US$ Mil),,,,,,,,              0.22,,,,,,,,,,,,,,,,,,,,,,,,,,
Iraq,World,Food Products,Export,Export(US$ Mil),,,,,,,,              1.39,,,,,,,,,,,,,,,,,,,,,,,,,,
Iraq,World,Consumer goods,Import,Import(US$ Mil),,,,,,,,          16272.82,,,,,,,,,,,,,,,,,,,,,,,,,,
Iraq,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,          84303.30,,,,,,,,,,,,,,,,,,,,,,,,,,
Iraq,World,Transportation,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iraq,Syrian Arab Republic,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,             33.60,,,,,,,,,,,,,,,,,,,,,,,,,,
Iraq,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,          10506.36,,,,,,,,,,,,,,,,,,,,,,,,,,
Iraq,United Arab Emirates,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,            128.68,,,,,,,,,,,,,,,,,,,,,,,,,,
Iraq,World,Raw materials,Import,Import(US$ Mil),,,,,,,,           2030.27,,,,,,,,,,,,,,,,,,,,,,,,,,
Iraq,Unspecified,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,           5225.90,,,,,,,,,,,,,,,,,,,,,,,,,,
Iraq,World,Hides and Skins,Export,Export(US$ Mil),,,,,,,,             18.68,,,,,,,,,,,,,,,,,,,,,,,,,,
Iraq,...,...,Development,Trade Balance (current US$ Mil),,,          16620.40,          35932.00,          15073.30,           2713.50,           -939.73,          20331.20,          27961.90,          33590.23,          30952.80,           7391.50,            126.00,          25797.84,          15730.22,           8086.09,          -3520.22,          -2817.48,            120.77,           7039.46,           1362.59,          12609.02,           6253.34,           4856.39,           4465.66,             -0.89,             -1.32,             -1.14,             -4.06,             -4.19,             -4.94,            487.74,           -595.81,          -1958.71
Iraq,...,...,Tariff,No. Of Tariff Agreement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iraq,World,Wood,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iraq,World,Mach and Elec,Export,Export(US$ Mil),,,,,,,,              0.01,,,,,,,,,,,,,,,,,,,,,,,,,,
Iraq,...,...,Development,GDP (current US$ Mil),,         167224.43,         222434.14,         212271.81,         190643.90,         166602.49,         166774.11,         228415.66,         234637.68,         218002.48,         185749.66,         138516.72,         111657.58,         131614.43,          88837.06,          65140.15,          49954.89,          36627.90,          21921.57,          32928.45,          36176.43,          48364.25,          36881.60,          20617.41,          20764.86,          10433.70,          12894.03,           3991.35,           1031.94,            553.67,            407.80,         180408.06,          65831.94,          62684.52
Iraq,World,Metals,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iraq,World,All Products,Tariff,Duty Free Imports (US$ Thousand),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iraq,World,Stone and Glass,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iraq,World,Intermediate goods,Import,Import(US$ Mil),,,,,,,,          11717.53,,,,,,,,,,,,,,,,,,,,,,,,,,
Iraq,Turkey,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,             17.74,,,,,,,,,,,,,,,,,,,,,,,,,,
Iraq,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,           2431.06,,,,,,,,,,,,,,,,,,,,,,,,,,
Iraq,World,All Products,Import,Imports (in US$ Mil),,,,,,,,          37064.48,,,,,,,,,,,,,,,,,,,,,,,,,,
Iraq,World,Capital goods,Import,Import(US$ Mil),,,,,,,,           7043.66,,,,,,,,,,,,,,,,,,,,,,,,,,
Iraq,World,All Products,Export,Exports (in US$ Mil),,,,,,,,          84506.04,,,,,,,,,,,,,,,,,,,,,,,,,,
Iraq,...,...,Import,No. Of Import partners,,,,,,,,             89.00,,,,,,,,,,,,,,,,,,,,,,,,,,
Iraq,World,Fuels,Export,Export(US$ Mil),,,,,,,,          84409.75,,,,,,,,,,,,,,,,,,,,,,,,,,
Iraq,World,Chemicals,Export,Export(US$ Mil),,,,,,,,             66.32,,,,,,,,,,,,,,,,,,,,,,,,,,
Iraq,World,Animal,Export,Export(US$ Mil),,,,,,,,              3.23,,,,,,,,,,,,,,,,,,,,,,,,,,
Iraq,World,Fuels,Export,Export Product share(%),,,,,,,,     99.89,,,,,,,,,,,,,,,,,,,,,,,,,,
