Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Iceland,World,Consumer goods,Export,Export(US$ Mil),            511.35,            427.93,            490.17,            582.79,            464.23,            515.97,            531.08,            590.90,            544.79,            611.51,            661.84,            588.49,            387.40,            484.32,            448.58,            432.94,            416.43,            477.20,            361.29,            323.19,            276.46,            255.91,            277.53,            286.61,            295.19,            324.43,            333.78,            258.58,            187.97,            110.40,            125.73,            128.76,            114.46,            117.08
Iceland,Denmark,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,            105.30,,            136.59,            141.26,,,,,,,
Iceland,World,Minerals,Export,Export(US$ Mil),             27.20,             23.85,             20.16,             16.03,             14.32,             20.52,             10.47,             11.19,             10.39,             10.45,             13.32,              8.12,              7.37,             11.05,              8.68,              5.94,              5.27,              5.67,              3.59,              3.18,              4.26,              6.99,             11.70,             11.93,             12.95,             15.63,             21.76,             16.53,              7.81,              8.52,              8.80,              9.77,              8.80,             11.36
Iceland,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            669.45,            511.75,            546.01,            672.39,            738.24,            572.93,            453.77,            409.44,            402.36,            437.94,            382.60,            293.95,            297.66,            632.71,            807.40,            742.15,            689.22,            468.66,            333.91,            242.74,            277.69,            306.29,            275.95,            284.36,            237.45,            222.12,            199.91,            165.17,            160.72,            207.95,            226.65,,,            236.43
Iceland,World,Raw materials,Export,Export(US$ Mil),           2095.00,           1690.13,           1790.68,           1698.10,           1459.93,           1495.19,           1360.00,           1543.63,           1600.08,           1517.24,           1586.90,           1246.94,           1168.89,           1378.02,           1360.16,           1221.86,           1183.98,           1069.97,            850.76,            783.12,            694.75,            697.22,            791.34,            769.30,            720.07,            784.78,            790.04,            808.13,            732.05,            904.75,            957.95,            881.41,            699.79,            698.59
Iceland,World,Capital goods,Export,Export(US$ Mil),            314.52,            243.85,            524.28,            301.02,            342.83,            256.99,            235.12,            351.82,            254.39,            298.73,            304.07,            275.44,            415.00,            622.81,            933.42,            366.20,            293.18,            140.48,            105.52,            106.40,            102.24,            123.15,            156.16,             76.38,            110.74,            100.03,             98.34,             73.82,             36.39,             23.79,             17.43,             34.35,             38.89,             72.64
Iceland,World,Plastic or Rubber,Export,Export(US$ Mil),             20.05,             21.02,             19.78,             24.94,             18.93,             18.81,             20.75,             26.23,             18.31,             21.51,             21.31,             18.25,             14.24,             13.08,             15.59,             12.61,             13.94,             12.64,             13.61,             12.60,              8.76,              8.57,              7.60,              7.47,              7.71,              6.96,              5.21,              3.97,              3.30,              3.50,              3.20,              3.52,              2.95,              3.64
Iceland,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,            253.52,            210.13,            169.30,            171.40,            231.65,            213.26,            239.95,            204.08,            208.20,            168.69,            145.24,            120.91,            142.86,            143.34,            133.56,,            136.11
Iceland,Norway,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,            236.62,            258.02,            236.15,,            235.44,,,,,,,,,,,,,,,,,,,,,
Iceland,World,Vegetable,Export,Export(US$ Mil),            112.83,            107.86,             93.34,            119.40,             98.04,            107.90,            100.51,             98.20,            141.32,            120.14,            105.59,             76.64,             83.41,            105.46,             70.26,             45.48,             46.76,             53.84,             76.47,             42.65,             43.51,             25.02,             34.46,             66.07,             66.29,             59.19,             38.83,             32.18,             41.98,             27.28,             12.44,             18.17,             18.14,             33.50
Iceland,World,Footwear,Export,Export(US$ Mil),              0.54,              0.40,              0.37,              0.47,              0.24,              0.29,              0.27,              0.30,              0.26,              0.18,              0.23,              0.19,              0.15,              0.25,              0.22,              0.26,              0.16,              0.23,              0.14,              0.16,              0.22,              0.22,              0.15,              0.24,              0.12,              0.11,              0.10,              0.09,              0.09,              0.15,              0.13,              0.09,              0.15,              0.21
Iceland,World,Miscellaneous,Export,Export(US$ Mil),            174.83,            144.82,            181.31,            188.03,            189.51,            169.57,            136.95,            139.07,            115.74,            130.04,            120.14,            101.77,             88.73,            128.30,            124.63,            123.79,            112.83,            100.86,             67.06,             59.10,             51.07,             45.11,             30.80,             22.02,             15.98,             13.46,             12.69,             11.99,             10.26,             11.89,              9.34,             11.50,              9.16,              9.42
Iceland,...,...,Import,No. Of Import products,           4125.00,           4089.00,           3990.00,           3993.00,           4013.00,           4055.00,           4015.00,           4004.00,           3959.00,           3959.00,           3951.00,           3931.00,           3926.00,           3894.00,           3998.00,           4090.00,           4172.00,           4104.00,           4036.00,           4027.00,           4086.00,           4138.00,           4235.00,           4089.00,           4189.00,           4132.00,           4179.00,           4136.00,           4122.00,           4163.00,           4200.00,           4130.00,           4147.00,           4261.00
Iceland,Denmark,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            596.23,            407.75,,,,,            375.36,            406.12,            416.48,,,,            262.17,            451.55,            495.58,            372.82,            354.10,            280.94,            227.00,            193.33,            196.90,            205.30,            188.04,            190.52,            174.27,            170.41,            164.75,            132.48,            126.47,            148.17,            149.15,            142.88,            126.67,            154.05
Iceland,...,...,Export,No. Of Export products,           1772.00,           1587.00,           1453.00,           1507.00,           1403.00,           1673.00,           1520.00,           1521.00,           1570.00,           1603.00,           1587.00,           1548.00,           1562.00,           1676.00,           1449.00,           1290.00,           1226.00,           1267.00,           1248.00,           1304.00,           1353.00,           1345.00,           1253.00,           1147.00,            886.00,            839.00,            771.00,            604.00,            584.00,            573.00,            526.00,            566.00,            545.00,            516.00
Iceland,...,...,Export,No. Of Export partners,            138.00,            128.00,            133.00,            139.00,            129.00,            141.00,            125.00,            130.00,            130.00,            125.00,            130.00,            129.00,            127.00,            136.00,            134.00,            125.00,            113.00,            114.00,            104.00,            103.00,            109.00,            107.00,             94.00,             95.00,             91.00,             90.00,             77.00,             76.00,             78.00,             72.00,             67.00,             67.00,             78.00,             75.00
Iceland,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,            370.39,            308.69,            351.69,            304.66,            606.95,            651.92,            800.36,            642.60,            456.87,            605.42,            638.39,            517.04,            489.78,            512.38,            414.99,            411.90,            300.96,            312.12,            262.96,            289.63,            242.05,            243.76,            246.14,            208.82,            154.48,            190.21,            190.51,,,            155.16
Iceland,World,Intermediate goods,Export,Export(US$ Mil),           3010.57,           2183.52,           2376.04,           2922.02,           2575.00,           2138.00,           2560.59,           2534.32,           2576.19,           2604.95,           2770.10,           2473.43,           2064.75,           2827.90,           1978.54,           1406.46,           1163.96,           1172.45,           1043.90,            995.77,            920.50,            806.99,            769.80,            787.26,            717.95,            680.27,            575.49,            482.20,            437.13,            480.38,            463.31,            532.08,            540.57,            607.10
Iceland,Norway,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            760.94,            500.58,            744.77,            878.76,            634.54,            511.84,            536.13,            786.34,            755.96,            793.50,            772.79,            354.48,            467.46,            690.51,,            431.27,            347.48,            354.84,            195.93,            181.79,            177.85,            209.87,            240.82,            228.02,            232.59,            276.10,            178.20,            210.61,            166.91,            244.64,,,,            149.64
Iceland,World,Textiles and Clothing,Export,Export(US$ Mil),             17.45,             15.86,             14.99,             12.16,             13.15,             11.93,              9.70,             11.63,             13.59,             14.14,             14.21,             11.82,              8.71,             12.14,             14.72,             12.05,             13.00,             18.95,             19.04,             16.46,             15.53,             19.86,             13.33,             15.29,             14.71,             15.41,             15.56,             10.39,              9.68,             12.40,             16.84,             19.97,             24.61,             31.07
Iceland,World,Food Products,Export,Export(US$ Mil),            312.75,            298.24,            307.51,            403.38,            320.52,            275.10,            382.64,            282.09,            339.69,            310.97,            295.80,            252.35,            172.21,            193.56,            286.63,            265.96,            277.96,            354.81,            324.62,            341.67,            274.31,            257.63,            284.30,            352.46,            355.64,            362.06,            326.21,            256.22,            198.58,            110.79,             68.64,            104.71,            115.27,            133.24
Iceland,Brazil,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,            317.44,,            339.97,,,,,,,,,,,,,,,,,,,,,,
Iceland,World,Consumer goods,Import,Import(US$ Mil),           3632.07,           2748.28,           3036.07,           3645.78,           3271.63,           2590.16,           2289.83,           2512.45,           2392.87,           2098.90,           2075.86,           1652.20,           1542.26,           2635.09,           2915.15,           2469.75,           2309.63,           1744.30,           1338.12,           1041.15,           1046.45,           1210.84,            961.69,            982.34,            838.09,            829.32,            742.09,            630.68,            596.41,            706.55,            729.28,            623.68,            555.84,            702.53
Iceland,German Democratic Republic,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,            206.21,            183.14,
Iceland,World,Transportation,Export,Export(US$ Mil),             75.66,             25.64,            246.17,             42.31,            120.91,             49.91,             41.80,            119.34,             50.35,             76.27,            110.95,            100.43,            271.11,            423.61,            784.85,            251.26,            173.25,             35.82,             22.72,             31.81,             36.99,             42.79,             91.84,             33.74,             75.28,             62.80,             64.09,             48.91,             20.45,              9.65,              3.35,             21.34,             27.37,             60.44
Iceland,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            694.91,            480.80,            485.66,            680.31,            483.22,            419.22,            414.33,            397.51,            391.97,            341.50,            303.03,,,,,,,,,,,,,,,,,,,,,,,
Iceland,World,Raw materials,Import,Import(US$ Mil),            357.20,            269.67,            312.40,            348.99,            310.36,            283.84,            337.47,            288.84,            259.54,            245.71,            285.83,            238.10,            198.59,            280.92,            279.82,            224.50,            217.79,            209.66,            158.72,            136.28,            118.96,            125.36,            110.79,            137.27,             90.22,             96.04,             89.89,             69.34,             62.56,             56.94,             62.88,             66.33,             62.34,             59.76
Iceland,Netherlands,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,            441.66,            456.04,            487.01,            463.10,            425.74,,,,,            356.33,            333.17,            311.07,,            375.87,,,,,,,,,,,,,,,,            174.69,            172.06,            145.80,
Iceland,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,            234.62,,,,,,,,,,,            122.70,            185.79,            204.55,            229.20,            129.75,            115.23,            123.80,             94.98,             99.30,            114.70
Iceland,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            572.25,            507.81,            543.63,            551.12,            456.65,            502.85,            548.21,            567.38,            473.79,            497.29,            481.97,            465.31,            518.16,            621.61,            630.87,            539.71,            550.42,            550.08,            417.09,            389.98,            368.09,            367.00,            394.90,            366.12,            350.01,            359.71,            347.41,            330.96,            302.57,            382.87,            367.86,            401.56,            291.03,            349.49
Iceland,World,Hides and Skins,Export,Export(US$ Mil),              7.46,              6.21,              8.33,              9.73,             14.20,             10.04,              7.62,              9.56,             25.72,             20.91,             20.58,             12.84,             10.68,             16.34,             13.40,             14.80,             14.48,             15.07,             13.87,             16.81,             14.21,             14.08,             11.87,             14.46,             22.36,             25.22,             20.32,             18.83,             13.64,             18.04,             19.08,             21.18,             20.50,             17.23
Iceland,...,...,Development,Trade Balance (current US$ Mil),,           -129.20,           1254.97,            914.34,           1109.20,           1379.64,           1311.20,           1138.64,           1242.59,            850.67,           1169.38,           1353.95,           1058.26,           -377.26,          -1946.71,          -2921.08,          -1977.50,           -775.87,           -337.73,            148.94,            -70.25,           -620.89,           -405.64,           -369.64,             35.03,             36.59,            245.75,            317.69,            187.57,            -12.68,            -91.45,             76.46,            120.21,            -60.10
Iceland,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            479.99,            369.29,            370.05,            357.69,,,            269.55,            251.21,,,            209.20,,,,,,,,,,,,            104.19,            130.44,            117.38,,,            117.65,            115.24,            150.68,            158.52,            142.39,             80.49,
Iceland,...,...,Tariff,No. Of Tariff Agreement,             36.00,,             33.00,,             32.00,             32.00,             32.00,             26.00,             26.00,             23.00,             22.00,             22.00,             20.00,             20.00,             19.00,             16.00,              2.00,              2.00,              2.00,,              2.00,              3.00,              2.00,              2.00,,              1.00,,,              5.00,,,,,
Iceland,World,Wood,Export,Export(US$ Mil),              3.93,              1.86,              2.75,              3.87,              4.40,              7.71,              5.55,              7.65,              6.17,              5.54,              8.63,              6.05,              4.59,              5.12,              5.76,              5.24,              5.60,              7.75,              7.06,              6.07,              5.27,              6.24,              6.72,              4.90,              4.29,              4.65,              3.94,              3.01,              2.50,              1.76,              1.78,              2.00,              1.75,              1.44
Iceland,Portugal,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,            111.09,            107.46,,,,,,,,,,,,            127.70
Iceland,Spain,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            705.78,            791.22,            495.36,            458.75,            654.55,            461.91,            545.35,            380.52,,,,            218.15,            195.46,,,            219.82,            229.65,            200.28,            150.54,            116.69,,,,,,,,,,,,,,
Iceland,World,Mach and Elec,Export,Export(US$ Mil),            154.74,            138.34,            176.98,            176.03,            133.04,            144.16,            135.53,            156.59,            135.35,            160.63,            134.16,            125.01,            134.58,            194.74,            141.89,             94.55,             96.81,             87.80,             60.11,             56.86,             56.61,             54.46,             46.71,             31.49,             27.42,             30.90,             28.46,             17.45,             11.81,             10.81,             11.98,             11.39,             11.21,             12.12
Iceland,Sweden,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,            290.32,            554.34,            670.69,            425.10,            419.73,,,,,,,,,,,,,,,,            114.98,            146.21
Iceland,...,...,Development,GDP (current US$ Mil),,          21714.67,          24836.71,          26224.23,          24728.29,          20793.17,          17517.21,          17867.66,          16125.06,          14751.51,          15221.62,          13751.16,          13154.41,          18074.62,          21652.51,          17465.32,          16852.96,          13825.30,          11429.33,           9318.40,           8234.85,           9025.66,           8982.05,           8503.69,           7569.67,           7426.08,           7123.63,           6389.46,           6218.58,           7080.98,           6909.73,           6468.74,           5672.57,           6106.64
Iceland,World,Metals,Export,Export(US$ Mil),           2550.85,           1759.24,           1955.43,           2450.90,           2159.07,           1737.40,           2036.83,           2127.66,           2057.55,           2081.70,           2356.09,           2096.79,           1567.68,           2271.92,           1411.98,            914.33,            684.51,            633.02,            540.41,            489.53,            473.44,            419.28,            370.26,            321.10,            282.16,            251.31,            253.04,            203.71,            166.39,            178.19,            178.93,            214.76,            239.22,            226.72
Iceland,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           1625.41,            931.23,           1373.89,           1680.94,           1238.32,           1134.78,           1230.29,           1475.09,           1500.91,           1517.00,           1732.72,           1564.07,           1247.26,           1840.87,           1014.89,            573.55,            386.35,            310.64,            266.76,            240.71,            220.23,            147.02,            120.78,,,,,,,,,,,
Iceland,World,All Products,Tariff,Duty Free Imports (US$ Thousand),        6426703.98,,        5369112.34,,        5692864.38,        5185023.75,        4762622.90,        4636893.14,        4156315.43,        4184518.85,        4280816.39,        3481111.20,        3207266.22,        5394987.62,        5783952.69,        5213084.13,        3240837.19,        2467927.98,        1906658.02,,        1342940.32,        1628609.80,        1555999.11,        1682104.68,,        1194692.15,,,         968496.74,,,,,
Iceland,Ireland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,            360.96,,,,,,,,,,,,,,,,,,,
Iceland,World,Stone and Glass,Export,Export(US$ Mil),              3.74,              3.70,              3.36,              2.74,              3.05,              3.67,              4.08,              5.39,              3.79,              4.54,              3.07,              3.08,             25.66,             17.56,             10.68,              3.95,              4.03,              2.96,              1.97,              1.92,              2.57,              1.93,              2.03,              2.10,              2.67,             11.55,              2.23,              1.67,              1.33,              1.39,              1.20,              1.48,              0.89,              0.86
Iceland,World,Intermediate goods,Import,Import(US$ Mil),           1448.81,           1115.12,           1343.89,           1609.99,           1377.14,           1085.97,           1115.00,           1098.43,           1105.72,           1092.76,           1183.97,           1035.52,            899.24,           1528.75,           1197.91,           1014.67,            798.07,            638.35,            498.01,            456.27,            414.45,            406.25,            353.66,            414.54,            331.86,            357.10,            329.36,            260.71,            244.70,            293.37,            328.45,            311.17,            272.16,            300.76
Iceland,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            463.89,            348.14,            380.48,            383.86,            340.75,            346.32,,,            235.42,            228.30,,            210.14,,            299.42,            355.67,            374.85,            275.54,            271.18,            225.03,            243.53,            212.77,            235.97,            302.49,            254.92,            263.88,            234.03,            223.39,            235.78,            222.19,            174.53,            197.45,            157.17,            200.15,            204.09
Iceland,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            645.26,,            561.38,            651.55,            444.96,            572.85,            415.46,            544.43,            483.90,            488.67,            527.43,            310.55,,            496.07,            901.31,            787.22,            464.92,            375.34,            210.87,            253.13,            253.10,            284.01,            252.02,            275.55,            190.31,            192.70,            147.04,            131.05,            125.85,            138.88,            179.95,            239.52,            153.92,
Iceland,World,All Products,Import,Imports (in US$ Mil),           7838.07,           5696.68,           6579.00,           7686.03,           6970.76,           5703.24,           5285.37,           5371.92,           5019.24,           4771.92,           4845.76,           3914.35,           3603.99,           6165.93,           6689.69,           5991.11,           4978.89,           3712.83,           2826.53,           2273.54,           2279.34,           2582.98,           2315.48,           2482.83,           2019.47,           2041.53,           1751.33,           1472.37,           1349.40,           1679.95,           1739.03,           1659.35,           1400.62,           1666.56
