Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Italy,World,Consumer goods,Export,Export(US$ Mil),         268007.19,         219857.19,         237273.28,         235967.39,         218988.36,         197836.20,         195528.18,         225814.86,         219257.70,         207791.19,         210335.49,         182943.49,         167053.26,         217397.67,         200913.86,         170498.21,         154278.48,         145716.14,         127527.52,         109748.81,         104395.88,         102080.73,          97313.87,         101335.21,         100473.39,         107258.30,          95362.82,          82152.50,,,,,,
Italy,World,Minerals,Export,Export(US$ Mil),           1441.19,           1134.42,           1289.70,           1367.24,           1308.26,           1106.60,           1201.70,           1527.83,           1408.30,           1305.44,           1417.63,           1214.48,            978.53,           1284.22,           1296.43,           1152.89,            945.39,            823.79,            625.07,            567.16,            540.06,            587.29,            583.15,            618.33,            599.13,            638.03,            580.20,            474.45,,,,,,
Italy,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          91042.40,          70023.57,          76778.93,          82968.37,          74294.04,          66325.18,          63879.39,          72235.12,          70767.32,          70899.28,          86732.50,          78066.50,          69321.34,          89988.90,          87328.49,          74205.28,          65672.86,          62924.11,          53040.24,          43905.84,          42090.93,          41912.80,          42155.79,          40543.56,          37441.06,          38550.18,          38951.92,          32310.89,,,,,,
Italy,World,Raw materials,Export,Export(US$ Mil),          17948.93,          14427.38,          13864.23,          14731.69,          14381.55,          13317.75,          13199.60,          14678.28,          14766.79,          14777.67,          15235.55,          13355.25,          11125.42,          14186.86,          12465.27,           9916.97,           8768.16,           8007.86,           7191.21,           6077.49,           5628.57,           5483.11,           5734.15,           5683.76,           5811.85,           6188.65,           5889.33,           5220.08,,,,,,
Italy,World,Capital goods,Export,Export(US$ Mil),         178723.89,         148276.65,         163338.46,         174049.39,         159342.18,         147790.76,         146345.64,         167906.04,         163224.91,         156508.99,         168389.54,         144903.81,         134731.39,         183192.76,         168370.24,         136625.07,         122909.88,         117926.50,          97562.54,          83707.08,          81206.15,          81000.14,          80154.42,          83505.89,          79855.50,          84626.99,          74876.17,          60665.49,,,,,,
Italy,World,Plastic or Rubber,Export,Export(US$ Mil),          32373.78,          25141.72,          26594.44,          28200.04,          26092.04,          23558.69,          23269.86,          26322.58,          25633.89,          24626.51,          26836.51,          22723.16,          20516.32,          26847.44,          25953.40,          22075.40,          19155.23,          17993.48,          14553.86,          12251.48,          11510.90,          11536.98,          11366.14,          11546.87,          11362.18,          11715.14,          11430.83,           8841.87,,,,,,
Italy,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,          14295.97,          12628.66,          12119.18,          13091.79,          13439.58,          13854.26,          13947.72,          13759.69,          12387.45,          10265.77,,,,,,
Italy,World,Vegetable,Export,Export(US$ Mil),          16344.94,          13675.00,          12742.34,          13227.23,          13064.71,          12443.93,          11894.99,          12682.31,          12659.08,          11808.65,          12420.58,          11033.34,          10243.89,          12352.16,          10455.12,           8975.69,           8274.46,           7452.42,           6650.07,           5610.72,           5291.22,           5130.75,           5542.71,           5459.78,           5569.11,           6241.39,           5779.77,           5047.91,,,,,,
Italy,World,Footwear,Export,Export(US$ Mil),          13990.12,          11283.35,          13124.05,          12921.43,          11896.82,          11212.59,          10944.92,          12741.14,          12207.77,          11227.83,          12046.73,          10231.81,           9661.41,          11999.72,          11546.75,          10296.46,           9579.56,           9751.21,           8856.55,           7917.73,           7913.47,           7505.24,           7655.31,           8121.07,           8496.32,           9395.24,           8472.99,           7478.65,,,,,,
Italy,World,Miscellaneous,Export,Export(US$ Mil),          49080.50,          37541.67,          42424.99,          43264.81,          39102.74,          36758.90,          36281.87,          44210.38,          43481.15,          40883.66,          42138.83,          36909.92,          32676.94,          42185.97,          38188.77,          31711.60,          28051.31,          27158.74,          26934.71,          20663.49,          20067.40,          18562.65,          20313.12,          20729.38,          21114.11,          21989.34,          19115.95,          15816.63,,,,,,
Italy,Switzerland,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,           8254.95,,,,,,
Italy,...,...,Import,No. Of Import products,           4528.00,           4520.00,           4528.00,           4522.00,           4537.00,           4561.00,           4559.00,           4562.00,           4563.00,           4560.00,           4591.00,           4594.00,           4590.00,           4587.00,           4589.00,           4853.00,           4845.00,           4845.00,           4835.00,           4844.00,           4914.00,           4915.00,           4928.00,           4914.00,           4921.00,           4919.00,           5004.00,           4997.00,,,,,,
Italy,...,...,Export,No. Of Export products,           4422.00,           4423.00,           4423.00,           4428.00,           4445.00,           4470.00,           4468.00,           4472.00,           4462.00,           4472.00,           4504.00,           4503.00,           4492.00,           4510.00,           4497.00,           4756.00,           4746.00,           4737.00,           4741.00,           4744.00,           4792.00,           4804.00,           4814.00,           4816.00,           4826.00,           4823.00,           4898.00,           4894.00,,,,,,
Italy,Switzerland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          32226.69,          28826.91,          29151.02,,,,,          25329.40,          27096.30,          29463.37,          28734.81,,,,,,,,,,,,,,,,,,,,,,,
Italy,...,...,Export,No. Of Export partners,            226.00,            224.00,            232.00,            226.00,            230.00,            228.00,            227.00,            226.00,            231.00,            223.00,            226.00,            224.00,            221.00,            221.00,            222.00,            225.00,            224.00,            222.00,            223.00,            224.00,            216.00,            214.00,            212.00,            209.00,            210.00,            210.00,            212.00,            212.00,,,,,,
Italy,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          79761.13,          64060.38,          65509.54,          68756.28,          63318.72,          58311.99,          56269.72,          66568.03,          64356.08,          62768.61,          68230.67,          57766.85,          51525.07,          69285.48,          64758.99,          55162.72,          48806.61,          47911.77,          41823.07,          34971.60,          35701.14,          36321.76,          39031.96,          39892.10,          38960.09,          44087.70,          43236.43,          36119.16,,,,,,
Italy,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          46207.86,          35737.24,          38992.51,          43291.59,          39622.64,          36249.05,          35686.74,          40912.57,          40512.97,          40615.04,          46518.10,          42501.05,          36756.08,          48347.55,          46662.06,          41106.41,          38092.94,          38599.82,          33671.15,          28148.21,          26511.19,          26905.83,          27627.11,          28397.06,          27478.15,          28240.93,          28309.82,          22781.13,,,,,,
Italy,World,Intermediate goods,Export,Export(US$ Mil),         132727.22,         103037.57,         108094.43,         114396.37,         104570.94,          93684.20,          92916.45,         109954.04,         109415.71,         111499.98,         118368.09,          96506.35,          82713.74,         112942.62,         105496.58,          89014.74,          76571.23,          72252.91,          59016.10,          50440.59,          49222.40,          49062.65,          46230.85,          48728.69,          48920.72,          50951.42,          49640.23,          40232.74,,,,,,
Italy,World,Textiles and Clothing,Export,Export(US$ Mil),          37681.01,          30938.51,          36402.31,          36752.45,          34045.96,          32238.10,          31667.01,          37110.45,          35388.82,          33734.07,          36364.58,          31657.76,          30847.89,          40474.30,          39137.07,          35060.94,          32976.22,          33173.14,          29485.37,          25860.28,          25560.81,          24743.65,          25055.92,          27075.10,          27080.20,          28604.74,          26332.55,          22875.34,,,,,,
Italy,World,Food Products,Export,Export(US$ Mil),          37445.23,          32393.38,          30580.34,          29480.82,          26939.16,          24026.50,          23099.12,          25728.08,          24759.16,          22691.84,          22774.81,          19894.35,          19719.57,          21582.03,          18440.13,          15431.85,          14068.40,          13567.05,          11731.74,           9947.46,           8673.61,           8235.02,           8852.96,           8698.34,           8204.26,           8946.58,           8190.77,           6699.27,,,,,,
Italy,World,Consumer goods,Import,Import(US$ Mil),         193774.33,         152835.41,         171985.81,         181045.79,         165146.78,         151179.12,         148580.81,         169416.83,         170607.28,         169859.12,         190626.29,         169884.07,         160388.74,         157497.03,         150177.70,         127919.22,         115994.34,         108991.19,          93214.45,          75769.72,          68494.53,          66095.97,          64023.74,          62900.00,          59744.33,          58047.02,          50135.12,          45968.95,,,,,,
Italy,World,Transportation,Export,Export(US$ Mil),          59880.05,          48910.37,          52898.58,          57183.86,          54591.96,          50066.88,          47575.58,          50153.48,          47065.05,          44998.37,          48677.69,          43756.11,          40042.77,          57098.06,          53110.92,          42027.12,          38033.90,          37439.36,          31516.10,          27631.35,          25211.34,          27005.36,          25612.02,          26769.29,          23404.09,          25500.32,          23200.77,          18190.34,,,,,,
Italy,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          45626.71,          36842.10,          35449.44,          36510.90,          32153.35,          30251.45,          31315.52,          33305.15,          30634.04,          32162.56,          41131.34,          38133.07,          26966.35,          34718.79,          29724.31,          22488.47,          17565.32,,,,,,,,,,,,,,,,,
