Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Jamaica,World,Consumer goods,Export,Export(US$ Mil),            837.71,            602.92,            706.89,            574.97,            509.07,            431.11,            368.61,            532.78,            575.56,            623.88,            596.50,            523.66,            438.66,            644.95,            523.47,            461.37,            273.50,            196.04,            178.21,            186.02,            233.87,            293.82,            287.57,            344.28,            353.08,            378.36,,,            315.57,            266.36,            197.59,,,
Jamaica,World,Minerals,Export,Export(US$ Mil),             78.03,             95.28,            102.10,            105.96,            102.58,            107.47,            154.51,            169.99,            133.04,            133.02,            144.94,            138.53,             94.25,            120.26,            206.27,            117.75,            103.12,             84.26,             93.73,            108.19,             97.96,             50.15,             58.72,             85.03,             82.62,             81.30,,,             86.95,             92.90,            115.28,,,
Jamaica,World,Raw materials,Export,Export(US$ Mil),            152.31,            156.58,            166.12,            173.73,            202.61,            201.79,            221.05,            236.72,            234.13,            219.82,            253.25,            224.07,            179.70,            218.27,            364.00,            300.91,            173.23,            198.19,            184.87,            195.89,            194.86,            148.24,            163.81,            181.22,            206.51,            202.00,,,            175.58,            180.45,            199.96,,,
Jamaica,World,Capital goods,Export,Export(US$ Mil),             14.55,             19.35,             25.19,             24.74,             33.70,             56.83,             17.38,             17.49,             33.61,             17.85,             34.94,             24.98,             37.68,             33.97,             34.84,             15.21,             13.28,             14.76,             12.01,              7.23,             12.03,             23.87,             17.57,             35.48,             14.31,             18.79,,,             10.68,             15.53,             88.95,,,
Jamaica,World,Plastic or Rubber,Export,Export(US$ Mil),              7.04,              7.25,             10.71,             11.44,             11.61,             12.22,              9.56,             14.90,             10.72,             13.23,              5.43,              4.37,              3.54,             11.00,              9.50,              9.31,              9.39,             10.14,              8.24,              8.45,              5.92,              7.37,              3.45,              3.31,              5.33,              9.10,,,              8.37,              9.21,             10.15,,,
Jamaica,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,            149.16,            129.71,            102.47,,             95.86,            114.54,            116.35,            116.02,,,             94.68,             86.00,            101.68,,,
Jamaica,Norway,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,            284.45,,,,,,,,             68.53,             50.81,,,,,,,             93.28,             81.99,            120.03,             85.36,,             80.27,             90.68,,,             97.19,            113.70,             82.70,,,
Jamaica,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            206.30,            208.06,            297.89,            256.95,            365.95,            300.36,            177.25,,,,,,,,            227.86,            211.55,            212.52,            172.43,            175.59,            214.89,            187.52,            191.62,            179.24,            200.12,            215.23,            163.75,,,            183.98,             85.60,            126.14,,,
Jamaica,World,Vegetable,Export,Export(US$ Mil),             56.26,             49.24,             49.85,             53.02,             87.55,             89.25,             71.55,             69.78,             77.51,             69.56,             71.32,             73.56,             81.18,             74.35,             76.67,             77.80,             51.27,             86.53,             82.86,             83.67,             86.74,             90.93,             94.21,             89.81,            118.72,            115.08,,,             86.15,             85.18,             83.74,,,
Jamaica,World,Footwear,Export,Export(US$ Mil),              0.32,              0.16,              0.12,              0.15,              0.09,              0.12,              0.04,              0.06,              0.16,              0.15,              0.15,              0.32,              0.22,              0.54,              0.55,              0.79,              0.67,              0.75,              0.69,              0.56,              0.80,              0.74,              0.75,              1.23,              1.53,              1.54,,,              1.25,              1.92,              2.52,,,
