Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Kenya,World,Consumer goods,Export,Export(US$ Mil),           4088.14,           3896.06,           3701.81,           3917.04,           3847.22,           3716.09,           3977.88,,           3555.40,,,           3188.29,           2737.48,           3086.70,           2513.02,           2257.47,           2302.37,           1818.40,           1685.77,            745.18,            930.84,           1002.36,           1089.34,           1233.95,           1120.39,,,,,            775.05,,,,
Kenya,World,Minerals,Export,Export(US$ Mil),            418.43,            290.78,            257.55,            288.16,            266.41,            251.03,            280.90,,            169.56,,,            140.40,            142.46,            194.43,            120.14,             88.94,             70.27,            119.20,             85.14,             42.70,             61.24,             59.29,             57.58,             67.22,             81.36,,,,,             40.60,,,,
Kenya,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,            111.04,,,,
Kenya,World,Raw materials,Export,Export(US$ Mil),           1407.06,           1192.58,           1144.01,           1205.63,           1094.43,            994.29,            960.80,,            740.08,,,            832.87,            791.78,            791.10,            706.57,            618.10,            561.97,            551.27,            496.77,            242.89,            391.15,            399.99,            369.94,            408.47,            524.91,,,,,            274.81,,,,
Kenya,World,Capital goods,Export,Export(US$ Mil),            330.20,            212.99,            319.16,            264.05,            198.10,            302.80,            243.99,,            218.89,,,            265.91,            234.55,            194.28,            175.91,            134.25,             92.31,             44.66,             77.90,             62.80,             19.61,             10.11,             18.86,             22.57,             12.56,,,,,             21.70,,,,
Kenya,World,Plastic or Rubber,Export,Export(US$ Mil),            144.39,            122.59,            115.86,            123.67,            137.37,            150.56,            177.18,,            189.34,,,            156.03,            131.30,            151.55,            118.13,            109.79,             91.96,             62.33,             55.58,             17.47,             44.40,             41.17,             42.35,             49.80,             45.48,,,,,             10.47,,,,
Kenya,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,            326.09,              0.01,            241.33,            284.02,            371.65,            315.51,            330.40,            401.60,            370.56,,,,,            195.44,,,,
Kenya,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            892.27,            822.75,            947.04,            985.51,            789.93,            812.37,            898.44,,            972.12,,,            734.58,,            649.33,            611.20,            408.09,,,,,,            163.92,            218.00,            259.69,            246.86,,,,,            126.38,,,,
Kenya,South Africa,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,            821.21,,,            754.24,            913.79,            678.17,,            470.89,            564.57,,            296.41,            230.45,            251.21,            216.60,            248.88,            234.66,            374.76,,,,,,,,,
Kenya,World,Vegetable,Export,Export(US$ Mil),           3184.19,           2891.57,           2631.64,           2922.54,           2854.65,           2630.69,           2532.37,,           2432.87,,,           2432.62,           2075.10,           2175.01,           1738.70,           1516.15,           1292.83,           1114.42,           1066.30,            424.95,            881.84,            884.13,            901.69,           1028.27,            963.30,,,,,            526.39,,,,
