Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Kyrgyz Republic,World,Consumer goods,Export,Export(US$ Mil),            360.53,            264.94,            399.76,            430.32,            339.38,            212.30,            246.84,            377.77,            418.52,            419.16,            400.30,            304.03,            176.07,            236.99,            446.03,            281.55,            183.26,            126.61,             78.23,             88.71,             50.17,             46.50,,,,            139.28,             93.49,,,,,,,
Kyrgyz Republic,World,Minerals,Export,Export(US$ Mil),            211.61,            145.98,            196.29,            153.27,            153.50,             77.51,             26.76,             59.16,             40.39,             74.22,             32.21,              8.42,              9.89,             56.33,             50.31,             28.91,             18.05,             12.83,              7.34,              4.25,              3.96,              4.26,,,,              7.86,              2.68,,,,,,,
Kyrgyz Republic,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,            233.46,,,,            100.67,            335.85,,,,             52.55,,,,,,,,,,,,,,,,
Kyrgyz Republic,World,Raw materials,Export,Export(US$ Mil),            504.97,            336.79,            435.63,            411.47,            328.63,            159.90,            124.07,            448.60,            198.96,            258.50,            206.32,            162.66,            124.71,            207.54,            153.14,            114.42,            102.24,            103.55,             92.47,            109.92,             79.11,            113.62,,,,            147.17,            147.67,,,,,,,
Kyrgyz Republic,World,Capital goods,Export,Export(US$ Mil),            156.07,             91.97,             98.27,            128.69,            209.43,            153.85,            168.32,            117.66,            153.58,            185.86,             93.70,             58.48,             65.20,             66.85,             88.51,             54.78,             33.87,             26.71,             26.09,             32.41,             34.90,             33.71,,,,             33.33,             25.90,,,,,,,
Kyrgyz Republic,World,Plastic or Rubber,Export,Export(US$ Mil),             39.71,             31.69,             35.40,             32.83,             22.45,             16.18,             27.53,             40.38,             53.09,             26.19,             22.97,              9.28,             12.97,             12.13,             18.65,             19.79,             17.11,             12.56,              6.89,              5.13,              4.01,              6.12,,,,              2.70,              2.03,,,,,,,
Kyrgyz Republic,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,            361.83,            257.29,            215.80,            164.53,,,,,,,,,,,,,,,,,,,,,,,
Kyrgyz Republic,World,Vegetable,Export,Export(US$ Mil),            138.92,            124.56,            136.60,             96.49,            118.61,             87.87,             73.78,            170.32,            166.76,            147.65,            138.61,            105.15,             93.13,            106.42,             89.44,             44.78,             21.82,             26.20,             18.96,             20.14,             13.34,             14.91,,,,             43.08,             28.13,,,,,,,
Kyrgyz Republic,Kazakhstan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            382.19,            229.65,            347.07,            270.29,            266.19,            151.15,            227.70,            458.91,            382.45,            404.93,            289.71,            181.68,            119.25,            184.07,            204.58,            162.64,            116.13,             87.31,             57.13,             36.75,             39.03,,,,,            112.99,             67.23,,,,,,,
Kyrgyz Republic,World,Footwear,Export,Export(US$ Mil),              7.58,              2.68,             16.46,             24.09,             31.23,              8.38,             23.51,              7.43,              4.55,              3.40,              3.76,              2.38,              3.10,              4.09,              1.89,              1.18,              1.10,              1.16,              0.68,              0.18,              0.48,              0.23,,,,              1.69,              1.61,,,,,,,
Kyrgyz Republic,Canada,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,,,             42.51,,,,,,,,
Kyrgyz Republic,World,Miscellaneous,Export,Export(US$ Mil),             21.47,             14.29,             22.42,             12.62,             10.77,             85.01,            140.62,              8.67,             67.07,             61.97,             71.56,            176.09,            194.79,            465.69,             30.33,             12.13,             25.61,             67.34,             53.89,             10.36,              9.08,             10.98,,,,              9.73,             14.12,,,,,,,
Kyrgyz Republic,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,             61.37,,,,,,             38.12,             26.57,,,             40.13,,             44.13,,,,             36.43,             68.46,,,,,,,
Kyrgyz Republic,...,...,Import,No. Of Import products,           3496.00,           3351.00,           3500.00,           3470.00,           3549.00,           3525.00,           3473.00,           3471.00,           3488.00,           3475.00,           3403.00,           3304.00,           3228.00,           3305.00,           3279.00,           3272.00,           3126.00,           3110.00,           3009.00,           3033.00,           2986.00,           3064.00,,,,            498.00,            485.00,,,,,,,
Kyrgyz Republic,...,...,Export,No. Of Export products,           1721.00,           1410.00,           1624.00,           1624.00,           1629.00,           1378.00,           1545.00,           1622.00,           1605.00,           1561.00,           1556.00,           1515.00,           1395.00,           1464.00,           1437.00,           1454.00,           1419.00,           1403.00,           1457.00,           1576.00,           1591.00,           1588.00,,,,            465.00,            447.00,,,,,,,
Kyrgyz Republic,Switzerland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,            489.26,            648.02,            562.11,            575.61,            513.20,            547.90,            873.64,            387.89,            444.83,            440.48,            226.13,            207.70,             65.27,            101.76,            117.87,             96.37,            124.19,             34.10,,,,,,,,,,,,
Kyrgyz Republic,...,...,Export,No. Of Export partners,             91.00,             91.00,             89.00,             93.00,             90.00,             86.00,             88.00,             88.00,             89.00,             85.00,             76.00,             78.00,             80.00,             67.00,             73.00,             76.00,             72.00,             69.00,             70.00,             59.00,             60.00,             64.00,,,,             49.00,             50.00,,,,,,,
Kyrgyz Republic,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,             94.40,            144.58,,,,,,,,,,,,
