Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Kuwait,World,Consumer goods,Export,Export(US$ Mil),          17610.63,           8408.71,          13730.36,          15007.47,          13025.24,          12191.48,          16005.64,          26919.19,          30393.59,,          29606.61,          22321.79,,          26218.28,          21515.96,          17174.08,,          10247.57,           7555.07,           6029.35,           5427.48,           7049.58,,,,,,,,,,,,
Kuwait,World,Minerals,Export,Export(US$ Mil),              2.21,              3.16,              6.07,             20.73,              4.96,             15.31,              7.00,              5.41,              4.91,,              1.35,              3.75,,              2.10,              0.19,              0.89,,              6.31,              8.21,              0.08,              0.31,              0.07,,,,,,,,,,,,
Kuwait,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,           2044.90,           1992.97,           1943.78,           1765.23,           2099.38,           1987.01,,           1658.20,           1658.61,,           1819.02,           1593.15,           1302.97,,           1446.85,           1129.31,            839.89,            778.58,            581.55,,,,,,,,,,,,
Kuwait,World,Raw materials,Export,Export(US$ Mil),          41953.76,          28819.57,          46673.71,          52156.10,          38504.06,          30980.21,          34466.96,          69609.87,          79354.24,,          69104.19,          37081.68,,          57935.56,          38787.33,          36797.68,,          16714.23,          11584.70,           8216.90,           9619.98,          11215.77,,,,,,,,,,,,
Kuwait,World,Capital goods,Export,Export(US$ Mil),            803.63,            727.07,           1007.33,           1115.03,            720.07,            567.20,            677.21,            943.53,            743.49,,            519.83,            491.66,,            732.97,            636.48,            406.82,,             86.44,             84.55,             58.03,             45.74,             71.66,,,,,,,,,,,,
Kuwait,World,Plastic or Rubber,Export,Export(US$ Mil),            419.97,            588.14,            740.93,            819.24,            672.14,            689.75,            892.51,           1102.25,           1685.59,,           1850.96,           1675.91,,            733.84,           1281.87,           1093.08,,            899.03,            727.73,            726.58,            706.32,            725.36,,,,,,,,,,,,
Kuwait,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,            401.99,,,,,,,,,,,,
Kuwait,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           1836.71,           1670.00,           2113.39,           2104.39,,           2010.11,           2144.42,           2235.58,           2225.09,,           1661.13,           1805.38,,           2384.44,           1822.67,           1377.95,,            808.86,           1083.96,            962.78,            752.26,            697.93,,,,,,,,,,,,
Kuwait,World,Vegetable,Export,Export(US$ Mil),             87.53,             94.81,             94.07,            179.48,            176.90,            111.89,            110.69,             94.86,             82.24,,             40.31,             30.49,,             60.05,             31.55,             22.71,,             13.67,              9.06,             18.17,              9.73,             11.91,,,,,,,,,,,,
Kuwait,World,Footwear,Export,Export(US$ Mil),             19.80,             12.10,             23.66,             15.18,             15.40,              9.26,              9.20,             10.76,              5.00,,              3.39,              2.25,,              4.02,              8.16,              3.54,,              1.56,              1.75,              1.40,              1.80,              1.04,,,,,,,,,,,,
