Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Lebanon,World,Consumer goods,Export,Export(US$ Mil),           1622.13,           1251.12,           1156.21,           1124.73,           6122.49,           1209.91,           1338.45,           1484.61,           1700.30,           1381.32,           1218.81,           1176.05,           1130.08,           1183.59,            989.38,            789.35,            730.72,            628.94,            509.40,            451.12,            419.95,            321.40,            304.00,            304.64,            298.60,,,,,,,,,
Lebanon,World,Minerals,Export,Export(US$ Mil),              1.56,              9.89,              3.63,              6.15,              4.96,              5.08,              6.64,             10.88,             19.85,             42.11,             30.50,             50.14,             77.19,            123.05,             83.89,             78.73,            119.21,            103.15,             60.80,             35.76,             30.94,             31.75,             13.68,              5.49,              4.48,,,,,,,,,
Lebanon,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,           1168.98,           6232.38,           1161.07,           1222.78,           1256.41,           1242.32,           1186.98,           1140.38,           1259.85,           1237.25,           1027.19,            749.93,            659.87,            656.89,            728.85,            578.54,            582.46,            623.14,            519.65,            552.60,            613.41,            648.09,,,,,,,,,
Lebanon,World,Raw materials,Export,Export(US$ Mil),           1261.02,            632.64,            500.98,            618.53,            392.08,            302.27,            363.45,            434.92,            623.89,            617.04,            715.75,            564.19,            346.92,            518.13,            499.50,            315.87,            296.40,            261.95,            173.45,            118.93,            127.29,            109.87,            107.41,            105.38,             96.44,,,,,,,,,
Lebanon,World,Capital goods,Export,Export(US$ Mil),            394.79,            377.32,            397.59,            341.31,           1008.43,            348.55,            430.24,            459.43,            514.97,            455.53,            522.94,           1056.50,            558.45,            545.03,            462.89,            336.11,            304.65,            282.12,            189.99,            131.91,            105.27,             74.85,             70.38,             71.44,             80.90,,,,,,,,,
Lebanon,World,Plastic or Rubber,Export,Export(US$ Mil),            119.15,            107.58,            152.76,            180.19,           1155.17,            133.21,            128.71,            137.08,            144.22,            146.38,            134.32,            118.87,            124.71,            150.10,            117.91,             84.63,             77.54,             58.68,             37.04,             34.49,             26.10,             17.50,             17.85,             16.35,             16.65,,,,,,,,,
Lebanon,World,Vegetable,Export,Export(US$ Mil),            557.26,            294.87,            233.54,            237.52,            214.62,            228.44,            217.44,            240.13,            252.33,            202.13,            182.11,            176.89,            138.97,            150.00,            122.17,             92.46,             90.52,             97.97,             73.71,             64.52,             59.26,             58.04,             59.17,             65.43,             59.01,,,,,,,,,
Lebanon,World,Footwear,Export,Export(US$ Mil),              4.95,              8.74,              9.77,              8.75,              9.87,             11.59,             16.62,             26.81,             18.70,             24.45,             23.23,             21.70,             16.88,             20.03,             18.96,             15.11,             17.74,             14.57,             10.50,              8.48,             15.33,              8.42,             10.10,             19.10,             19.47,,,,,,,,,
Lebanon,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            766.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lebanon,World,Miscellaneous,Export,Export(US$ Mil),            406.00,            116.76,             90.73,            100.61,             93.51,            101.22,            110.01,            125.44,            115.34,            105.65,            122.64,            134.42,            134.73,            157.57,            140.99,             99.82,             83.80,             81.50,             62.33,             41.86,             31.87,             23.76,             20.36,             20.06,             17.69,,,,,,,,,
Lebanon,Switzerland,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,            431.21,            442.37,            445.45,            492.30,,,,,,,,,
Lebanon,...,...,Import,No. Of Import products,           3767.00,           3721.00,           3942.00,           3994.00,           4037.00,           4050.00,           4022.00,           4040.00,           4056.00,           3969.00,           4073.00,           4084.00,           4074.00,           4079.00,           4046.00,           4217.00,           4067.00,           4085.00,           4293.00,           4282.00,           4305.00,           4226.00,           4217.00,           4300.00,           4381.00,,,,,,,,,
Lebanon,...,...,Export,No. Of Export products,           2741.00,           2686.00,           2752.00,           2722.00,           2716.00,           2748.00,           2850.00,           2923.00,           2895.00,           2865.00,           2951.00,           2895.00,           2897.00,           2969.00,           2966.00,           2965.00,           2722.00,           2754.00,           2924.00,           2778.00,           2631.00,           2477.00,           2549.00,           2616.00,           2587.00,,,,,,,,,
Lebanon,Switzerland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            428.71,           1058.61,           1061.81,,,,,,,            547.51,            514.89,            502.59,            777.45,            328.99,            308.14,            450.99,            125.08,            185.90,            379.11,            132.14,             63.23,             50.97,             44.57,,,,,,,,,,,
Lebanon,Angola,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,            462.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lebanon,Cameroon,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            282.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lebanon,...,...,Export,No. Of Export partners,            174.00,            167.00,            168.00,            171.00,            170.00,            168.00,            173.00,            173.00,            176.00,            174.00,            167.00,            175.00,            177.00,            174.00,            173.00,            169.00,            171.00,            153.00,            161.00,            157.00,            151.00,            143.00,            143.00,            149.00,            145.00,,,,,,,,,
Lebanon,Qatar,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            203.20,            150.51,,,            279.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lebanon,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,           1090.72,           1273.65,           1535.48,           1534.00,           1509.76,           1196.63,           1567.74,           1336.73,            883.42,            760.90,            789.20,            730.73,            583.22,            517.28,            615.37,            526.27,            595.32,            687.83,            710.00,,,,,,,,,
Lebanon,World,Intermediate goods,Export,Export(US$ Mil),            924.83,           1529.67,           1671.14,            863.45,           1212.02,           1109.75,            817.74,            928.22,           1093.87,           1988.87,           1806.40,           1450.64,           1439.81,           1214.25,            838.38,            832.55,            538.61,            560.18,            644.74,            343.54,            236.78,            208.21,            194.97,            179.49,            166.30,,,,,,,,,
Lebanon,Iraq,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,            146.21,            147.28,,            161.70,            224.65,            255.90,            272.36,,,            266.98,            270.73,            269.00,            147.58,            136.26,            178.37,            255.49,            121.78,             71.12,             68.01,,,,,,,,,,,,,
Lebanon,World,Textiles and Clothing,Export,Export(US$ Mil),             50.60,             49.34,             48.63,             51.95,             66.86,             84.66,            106.48,            123.91,            121.44,            116.49,            129.16,            107.78,            106.67,            118.57,            102.58,             87.26,             81.44,             77.98,             64.66,             60.64,             77.02,             41.52,             54.64,             71.96,             78.40,,,,,,,,,
Lebanon,World,Food Products,Export,Export(US$ Mil),            417.34,            381.72,            371.19,            382.76,           4176.87,            445.50,            482.87,            515.09,            452.78,            392.31,            379.99,            324.34,            283.61,            281.19,            238.42,            187.08,            191.04,            148.01,            149.56,            102.32,             99.67,             72.49,             73.96,             70.68,             64.06,,,,,,,,,
Lebanon,World,Consumer goods,Import,Import(US$ Mil),           7757.12,           6243.90,          12190.51,          11070.70,          68915.52,          10765.07,          10847.33,          11774.79,          12033.64,          12515.01,          10888.80,          10095.06,           9125.35,           9403.62,           6638.36,           5588.64,           5385.52,           5356.62,           4026.34,           3594.59,           4085.46,           3392.04,           3217.34,           3485.73,           3580.80,,,,,,,,,
