Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
,World,Consumer goods,Export,Export(US$ Mil),         227472.06,         205416.70,         231760.23,         234916.16,         221040.92,         195479.23,         207367.42,         225033.14,         250790.03,         255093.45,         223618.43,         213566.21,         185039.56,         229951.68,         188312.89,         172753.54,         158323.16,         132035.84,         106130.45,         102934.18,         106705.21,         107730.26,          81310.78,          83102.93,          77951.41,          67000.10,          57334.22,          47521.32,          35981.46,          28400.22,          16526.06,          12634.80,           6942.32,
,World,Minerals,Export,Export(US$ Mil),         123399.85,          78779.64,          73168.38,          73371.32,          68682.68,          52940.07,          52202.86,          69467.89,          77635.77,          78228.07,          88111.82,          67205.18,          39602.65,          48207.05,          46188.62,          36581.35,          26563.01,          18339.95,          10576.98,           8681.02,           8723.20,           9070.86,           7949.03,           8256.92,           8380.60,           7653.56,           7536.04,           5677.14,           4448.13,           5439.75,           4984.65,           4341.67,           2589.78,
,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          41435.15,          33682.44,          41097.58,          42312.41,          38533.79,          34900.47,          37238.71,          41977.28,          44633.49,          42962.76,          43115.74,          36009.22,          28999.45,          35958.40,          28060.16,          23307.55,          21172.79,          17615.69,          14708.98,          14684.94,          15546.11,          14406.66,          14312.78,          15575.96,          14544.49,          12827.73,          12678.57,          10789.57,           7806.81,           5912.92,           5387.30,           4063.52,           1626.54,
,World,Raw materials,Export,Export(US$ Mil),         386489.25,         287147.48,         301809.33,         301985.59,         269377.83,         222739.81,         230951.73,         303423.04,         393572.07,         393723.38,         393058.02,         294174.38,         215732.95,         289678.39,         189866.55,         216375.13,         164176.62,         123794.60,          99198.67,          83125.77,          77112.55,          83311.46,          66744.03,          62588.38,          74364.28,          69971.07,          59403.52,          49844.60,          32330.47,          29231.67,          28295.15,          21883.57,           8013.05,
,World,Capital goods,Export,Export(US$ Mil),         257454.39,         230399.36,         259678.74,         254088.51,         236017.58,         219128.66,         219691.58,         220295.43,         212031.27,         207633.84,         189328.54,         166649.32,         127271.47,         159443.86,         143571.90,         138770.37,         122262.83,         107131.38,          91232.07,          86726.21,          87117.85,          87795.77,          72666.36,          61378.31,          53506.54,          43525.24,          36822.48,          30698.12,          24652.41,          20283.00,           9913.56,           8815.51,           5495.03,
,World,Plastic or Rubber,Export,Export(US$ Mil),          29303.46,          22832.04,          24968.12,          25612.89,          24597.71,          22799.72,          23133.34,          25094.21,          24320.40,          24576.32,          23763.38,          19419.24,          15781.79,          18608.95,          17781.97,          15481.96,          13803.43,          11331.75,           8983.72,           7794.54,           7771.82,           7968.21,           6649.21,           6290.43,           6204.64,           5468.18,           5302.00,           4193.87,           3338.30,           2692.53,           1693.02,           1363.42,            880.67,
,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,          24678.57,          32322.34,          32999.11,          31892.13,          30551.62,          32224.99,          34395.81,          36085.29,          38116.09,          37396.10,          33901.78,          25532.84,          36389.54,          31889.60,          28056.88,          23891.40,          19623.42,          14966.83,          16751.34,          16550.40,          14570.97,          13175.85,          15562.57,          14661.45,          11803.34,          12242.79,          12057.24,           8518.60,           6792.99,           5214.70,           3671.50,           1608.25,
,World,Vegetable,Export,Export(US$ Mil),         147850.15,         123125.78,         118867.61,         116130.29,         110381.83,         100193.69,          99586.38,         102219.95,         103482.99,          99971.11,         100158.02,          74993.22,          61972.88,          75342.18,          58457.55,          44522.05,          40836.54,          39095.62,          34046.94,          27727.44,          27322.06,          25607.97,          26486.88,          30512.95,          30284.04,          25408.13,          24353.65,          21241.71,          13740.53,           9059.51,           8759.95,           5899.63,           4071.52,
,World,Footwear,Export,Export(US$ Mil),           2509.23,           2448.59,           3379.35,           3465.12,           3663.30,           3496.17,           3806.38,           4109.61,           4066.85,           4205.42,           4133.54,           3688.45,           3326.01,           4112.17,           3969.68,           3718.92,           2920.54,           2731.21,           2412.75,           2260.14,           2274.99,           2233.25,           2000.13,           2123.78,           2459.16,           2315.11,           2097.85,           2183.37,           2521.36,           1935.54,           1537.66,           1315.80,           1317.64,
,"Other Asia, nes",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,          33495.68,          27502.35,,,,,,,,,,,,,,,,,,,,,,,,
,World,Miscellaneous,Export,Export(US$ Mil),          78466.65,          53796.92,          57872.34,          54709.49,          47817.91,          44961.65,          43560.62,          44523.59,          38278.28,          37640.89,          59518.74,          28714.78,          26552.87,          28098.47,          34677.90,          25849.68,          21401.62,          18411.42,          16562.72,          16645.65,          14617.30,          13466.22,          11649.64,          10351.75,          13296.51,          10674.66,           6286.55,           5230.25,           4349.83,           3492.55,           1619.40,           1298.62,            706.87,
,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,         171081.92,         129543.89,         123589.87,         121996.21,          94451.71,          74457.68,          74101.11,          85144.40,          92962.78,          83826.10,          86327.60,          67771.75,          46849.56,          39573.92,          33877.94,          23147.44,          19137.10,          14332.71,          11255.16,           6506.51,,,,,,,,,,,,,,
,...,...,Import,No. Of Import products,           4622.00,           4629.00,           4637.00,           4772.00,           4786.00,           4775.00,           4767.00,           4762.00,           4814.00,           4865.00,           4870.00,           4879.00,           4884.00,           4904.00,           4922.00,           4928.00,           4951.00,           4946.00,           4950.00,           4950.00,           4958.00,           4955.00,           4981.00,           4981.00,           5022.00,           5016.00,           5019.00,           5012.00,           5012.00,           5000.00,           4991.00,           4974.00,           4442.00,
,...,...,Export,No. Of Export products,           4492.00,           4518.00,           4531.00,           4561.00,           4599.00,           4572.00,           4573.00,           4581.00,           4618.00,           4641.00,           4670.00,           4664.00,           4676.00,           4719.00,           4816.00,           4838.00,           4873.00,           4855.00,           4861.00,           4876.00,           4897.00,           4873.00,           4914.00,           4920.00,           4941.00,           4962.00,           4940.00,           4939.00,           4889.00,           4843.00,           4796.00,           4682.00,           4005.00,
