Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Lesotho,World,Consumer goods,Export,Export(US$ Mil),            590.11,            443.54,            589.52,            621.09,            509.22,            477.78,            323.02,            364.93,            249.58,            519.68,            564.80,            297.05,            469.06,            126.12,,,,            814.99,            449.66,            305.21,            245.03,            308.72,,,,,,,,,,,,
Lesotho,World,Minerals,Export,Export(US$ Mil),              1.51,              1.26,              1.45,              1.59,              2.09,              1.62,              1.71,              0.64,              1.30,              2.12,              1.46,              0.94,              0.67,              4.85,,,,              0.41,              0.18,              0.22,              0.23,              0.00,,,,,,,,,,,,
Lesotho,Botswana,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,              0.81,,,,,,,,,,,,
Lesotho,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,             15.02,             14.65,,,,             21.66,,,,,,,,,,,,,,,,
Lesotho,World,Raw materials,Export,Export(US$ Mil),            239.89,            318.74,            213.94,            154.30,             37.07,             32.54,            226.39,            404.88,             30.23,             70.87,             53.44,             37.18,             36.62,             29.88,,,,             10.54,             10.42,             21.01,             14.33,              5.49,,,,,,,,,,,,
Lesotho,World,Capital goods,Export,Export(US$ Mil),             74.27,             41.19,             54.79,             56.80,             53.70,             53.76,             23.16,             25.08,             38.51,             45.15,             50.90,             48.95,             44.49,             47.22,,,,              1.04,              2.61,              4.62,              1.58,              0.85,,,,,,,,,,,,
Lesotho,Botswana,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,              1.69,,,,,,,,,,,,,
Lesotho,Zambia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,              6.90,,,,,,,,,,,,,,,,,,,,,,,
Lesotho,World,Plastic or Rubber,Export,Export(US$ Mil),              2.10,              2.09,              2.58,              1.91,              1.29,              0.92,              0.83,              0.54,              0.48,              0.39,              0.19,              0.02,              0.15,              0.42,,,,              0.06,              0.23,              0.13,              0.28,              0.00,,,,,,,,,,,,
Lesotho,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,              5.25,              2.57,,,,,,,,,,,,,,,,,,,,
Lesotho,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,             22.65,,             28.43,,             33.73,             18.36,             23.38,             21.11,,,,,             33.73,             19.36,,,,,,,,,,,,,,,,,,,,
Lesotho,South Africa,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           1248.99,            908.79,           1151.97,           1124.16,           1461.14,           1137.42,           1052.79,           1150.90,           1401.82,           1417.77,           1406.99,           1006.63,           1291.52,           1015.18,,,,           1094.35,            915.49,            617.27,            577.50,            486.97,,,,,,,,,,,,
Lesotho,World,Vegetable,Export,Export(US$ Mil),             14.59,             11.96,              9.07,              9.74,             15.89,             18.65,              4.78,              5.05,             17.80,             23.22,             32.02,             18.19,             22.29,             28.68,,,,             14.45,             12.49,              8.36,             11.80,              2.52,,,,,,,,,,,,
Lesotho,World,Footwear,Export,Export(US$ Mil),              7.79,              6.68,              9.84,             10.61,             11.72,             12.40,              9.74,              6.43,             26.55,             29.20,             37.15,             35.21,             29.83,             19.42,,,,             24.88,             16.53,             29.11,             39.19,             29.23,,,,,,,,,,,,
Lesotho,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,             41.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lesotho,"Other Asia, nes",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,             13.72,,,,,,,,,,,,,,
Lesotho,Nigeria,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,              0.67,,,,,,,,,,,,,,,
Lesotho,World,Miscellaneous,Export,Export(US$ Mil),              2.46,              1.02,              1.03,              1.93,             21.61,             23.07,             10.92,              2.61,              0.70,              2.85,             35.25,             80.46,             24.16,              0.97,,,,              1.99,              3.52,              2.28,              0.33,              0.36,,,,,,,,,,,,
Lesotho,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,             25.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
