Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Lithuania,World,Consumer goods,Export,Export(US$ Mil),          18557.65,          15198.02,          16188.88,          16664.82,          14722.84,          12493.13,          12669.01,          16741.76,          17545.11,          15545.63,          15318.77,          11242.25,           8884.38,          12303.35,           8224.97,           8160.53,           6965.06,           5433.47,           3850.06,           3004.08,           2703.66,           2097.03,           1228.83,           2018.86,           2034.83,           1632.75,           1100.22,            932.85,,,,,,
Lithuania,Denmark,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,            278.94,,,            186.12,,,,,,,,,,,
Lithuania,World,Minerals,Export,Export(US$ Mil),            118.17,             49.72,             63.14,             58.05,             42.23,             36.64,             44.75,             54.81,             90.09,             70.42,             61.19,             37.14,             27.51,             63.15,             44.17,             36.52,             28.84,             18.57,             13.92,             12.08,             11.27,             14.12,             19.08,             21.21,             22.20,             19.48,             14.13,             16.86,,,,,,
Lithuania,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           5695.20,           4298.61,           4182.29,           4371.64,           3743.61,           3354.42,           3236.03,           3845.12,           3654.37,           3148.41,           3042.37,           2552.77,           2076.38,           3702.99,           3662.61,           2885.08,           2347.51,           2073.26,           1583.34,           1308.71,           1094.46,            821.32,            868.09,           1160.19,           1054.99,            720.02,            521.74,            356.36,,,,,,
Lithuania,World,Raw materials,Export,Export(US$ Mil),           4343.95,           3823.71,           3286.08,           2974.97,           2886.96,           2468.09,           2845.91,           3569.14,           3836.46,           3473.74,           2967.03,           2332.23,           1886.50,           2559.04,           1987.03,           1197.80,            946.62,            712.99,            587.59,            387.26,            381.98,            334.97,            257.58,            293.14,            340.84,            291.60,            366.15,            257.85,,,,,,
Lithuania,World,Capital goods,Export,Export(US$ Mil),           7567.62,           6532.34,           6398.98,           6319.20,           5815.58,           4496.63,           4380.42,           5542.93,           5047.57,           4551.77,           3850.15,           2925.97,           2197.55,           3827.95,           3024.38,           2300.72,           1767.23,           1468.15,           1421.14,           1002.15,            599.83,            477.51,            364.55,            415.23,            450.94,            402.24,            316.65,            255.60,,,,,,
Lithuania,World,Plastic or Rubber,Export,Export(US$ Mil),           2791.14,           2099.96,           2172.30,           2234.60,           1898.66,           1653.76,           1531.39,           1962.14,           1940.73,           1752.94,           1717.42,           1383.92,           1113.04,           1417.50,           1362.18,            729.85,            425.73,            280.30,            199.78,            153.81,            134.13,            118.94,             83.29,             87.29,            108.75,             94.43,             84.10,             31.41,,,,,,
Lithuania,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,            246.34,,,,            178.46,,,,,,,,
Lithuania,Poland,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           5389.27,           4349.73,           4201.15,           4203.09,           3182.75,           3013.98,           2901.97,           3326.64,           3320.00,           3133.09,           2726.44,           2064.64,           1827.91,           3121.70,           2598.29,           1846.76,           1286.27,            947.22,            505.77,            369.23,            308.26,            269.06,            338.05,            380.24,            325.01,            230.90,            154.39,            103.91,,,,,,
Lithuania,World,Vegetable,Export,Export(US$ Mil),           2390.44,           2470.51,           1979.38,           1615.50,           1790.65,           1748.13,           2017.34,           2330.27,           2555.64,           2287.86,           1653.55,           1344.66,           1138.80,           1522.46,            930.43,            516.29,            377.53,            253.73,            229.35,            127.32,            132.93,             82.49,             96.89,            113.30,            115.78,             96.22,            117.52,             68.76,,,,,,
Lithuania,World,Footwear,Export,Export(US$ Mil),            119.87,            103.18,            118.11,            122.83,            103.76,             84.09,             86.67,            167.00,            172.14,             70.01,             48.42,             35.80,             36.43,             42.45,             33.79,             27.28,             18.47,             18.65,             13.16,             14.82,             16.47,             13.62,             19.31,             17.92,             23.78,             26.67,             21.70,             21.26,,,,,,
Lithuania,World,Miscellaneous,Export,Export(US$ Mil),           5099.76,           4153.01,           3993.47,           3949.85,           3280.95,           2922.90,           3035.45,           3780.68,           3108.08,           2785.87,           2445.21,           1853.94,           1398.05,           1847.43,           1505.74,           1070.15,            845.28,            703.57,            532.87,            341.08,            253.35,            210.83,            155.32,            139.58,            130.44,            108.52,             86.17,             78.87,,,,,,
Lithuania,Estonia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,           1696.77,,,           1325.88,           1337.14,,           1822.74,           2320.68,           1820.70,,           1159.51,           1360.30,            997.69,            913.54,            696.59,,,,,,,,,,,,,,,,,
Lithuania,...,...,Import,No. Of Import products,           4365.00,           4343.00,           4354.00,           4357.00,           4356.00,           4351.00,           4349.00,           4359.00,           4333.00,           4312.00,           4324.00,           4326.00,           4315.00,           4339.00,           4346.00,           4552.00,           4541.00,           4503.00,           4440.00,           4434.00,           4472.00,           4463.00,           4432.00,           4457.00,           4391.00,           4364.00,           4315.00,           4125.00,,,,,,
Lithuania,Denmark,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,            239.14,            267.09,            241.95,            172.61,,,,,,,,
Lithuania,...,...,Export,No. Of Export products,           4191.00,           4193.00,           4212.00,           4188.00,           4162.00,           4139.00,           4101.00,           4095.00,           4038.00,           4011.00,           3999.00,           3934.00,           3856.00,           3848.00,           3884.00,           3995.00,           3919.00,           3860.00,           3739.00,           3698.00,           3726.00,           3711.00,           3671.00,           3711.00,           3631.00,           3588.00,           3586.00,           3473.00,,,,,,
Lithuania,Switzerland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,            833.34,,,,,,,,,,,,,,,
Lithuania,...,...,Export,No. Of Export partners,            191.00,            197.00,            196.00,            196.00,            195.00,            200.00,            191.00,            188.00,            186.00,            180.00,            174.00,            178.00,            172.00,            170.00,            169.00,            171.00,            168.00,            167.00,            150.00,            150.00,            150.00,            133.00,            119.00,            118.00,            114.00,            115.00,            100.00,            127.00,,,,,,
Lithuania,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           3349.84,           2662.84,           2517.20,           2460.24,           2124.89,           1921.85,           1993.98,           2350.32,           2334.78,           2307.78,           2568.82,           2046.22,           1597.59,           1701.04,           1797.65,           1218.71,           1107.02,            952.59,            709.49,            567.73,            575.78,            545.89,            481.89,            486.68,            438.62,            430.60,            389.13,            232.71,,,,,,
Lithuania,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,            407.35,            297.07,            239.36,            230.68,,,,,,,,,,,,
Lithuania,World,Intermediate goods,Export,Export(US$ Mil),           9610.33,           6692.73,           6736.90,           6645.34,           5808.66,           5050.27,           4982.85,           5741.07,           5587.07,           5521.93,           5491.08,           3990.80,           3246.29,           4820.10,           3757.33,           2375.33,           2031.44,           1655.05,           1287.56,           1069.55,            886.34,            892.00,            839.05,            977.61,           1032.43,           1028.27,            921.76,            574.12,,,,,,
Lithuania,World,Textiles and Clothing,Export,Export(US$ Mil),           1548.19,           1407.67,           1479.73,           1580.51,           1432.95,           1351.30,           1279.21,           1703.26,           1590.90,           1356.67,           1451.44,           1213.06,           1059.34,           1304.34,           1292.90,           1172.92,           1097.89,           1086.44,            973.68,            822.48,            748.53,            709.08,            685.79,            690.56,            628.19,            524.39,            398.19,            250.31,,,,,,
Lithuania,World,Food Products,Export,Export(US$ Mil),           3069.05,           2996.78,           2520.95,           2620.11,           2141.50,           1869.70,           1700.18,           2148.86,           2108.53,           1765.42,           1611.15,           1357.46,           1170.39,           1235.32,           1058.01,            814.10,            605.77,            414.31,            330.73,            246.50,            221.58,            162.63,            133.36,            165.00,            216.89,            216.86,            150.65,            240.11,,,,,,
Lithuania,Belarus,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,           1506.77,,,,,,,,,,,,,,,            177.49,            328.52,            397.15,            341.97,            290.97,            132.98,,,,,,
Lithuania,World,Consumer goods,Import,Import(US$ Mil),          14619.68,          11768.71,          12037.94,          11756.30,          10785.35,           9712.57,           9906.89,          12187.59,          11264.29,          10130.81,           9741.26,           7199.87,           6277.89,          10035.43,           9220.77,           6319.94,           4619.84,           3894.60,           3157.13,           2558.37,           2241.31,           1828.78,           1773.63,           2316.91,           2269.56,           1822.84,           1392.90,           1323.01,,,,,,
Lithuania,World,Transportation,Export,Export(US$ Mil),           2361.02,           1795.00,           1948.82,           1677.83,           1524.72,           1113.75,            966.87,           1606.72,           1978.52,           1874.80,           2130.23,           1585.50,           1201.49,           2032.40,           1808.45,           1438.63,            974.05,            841.25,           1098.88,            876.66,            423.50,            258.72,            162.72,            301.97,            309.08,            246.03,            137.28,             75.01,,,,,,
Lithuania,Finland,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,            241.67,            193.62,,,,,,,,,
Lithuania,World,Raw materials,Import,Import(US$ Mil),           7488.22,           5197.46,           7241.67,           7676.14,           6361.23,           4896.60,           5695.54,           8629.76,          10336.24,          10277.24,          10154.02,           7599.22,           5576.27,           9223.31,           3873.25,           4669.44,           4144.09,           2563.70,           1868.42,           1439.84,           1355.48,           1261.91,            798.31,            877.20,            933.67,            761.88,            653.60,            181.25,,,,,,
Lithuania,Netherlands,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           2340.30,           1835.37,           1927.37,           1801.41,,,           1447.11,,           1832.87,           1759.82,           1558.25,           1028.37,            739.79,,           1044.89,            725.13,            576.74,            499.13,,,,,,,,,,,,,,,,
