Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Luxembourg,World,Consumer goods,Export,Export(US$ Mil),           5667.46,           4980.45,           4974.35,           5023.37,           4121.04,           4727.43,           4736.39,           5596.33,           5269.67,           5028.11,           5188.16,           4472.90,           4302.20,           5608.54,           5052.00,           4359.97,           4229.49,           3866.48,           3358.14,           2821.17,           2558.37,           2237.17,           2508.43,,,,,,,,,,,
Luxembourg,World,Minerals,Export,Export(US$ Mil),             86.52,             81.75,             79.37,             84.61,             73.43,             69.79,             69.45,             84.80,             90.27,             88.37,            111.48,             84.41,             59.45,             96.36,             97.12,             94.60,             65.11,             50.94,             44.42,             42.51,             39.20,             51.25,             57.36,,,,,,,,,,,
Luxembourg,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           6036.42,           5025.12,           5107.73,           5396.90,           5037.21,           4659.85,           4629.22,           5719.65,           5748.04,           5459.47,           6235.28,           5219.72,           4670.75,           6582.69,           6071.44,           5057.92,           4465.56,           4529.85,           3834.66,           2903.07,           2693.54,           2451.89,           2536.59,,,,,,,,,,,
Luxembourg,World,Raw materials,Export,Export(US$ Mil),            558.44,            502.39,            519.49,            541.16,            498.35,            462.87,            471.30,            545.19,            570.78,            625.68,            937.72,            759.55,            432.39,            557.18,            507.90,            440.64,            413.67,            394.89,            290.62,            228.93,            201.43,            207.80,            222.64,,,,,,,,,,,
Luxembourg,World,Capital goods,Export,Export(US$ Mil),           3853.86,           3278.60,           3740.18,           3759.05,           2580.77,           3057.92,           2680.17,           2990.95,           2821.22,           2881.27,           3303.86,           2771.42,           2717.76,           3493.14,           3616.70,           3197.80,           2945.93,           2616.50,           2289.88,           2123.48,           2323.51,           2021.92,           1903.03,,,,,,,,,,,
Luxembourg,World,Plastic or Rubber,Export,Export(US$ Mil),           2498.18,           2138.39,           2281.10,           2269.19,           1725.53,           1810.55,           1906.92,           2191.81,           2275.43,           2234.29,           2730.09,           2111.92,           1519.37,           1925.95,           1639.19,           1469.69,           1326.49,           1216.15,           1128.81,            934.74,            821.19,            800.23,            840.52,,,,,,,,,,,
Luxembourg,World,Vegetable,Export,Export(US$ Mil),            207.64,            185.68,            178.99,            174.04,            139.37,            149.10,            156.38,            154.78,            136.87,            129.62,            234.76,            217.88,            180.60,            160.75,            144.40,            143.37,            142.59,            110.48,             96.73,             73.88,             68.69,             76.58,             89.20,,,,,,,,,,,
Luxembourg,World,Footwear,Export,Export(US$ Mil),            220.41,            150.96,             88.10,             71.43,             43.32,             38.60,             37.54,             30.77,             28.12,             38.11,             86.70,             97.54,             68.98,             20.01,             14.58,             19.76,             19.76,             13.67,             13.02,             11.83,              9.27,              5.02,              5.51,,,,,,,,,,,
Luxembourg,World,Miscellaneous,Export,Export(US$ Mil),            659.16,            549.36,            609.49,            685.74,            609.58,            747.05,            640.16,            847.27,            727.20,            724.74,            798.71,            669.30,            633.32,            865.65,           1028.49,            541.65,            497.82,            734.46,            576.52,            559.80,            490.61,            570.91,            344.60,,,,,,,,,,,
Luxembourg,...,...,Import,No. Of Import products,           4316.00,           4286.00,           4286.00,           4284.00,           4284.00,           4280.00,           4300.00,           4287.00,           4273.00,           4292.00,           4321.00,           4325.00,           4319.00,           4349.00,           4310.00,           4505.00,           4493.00,           4529.00,           4533.00,           4505.00,           4524.00,           4513.00,           4526.00,,,,,,,,,,,
