Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Latvia,World,Consumer goods,Export,Export(US$ Mil),           6800.25,           5446.41,           5338.19,           5291.87,           4957.41,           4488.90,           4354.72,           5352.24,           5137.07,           4789.32,           4626.75,           3317.54,           2702.41,           3351.73,           2884.85,           2329.82,           3012.64,           2181.12,           1514.22,           1245.11,           1062.37,            902.70,            611.55,            656.28,            656.13,            575.94,            450.93,            333.32,,,,,,
Latvia,Denmark,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,            154.75,,,,,,,,,,,,
Latvia,World,Minerals,Export,Export(US$ Mil),            104.28,             84.13,             78.10,             77.68,             66.45,             44.49,             54.94,             85.91,             79.68,             81.81,             82.76,             54.78,             26.04,             57.31,             27.47,             14.88,             14.26,             10.59,              8.99,              7.18,              8.82,              6.78,              6.75,              9.76,              6.92,              8.51,              5.46,              4.10,,,,,,
Latvia,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           2430.93,           1806.79,           1941.95,           1953.49,           1794.98,           1614.42,           1557.50,           1913.21,           1943.95,           1856.08,           1870.05,           1281.82,           1077.82,           2054.24,           2375.08,           1770.94,           1710.85,           1393.29,           1195.13,            989.20,            849.56,            710.77,            446.28,            535.23,            435.33,            320.93,            280.00,            168.69,,,,,,
Latvia,World,Raw materials,Export,Export(US$ Mil),           3241.30,           2742.33,           2477.56,           2340.90,           2051.86,           1788.52,           1830.63,           2090.76,           2071.67,           2186.92,           2006.10,           1605.15,           1189.35,           1487.29,           1134.76,            736.60,            893.84,            655.10,            514.26,            387.92,            334.70,            351.65,            200.01,            216.91,            164.80,            116.20,            196.84,            103.99,,,,,,
Latvia,World,Capital goods,Export,Export(US$ Mil),           3649.73,           3261.75,           2862.73,           3376.90,           2743.15,           2247.52,           2338.04,           2402.99,           2202.53,           1821.80,           1629.41,           1188.76,           1098.22,           1361.67,           1087.24,            717.93,            790.04,            541.01,            398.10,            280.63,            240.97,            209.63,            119.83,            148.50,            166.98,            185.03,            188.73,            183.73,,,,,,
Latvia,World,Plastic or Rubber,Export,Export(US$ Mil),            693.91,            524.51,            475.00,            464.82,            415.60,            376.77,            354.23,            425.62,            368.14,            361.46,            347.46,            277.82,            204.25,            264.23,            233.12,            180.27,            184.67,            117.32,             75.51,             50.99,             37.82,             31.45,             18.70,             23.57,             16.44,             12.92,             13.49,              8.84,,,,,,
Latvia,Sweden,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,            955.30,           1074.82,            798.94,            688.11,,,,,            760.43,            557.15,            435.59,            613.92,            610.32,,,            567.42,            433.94,            342.23,            272.20,            287.79,            184.02,            186.40,            138.72,             94.62,            121.44,             68.42,,,,,,
Latvia,Poland,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           2214.62,           1761.82,           1673.04,           1643.68,           1441.63,           1454.32,           1529.00,           1905.05,           1654.88,           1384.20,           1249.31,            877.75,            788.32,           1131.51,           1060.75,            822.98,            780.90,,,,,,,,,,,,,,,,,
Latvia,World,Vegetable,Export,Export(US$ Mil),           1421.38,           1369.73,           1070.60,            858.76,            899.55,            832.64,            831.64,            787.89,            777.36,            948.28,            537.05,            527.37,            442.37,            491.04,            229.64,            133.29,            205.42,             75.56,             65.91,             44.94,             32.37,             14.73,             13.09,             17.51,             12.13,              6.78,              8.75,             11.15,,,,,,
Latvia,World,Footwear,Export,Export(US$ Mil),             68.42,             51.82,             51.09,             32.29,             37.12,             33.65,             24.79,             42.99,             37.76,             49.46,             35.20,             20.91,             28.67,             25.30,             20.02,             15.84,             25.37,             12.96,              7.07,              6.58,              6.28,              5.27,              4.96,             11.22,             13.68,              9.25,              8.97,             17.30,,,,,,
Latvia,Estonia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           2046.38,           1477.43,           1504.77,           1596.20,           1315.06,           1182.63,           1209.03,           1541.17,           1369.83,           1245.39,           1149.27,            797.12,            745.59,           1120.96,           1228.40,            885.18,            965.80,            697.14,            477.72,,,,,            211.70,,,,,,,,,,
Latvia,World,Miscellaneous,Export,Export(US$ Mil),           1198.23,            952.67,            900.15,            881.63,            819.42,            710.31,            701.08,            822.02,           1440.62,           1167.69,            998.39,            635.67,            386.00,            490.25,            429.76,            320.81,            431.84,            514.42,            290.19,            224.13,            189.64,            178.71,            113.11,            109.14,             88.47,             82.75,             85.50,             77.64,,,,,,
Latvia,Estonia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           2067.04,           1771.89,           1689.47,           1657.95,           1524.53,           1379.90,           1335.83,           1605.96,           1693.16,           1654.01,           1635.32,           1193.31,           1028.82,           1301.00,           1134.45,            749.80,            786.91,            450.37,            270.15,            194.60,,,,,,,,,,,,,,
Latvia,...,...,Import,No. Of Import products,           4255.00,           4225.00,           4208.00,           4220.00,           4246.00,           4271.00,           4264.00,           4297.00,           4279.00,           4307.00,           4308.00,           4249.00,           4203.00,           4295.00,           4295.00,           4523.00,           4487.00,           4497.00,           4430.00,           4418.00,           4437.00,           4395.00,           4365.00,           4315.00,           4260.00,           4194.00,           4072.00,           3904.00,,,,,,
Latvia,...,...,Export,No. Of Export products,           3716.00,           3685.00,           3721.00,           3741.00,           3755.00,           3722.00,           3626.00,           3624.00,           3622.00,           3580.00,           3604.00,           3551.00,           3528.00,           3458.00,           3413.00,           3489.00,           3439.00,           3477.00,           3326.00,           3318.00,           3241.00,           3176.00,           3044.00,           2958.00,           2927.00,           2788.00,           2834.00,           2776.00,,,,,,
Latvia,...,...,Export,No. Of Export partners,            193.00,            196.00,            200.00,            202.00,            199.00,            198.00,            195.00,            198.00,            195.00,            191.00,            181.00,            177.00,            178.00,            182.00,            177.00,            170.00,            158.00,            154.00,            152.00,            139.00,            137.00,            131.00,            125.00,            121.00,            106.00,            100.00,             90.00,             98.00,,,,,,
Latvia,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           1416.19,           1098.85,           1045.70,           1030.34,            949.70,            818.92,            730.75,            932.22,            987.06,           1005.43,            991.97,            772.13,            623.15,            750.13,            688.49,            594.42,            745.57,            677.02,            611.06,            502.76,            474.80,            456.35,            290.73,            282.65,            230.12,            198.87,            177.54,            104.36,,,,,,
Latvia,World,Intermediate goods,Export,Export(US$ Mil),           5301.77,           3375.47,           3375.25,           3727.91,           3072.17,           2669.32,           2692.55,           3120.68,           2981.92,           3138.17,           3128.24,           2440.21,           1861.76,           2693.42,           2478.12,           1884.98,           2322.03,           2118.15,           1673.04,           1322.34,           1201.35,           1185.44,            788.63,            776.96,            674.58,            545.67,            446.66,            341.89,,,,,,
Latvia,World,Textiles and Clothing,Export,Export(US$ Mil),            512.19,            447.09,            439.83,            408.86,            393.57,            347.65,            421.26,            559.78,            526.57,            455.53,            454.90,            375.62,            354.78,            508.14,            528.48,            481.81,            627.39,            594.92,            519.79,            414.82,            402.19,            372.82,            265.79,            291.73,            260.17,            243.98,            182.79,            130.93,,,,,,
Latvia,World,Food Products,Export,Export(US$ Mil),           1436.29,           1397.93,           1398.55,           1339.59,           1216.25,            925.16,            885.07,           1262.19,           1191.05,           1032.81,            846.75,            648.46,            576.03,            730.58,            612.42,            438.57,            504.14,            339.73,            234.41,            232.14,            164.22,             94.24,             65.06,            121.20,            169.25,            170.12,            145.38,             86.57,,,,,,
Latvia,World,Consumer goods,Import,Import(US$ Mil),           9193.39,           7494.96,           7666.35,           7827.37,           7107.67,           6266.14,           6301.78,           7969.83,           7800.39,           7310.30,           7083.77,           5227.70,           4661.63,           7565.44,           7190.40,           5671.96,           5995.49,           4658.66,           3422.10,           2690.42,           2373.82,           2197.00,           1425.67,           1492.91,           1243.99,           1086.33,            845.23,            612.35,,,,,,
Latvia,Lithuania,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           3975.19,           3103.30,           3133.36,           3238.24,           2974.60,           2415.60,           2409.01,           2956.56,           3417.01,           3194.59,           2897.80,           1899.97,           1589.45,           2597.95,           2107.11,           1482.88,           1676.75,           1220.96,            721.55,            566.16,            422.41,            343.98,            215.96,,            173.25,            146.25,            100.81,,,,,,,
Latvia,World,Transportation,Export,Export(US$ Mil),            902.33,            792.37,            890.93,            985.01,            813.46,            731.13,            603.59,            701.01,            548.34,            636.21,            766.56,            518.76,            505.40,            683.23,            548.69,            355.19,            280.29,            140.28,             85.19,             61.32,             55.49,             37.19,             23.95,             29.44,             34.51,             59.50,             83.12,             98.40,,,,,,
Latvia,Finland,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,            635.80,            550.23,            461.02,            399.84,            392.41,            268.19,            303.90,            263.74,            213.61,            189.51,            106.02,,,,,,
Latvia,World,Raw materials,Import,Import(US$ Mil),           1838.40,           1524.71,           1398.39,           1482.50,           1198.10,           1067.19,           1055.18,           1331.97,           1298.72,           1468.72,           1194.30,            953.57,            756.69,           1153.00,            925.28,            637.07,            734.65,            586.57,            469.29,            391.99,            311.51,            301.50,            166.34,            191.98,            191.30,            175.71,            107.01,             75.89,,,,,,
Latvia,Lithuania,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           3456.41,           2477.75,           2474.57,           2575.26,           2312.71,           2229.95,           2365.95,           2733.90,           2291.89,           2029.45,           2171.84,           1436.92,           1171.63,           1548.09,           1245.34,            864.15,            800.79,            514.27,            336.64,            271.15,            231.10,            201.41,            129.62,            134.36,            125.51,            107.31,             72.27,,,,,,,
Latvia,Poland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,            683.10,            881.22,            894.32,            762.54,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           1490.89,            870.83,,,,,,,,,,,,,,            460.19,            734.91,            716.69,            639.17,            473.22,            445.97,            461.53,            283.30,            244.57,            239.66,            160.24,            118.24,             96.12,,,,,,
