Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Macao,World,Consumer goods,Export,Export(US$ Mil),            865.50,            608.58,            520.90,            707.51,            666.46,            376.16,            493.69,            472.37,            439.81,            366.91,            380.44,            330.82,            522.27,           1233.47,           1606.59,           1726.97,           1640.68,           1777.68,           1602.50,           1388.33,           1221.20,           1322.84,           1814.64,           1808.85,           1954.84,           1746.61,           1634.21,           1520.74,           1438.09,           1454.33,           1387.82,,,
Macao,World,Minerals,Export,Export(US$ Mil),              0.00,,,,              0.02,,              0.01,              0.01,              0.07,,              0.00,              3.03,              0.01,              0.08,              0.02,              0.08,              0.02,              0.04,              0.00,,,,             17.57,             12.43,             18.44,             21.97,             16.82,             14.64,             17.95,             15.36,             12.75,,,
Macao,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,            341.71,,,            157.45,,,,,            107.96,,,,,,,,,,,
Macao,World,Raw materials,Export,Export(US$ Mil),             29.46,             12.94,              9.85,             21.52,             19.47,              8.49,              6.99,             21.63,             14.20,              9.75,              9.99,              2.85,              3.94,              8.57,              2.44,              6.24,              2.63,              2.54,              1.72,              1.45,             11.07,             10.57,             13.88,             13.50,             25.67,             50.01,             51.06,             47.58,             41.49,             28.53,             21.68,,,
Macao,World,Capital goods,Export,Export(US$ Mil),            340.99,            203.63,            245.94,             47.43,             74.41,             91.12,            203.53,            154.18,            137.05,             81.25,             59.96,             45.35,             66.98,            141.55,            198.89,            114.49,            148.15,            120.72,             71.38,             28.72,             24.85,             36.53,             70.49,             74.46,             62.82,             59.67,             99.33,             72.34,             72.84,             67.14,             53.49,,,
Macao,Vietnam,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,             14.20,             10.06,,             14.27,,,,,             24.03,             16.97,             14.99,,             22.26,,,,,,,,,,,,,,,,,,,,,
Macao,World,Plastic or Rubber,Export,Export(US$ Mil),              6.69,             14.31,             44.27,             35.54,             39.76,             52.31,             37.38,             15.59,             16.33,             18.82,             12.61,             16.98,             18.81,             24.50,             19.46,             22.87,             18.95,             13.24,             12.04,             12.49,             10.45,             10.36,              6.98,              6.37,              6.06,              7.26,              9.40,             10.10,             11.10,             11.13,             11.92,,,
Macao,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           1645.87,           1218.33,,            905.56,,,             48.81,,,,,            479.08,            382.60,            457.45,            489.57,            385.68,            427.00,            337.50,            252.65,            175.03,            130.36,            144.91,            135.41,            150.91,            177.42,            178.94,            213.05,            267.17,            315.72,            350.71,            319.72,,,
Macao,World,Vegetable,Export,Export(US$ Mil),              2.82,              0.51,              0.87,              4.09,              2.28,              0.00,              2.10,              2.27,              2.96,              2.93,              1.09,              2.16,              1.22,              1.53,              1.75,              0.74,              0.93,              0.87,              0.82,              0.62,              0.76,              0.67,              1.21,              0.81,              1.12,              1.68,              2.35,              2.80,              3.24,              4.87,              4.20,,,
Macao,World,Footwear,Export,Export(US$ Mil),             45.13,             14.09,             56.42,             31.84,             35.27,             26.16,              9.52,             26.42,             20.37,             15.81,             10.52,              8.15,             12.30,             20.43,             38.61,             52.66,             10.88,            108.80,            107.83,             91.01,             81.23,             98.32,             78.25,             61.25,             51.31,             48.18,             51.11,             37.27,             26.22,             20.11,             26.57,,,
Macao,Cambodia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,              7.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macao,"Other Asia, nes",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,              3.66,,              8.54,,,,,,,,,,,,,,,,,,,,,,,,,,
Macao,World,Miscellaneous,Export,Export(US$ Mil),            297.58,            212.37,            196.69,            268.28,            186.96,            895.54,            760.95,            155.29,            119.20,             85.87,             94.55,             75.76,            104.16,             74.33,             50.80,             25.01,             33.09,             25.55,             53.63,             39.77,             12.83,             27.37,             31.95,             32.55,             34.16,             53.58,            109.12,            113.87,            109.35,            132.85,            148.52,,,
