Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Morocco,World,Consumer goods,Export,Export(US$ Mil),          15722.14,          12535.18,          14536.27,          14669.58,          13178.81,          11611.02,          10569.12,          11670.23,          10367.78,           9057.40,           8609.37,           7177.54,           6675.89,           7360.47,           6894.56,           5876.35,           5223.51,           4809.75,           4371.17,           3885.84,           3653.33,           3605.38,           3472.64,           3431.73,           1510.24,           1583.48,           1616.59,           1442.77,           1382.90,,,,,
Morocco,World,Minerals,Export,Export(US$ Mil),           1628.73,           1196.17,           1262.09,           1452.04,           1443.93,           1191.08,           1543.38,           1455.48,           1585.81,           1980.02,           1920.86,           1384.65,            785.65,           2532.51,           1049.87,            832.67,            678.38,            555.64,            466.25,            489.24,            482.19,            510.78,            591.36,            603.51,            590.53,            509.11,            451.13,            426.37,            352.03,,,,,
Morocco,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,           2723.46,           2452.47,           2212.05,,,,,,,,,,,           1052.67,            739.86,            628.83,            568.90,,            651.82,            697.46,,            501.69,            534.87,            506.65,            395.23,,,,,
Morocco,World,Raw materials,Export,Export(US$ Mil),           6283.70,           5087.38,           5028.21,           4953.76,           4412.25,           3585.10,           3946.30,           3828.13,           3837.26,           4031.75,           4383.23,           3406.99,           2560.06,           4583.40,           2963.39,           2319.15,           2054.37,           1700.59,           1443.38,           1238.57,           1172.41,           1234.96,           1368.71,           1360.19,           1270.26,           1215.58,           1066.91,            923.16,            871.88,,,,,
Morocco,World,Capital goods,Export,Export(US$ Mil),           3327.72,           2802.08,           2694.27,           2387.24,           1985.26,           1770.01,           1722.50,           1907.94,           1694.88,           1656.79,           1533.18,           1541.06,           1261.66,           1389.81,           1380.09,           1329.86,           1043.30,            993.51,            896.32,            723.86,            579.42,            659.15,            687.76,            559.48,             57.04,             69.06,             83.43,            104.81,            150.92,,,,,
Morocco,World,Plastic or Rubber,Export,Export(US$ Mil),            419.46,            364.61,            329.86,            290.29,            236.28,            211.34,            192.43,            188.73,            152.09,            179.32,            187.64,            159.20,            104.79,            120.68,             90.67,             52.34,             61.94,             47.09,             40.57,             37.80,             30.22,             47.23,             49.73,             36.54,             31.99,             37.97,             38.77,             31.66,             19.04,,,,,
Morocco,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,            601.94,            712.09,            582.72,,,,,,,,,,,
Morocco,World,Vegetable,Export,Export(US$ Mil),           4011.11,           3432.01,           3312.31,           3034.01,           2533.77,           2109.22,           2152.97,           2025.71,           1909.76,           1629.49,           1876.96,           1494.74,           1338.37,           1473.59,           1382.47,           1075.46,           1078.53,            856.23,            739.23,            599.08,            525.30,            503.64,            677.64,            639.23,            616.19,            654.53,            539.25,            403.27,            370.42,,,,,
Morocco,World,Footwear,Export,Export(US$ Mil),            313.33,            264.21,            309.58,            338.53,            319.73,            313.68,            308.23,            354.09,            340.63,            312.09,            389.24,            358.22,            364.15,            375.92,            351.82,            284.29,            259.87,            235.01,            227.39,            182.83,            165.46,            151.19,            166.84,            164.09,             86.94,             79.40,             78.28,             72.94,             83.15,,,,,
Morocco,World,Miscellaneous,Export,Export(US$ Mil),            396.73,            358.65,            505.03,            499.66,            290.71,            183.76,            180.43,            177.08,            155.83,            185.53,            130.63,            177.27,            141.46,            142.85,            138.56,            129.84,            110.68,            100.04,            122.09,            105.83,             82.99,             83.84,             98.84,             81.49,             33.28,             30.46,             30.15,             29.05,             22.32,,,,,
Morocco,...,...,Import,No. Of Import products,           4236.00,           4206.00,           4221.00,           4248.00,           4239.00,           4271.00,           4253.00,           4514.00,           4473.00,           4465.00,           4496.00,           4514.00,           4531.00,           4485.00,           4494.00,           4463.00,           4463.00,           4434.00,           4428.00,           4411.00,           4406.00,           4406.00,           4405.00,           4439.00,           4375.00,           4372.00,           4355.00,           4271.00,           4347.00,,,,,
Morocco,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           1807.05,           1189.79,,           1102.25,,            758.47,            876.66,            866.84,,           1160.55,           1504.93,           1075.56,            726.31,           1357.35,            592.41,            506.67,            444.30,,,,,,,,            386.13,            299.04,            309.63,            258.20,,,,,,
