Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Moldova,World,Consumer goods,Export,Export(US$ Mil),           1554.41,           1304.09,           1506.70,           1467.38,           1243.62,           1058.47,           1014.56,           1243.19,           1357.29,           1208.74,           1122.59,            845.78,            788.50,            917.71,            763.22,            618.62,            654.84,            547.67,            447.18,            356.55,            329.93,            253.73,            217.70,            380.71,,            435.64,            379.44,            270.98,,,,,,
Moldova,World,Minerals,Export,Export(US$ Mil),             11.11,             10.09,             13.58,             13.67,             10.45,              7.56,              6.83,             11.84,             14.81,             17.57,             13.02,              9.43,              8.93,             60.38,             52.54,             24.99,             18.46,             14.86,             15.98,             11.25,              6.31,              2.52,              1.88,              2.68,              2.81,              2.48,              1.79,              0.51,,,,,,
Moldova,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            546.65,            452.20,            484.12,            484.10,            390.60,            316.44,            321.30,            426.96,            395.60,,            395.76,            294.73,            252.29,            364.47,            319.44,            214.13,            191.06,            150.21,            135.57,             85.70,             84.14,             87.66,             61.35,             91.92,             78.15,             76.24,             45.53,             35.60,,,,,,
Moldova,World,Raw materials,Export,Export(US$ Mil),           1056.34,            675.84,            817.16,            792.17,            755.36,            614.89,            593.80,            692.24,            660.41,            480.67,            637.82,            454.02,            310.59,            287.71,            260.42,            204.21,            230.89,            215.11,            180.80,            156.98,            129.22,            138.91,            152.01,            148.30,,            168.21,            184.56,            161.71,,,,,,
Moldova,World,Capital goods,Export,Export(US$ Mil),            155.14,            145.67,            149.21,            124.51,            138.82,            114.07,            123.17,            143.29,            176.99,            187.39,            195.87,            107.77,             71.68,            107.92,            103.50,             75.04,             66.42,             66.22,             45.62,             43.43,             43.12,             33.12,             35.21,             48.96,,             47.42,             49.72,             47.33,,,,,,
Moldova,World,Plastic or Rubber,Export,Export(US$ Mil),             46.85,             39.71,             48.58,             41.45,             33.42,             35.66,             40.28,             45.62,             62.66,             60.50,             62.67,             26.19,             26.85,             38.19,             33.08,             16.00,             11.83,              8.30,              5.33,              2.55,              3.10,              1.98,              1.65,              2.92,              5.15,              5.54,              4.36,              3.62,,,,,,
Moldova,Romania,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            833.48,            706.67,            765.41,            792.31,            600.62,            513.03,            446.37,            434.04,            411.09,            356.72,            376.40,            246.41,            239.63,            335.83,            211.18,            155.56,            111.67,             98.92,             90.25,             56.72,             37.94,             37.60,             41.30,             60.78,             55.71,             72.21,            103.63,             83.39,,,,,,
Moldova,World,Vegetable,Export,Export(US$ Mil),            991.12,            675.07,            791.11,            753.87,            716.28,            583.91,            573.83,            627.38,            551.13,            450.33,            548.61,            388.46,            314.78,            273.22,            218.35,            171.35,            169.78,            156.40,            120.17,            122.89,             87.69,             69.82,             70.49,             75.41,             82.93,             71.07,             87.47,            110.56,,,,,,
Moldova,World,Footwear,Export,Export(US$ Mil),             38.17,             33.72,             34.96,             36.45,             34.00,             29.35,             24.01,             34.04,             36.08,             40.03,             49.94,             30.64,             26.38,             48.00,             40.28,             30.96,             26.59,             21.95,             15.14,              9.55,              5.74,              3.90,              3.33,              2.59,              5.62,              3.82,              3.33,              2.97,,,,,,
Moldova,Bulgaria,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,,             47.99,,,,,,,,,
Moldova,World,Miscellaneous,Export,Export(US$ Mil),            215.98,            191.88,            206.63,            210.34,            184.78,            161.66,            133.97,            153.13,            160.13,            141.40,            120.88,             64.62,             49.75,             95.34,             68.21,             40.19,             25.47,             50.79,             13.17,             11.04,             10.23,              8.50,              6.60,             10.71,             10.09,             18.91,             16.08,             17.14,,,,,,
