Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Madagascar,World,Consumer goods,Export,Export(US$ Mil),           1442.01,           1168.14,           1412.42,           1775.15,           1701.11,           1238.21,           1004.75,            943.18,            739.44,            685.35,            697.75,            562.21,            717.38,           1186.40,            878.08,            539.19,            439.70,            625.26,            571.12,            376.82,            676.25,            543.32,             57.41,             31.59,             39.99,             37.40,             84.29,             95.61,             74.70,             94.93,             98.36,            105.58,,
Madagascar,World,Minerals,Export,Export(US$ Mil),            232.03,            171.00,            172.83,            130.14,            142.46,             82.29,             86.94,            111.70,            118.87,            147.27,            117.20,             77.05,             25.86,             41.82,             29.78,             22.50,             20.10,             18.30,             10.95,              8.05,              9.67,             14.29,              8.72,             16.59,             18.25,             46.28,             24.08,             11.68,             16.21,             17.00,             20.51,             22.38,,
Madagascar,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,             36.26,,             29.88,             55.46,             24.87,             32.08,             24.06,             36.49,             37.03,,
Madagascar,World,Raw materials,Export,Export(US$ Mil),            550.70,            421.73,            496.28,            563.53,            545.48,            363.53,            348.30,            384.21,            315.91,            290.69,            259.00,            213.04,            180.48,            244.74,            260.57,            242.12,            193.70,            203.99,            195.93,            198.48,            168.03,            168.40,             62.45,            101.79,            149.39,            200.60,            215.32,            186.67,            137.56,            123.32,            133.02,            128.08,,
Madagascar,World,Capital goods,Export,Export(US$ Mil),             23.51,             20.52,             23.66,             42.56,             33.66,             34.51,             34.44,             35.17,             67.63,             24.07,            133.14,            134.83,             67.28,            106.36,             44.42,             28.96,             39.36,             31.71,            104.75,             14.29,             15.18,             15.08,              5.54,             17.39,              1.87,              2.62,              3.26,              1.08,              9.75,              4.19,              6.68,              4.97,,
Madagascar,World,Plastic or Rubber,Export,Export(US$ Mil),              4.75,              3.74,              5.06,             16.55,              4.17,              4.61,              4.44,              6.23,              4.87,              4.53,              5.28,              4.66,              4.80,              7.21,              6.83,              4.66,              2.92,              2.97,              1.76,              1.78,              2.25,             19.63,              1.60,              0.29,              0.21,              0.15,              0.28,              0.11,              0.06,              0.26,              0.27,              0.21,,
Madagascar,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,,             34.81,             29.16,             32.73,             42.56,             41.04,             22.99,             28.62,             35.73,,
Madagascar,South Africa,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,            157.03,            209.23,            268.78,            192.96,,,,,,            182.71,            196.99,,            235.36,            134.66,            100.71,,            102.44,             93.08,             37.30,,,,             33.77,             55.27,             74.97,             34.52,             44.90,,             21.80,,,,
Madagascar,World,Vegetable,Export,Export(US$ Mil),            873.68,            697.08,            787.26,           1146.64,           1063.55,            684.09,            480.54,            342.69,            207.77,            241.64,            228.51,            107.24,            138.92,            139.29,            161.52,            131.26,            110.75,            208.67,            297.92,            229.02,            269.11,            137.81,             72.52,             79.19,             84.74,            113.91,            170.89,            177.74,            113.03,            121.32,            126.73,            142.03,,
Madagascar,Thailand,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,            578.25,,,,,,,,,,,,,,,,,,,,,
Madagascar,World,Footwear,Export,Export(US$ Mil),              3.75,              2.10,              2.33,              2.56,              3.17,              2.62,              2.57,              2.65,              2.31,              1.94,              1.65,              1.57,              1.15,              1.57,              1.67,              1.61,              1.35,              2.04,              0.37,              0.45,              0.62,              0.91,              0.14,              0.27,              0.23,              0.34,              0.51,              0.33,              1.19,              1.15,              3.18,              0.35,,
Madagascar,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            259.68,            240.51,            411.19,            460.28,            272.08,            166.56,            189.43,            566.88,            554.68,            375.71,            459.51,,,,,,,,,             79.33,             60.99,,,,,,,,,,,,,
Madagascar,World,Miscellaneous,Export,Export(US$ Mil),             25.95,             19.94,             27.00,             29.95,             27.43,             26.00,             46.20,             40.57,             22.78,             18.61,             30.31,             90.03,             20.97,             26.51,             25.61,             26.46,             23.44,             18.26,             12.71,             29.34,             14.64,             27.63,              9.84,              9.65,              5.73,              6.94,              7.90,              4.79,              6.34,              8.20,              5.89,              6.43,,
Madagascar,Cote d'Ivoire,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,             49.20,,,,,,,,,,,,,,,,,,,,,,
Madagascar,Mauritius,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,            133.11,,            146.84,,,,            124.78,,,,,,,,,,,,,,,,,
Madagascar,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            369.29,            116.79,            170.30,            154.16,            181.92,            144.33,            142.97,,            114.94,            101.75,             85.60,             56.69,             52.76,             52.44,,,             33.99,,,,,,,,,,,,,,,,,
Madagascar,...,...,Import,No. Of Import products,           3688.00,           3681.00,           3752.00,           3775.00,           3750.00,           3754.00,           3671.00,           3681.00,           3563.00,           3596.00,           3660.00,           3690.00,           3692.00,           3813.00,           3734.00,           3790.00,           3671.00,           3739.00,           3719.00,           3281.00,           3633.00,           3631.00,           3343.00,           3359.00,           3391.00,           3381.00,           3366.00,           3265.00,           3325.00,           3215.00,           3113.00,           3348.00,,
Madagascar,Belgium-Luxembourg,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,,             13.08,,,,,,,,
Madagascar,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,             64.50,,             46.11,,,,,,,,,,,,,,,,,,,,,,
Madagascar,...,...,Export,No. Of Export products,           1728.00,           1614.00,           1728.00,           1764.00,           1792.00,           1997.00,           1865.00,           1838.00,           1904.00,           1936.00,           1980.00,           1927.00,           1858.00,           1960.00,           1849.00,           1946.00,           2028.00,           1959.00,           1859.00,           1819.00,           1810.00,           1689.00,           1297.00,           1209.00,           1193.00,           1276.00,           1270.00,           1041.00,           1079.00,           1199.00,           1322.00,           1342.00,,
Madagascar,Oman,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            450.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madagascar,...,...,Export,No. Of Export partners,            141.00,            139.00,            140.00,            142.00,            151.00,            138.00,            131.00,            139.00,            134.00,            125.00,            131.00,            135.00,            133.00,            140.00,            123.00,            138.00,            126.00,            121.00,            117.00,            108.00,            121.00,            121.00,             94.00,            105.00,            106.00,            103.00,            104.00,             90.00,            101.00,             93.00,             83.00,             82.00,,
Madagascar,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,            160.87,            144.17,            215.00,            204.15,            189.81,            126.02,,             91.14,             76.11,             73.06,             78.93,             70.20,            108.51,             67.75,             60.40,             53.77,             57.46,             47.72,             31.46,             32.76,             41.68,             14.91,             10.60,             13.46,             19.06,             29.91,             37.14,             32.90,             26.68,             30.47,             24.92,,
Madagascar,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            451.28,            376.84,            513.61,            507.80,            234.79,            205.53,            183.07,            193.68,            160.17,            144.98,            343.20,            366.16,            329.41,            344.65,            265.04,            232.84,            249.36,            218.02,            195.30,             89.42,            130.88,            129.10,            104.62,            121.47,            131.65,            157.99,            162.85,            131.50,            126.95,            117.79,            136.47,            173.93,,
Madagascar,World,Intermediate goods,Export,Export(US$ Mil),            768.60,            405.30,            754.06,            738.41,            643.14,            604.65,            755.45,            832.02,            499.91,            193.38,            162.78,            114.18,            102.13,            106.61,            127.33,             98.30,             96.28,             60.80,             48.13,             53.04,             57.38,            132.85,             98.20,             66.59,             74.36,             44.35,             50.96,             40.02,             35.48,             39.97,             53.63,             51.46,,
Madagascar,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            364.78,            257.91,            297.72,            236.39,            273.85,            193.45,,            208.11,            149.54,,,,,,,,             99.69,,             51.93,,,,,,,,,,,,,,,
Madagascar,World,Textiles and Clothing,Export,Export(US$ Mil),            541.41,            439.79,            544.86,            546.39,            586.00,            526.53,            479.25,            534.80,            427.28,            335.40,            339.94,            337.30,            497.22,            942.38,            536.20,            378.74,            343.80,            436.74,            260.85,            133.10,            299.76,            395.96,             74.50,             49.37,             55.95,             28.88,             29.00,             20.06,             26.04,             26.62,             38.00,             25.20,,
Madagascar,World,Food Products,Export,Export(US$ Mil),            108.69,            121.09,            126.41,            119.77,            134.07,             97.60,            106.72,            122.88,            124.21,             89.15,             86.05,             84.57,             87.58,             78.27,             81.10,             69.02,             30.25,             65.99,             60.24,             39.68,             50.26,             35.26,              5.78,              3.17,              3.83,             10.82,             14.97,             18.86,             12.63,             14.17,             18.10,             30.61,,
Madagascar,World,Consumer goods,Import,Import(US$ Mil),           1976.34,           1469.63,           1829.16,           1878.36,           1664.91,           1299.18,           1245.33,           1536.11,           1305.59,           1226.44,           1316.68,           1059.25,           1049.39,           1334.18,           1011.36,            789.74,            673.29,            617.16,            481.93,            282.04,            367.75,            325.73,            148.22,            160.31,            164.65,            149.83,            153.26,            158.32,            125.69,            129.01,            116.00,            219.09,,
Madagascar,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,             80.52,             65.64,             76.83,             72.09,             37.54,             38.59,,,,             38.81,,,,,,,,,,,,
Madagascar,World,Transportation,Export,Export(US$ Mil),              3.39,              5.73,              6.72,              6.97,              5.71,              6.09,              8.49,             10.00,             43.38,              5.93,             71.72,             35.22,              9.24,             77.80,              6.39,              8.56,              8.80,              5.46,             90.46,              2.62,              2.60,              1.49,              0.44,              0.59,              0.63,              0.27,              1.27,              0.88,              4.76,              0.42,              0.50,              0.91,,
Madagascar,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            853.50,            680.83,            739.78,            694.89,            758.83,            632.20,            539.43,            506.70,            400.49,            356.14,            316.48,            310.76,            357.65,            824.16,            468.09,            312.54,            235.13,            299.33,            193.51,             33.28,             81.87,            117.51,             33.76,,,,,,,,,,,
Madagascar,World,Raw materials,Import,Import(US$ Mil),            308.68,            102.23,            204.13,            192.99,            200.62,            168.62,            214.45,            218.10,            192.44,            137.53,            103.25,             59.35,             54.62,            108.08,            113.28,             57.39,             39.86,             67.12,            131.70,             90.98,             98.66,            136.14,             83.25,             75.85,             93.29,            119.65,             93.50,             48.04,             86.99,             70.55,             44.15,             46.09,,
Madagascar,Reunion,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,             21.38,             20.77,             16.14,             13.30,,,,
Madagascar,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            242.97,,            165.60,            212.90,,            115.17,,            143.09,,,,,,,,,,,,             24.67,,,,,             24.99,             47.39,             22.30,             26.39,             17.89,             23.12,             25.94,             20.10,,
Madagascar,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,             29.80,,,,,,,,,,,,,
Madagascar,Unspecified,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,            199.00,            206.03,            209.62,            179.05,,,,            276.67,            135.71,             73.47,,,,,             59.68,             92.65,,,,,,,,,,,,
Madagascar,World,Hides and Skins,Export,Export(US$ Mil),              9.30,              9.91,             10.51,              8.32,              8.07,              9.22,             11.63,             13.78,             19.39,             22.67,             24.56,             20.30,             11.39,             11.71,              8.02,              5.53,              4.52,              5.84,              4.61,              3.71,              6.25,              3.59,              1.40,              1.78,              2.74,              2.16,              3.35,              3.57,              2.35,              1.74,              2.32,              1.99,,
Madagascar,...,...,Development,Trade Balance (current US$ Mil),,           -972.48,           -944.01,           -711.63,           -466.20,           -313.94,           -502.64,           -676.94,          -1220.40,          -1052.57,          -1275.76,          -1410.17,          -2083.02,          -2031.66,           -947.11,           -455.95,           -614.71,           -499.42,           -423.28,           -350.57,            -48.65,           -210.07,           -181.01,           -198.42,           -195.58,            -90.39,           -130.52,           -123.96,           -213.18,           -154.74,           -124.07,           -261.06,            -33.37,           -106.14
Madagascar,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            536.41,            449.66,            538.34,            629.21,            653.64,            538.73,            436.96,            507.32,            413.60,            343.20,            441.00,            358.65,            353.26,            730.89,            553.69,            398.73,            286.61,            322.51,            416.54,            272.25,            356.44,            383.40,             88.08,            101.60,            125.60,            112.21,            102.13,            111.77,             87.17,             71.55,             78.33,             84.54,,
Madagascar,...,...,Tariff,No. Of Tariff Agreement,              7.00,              7.00,              7.00,              7.00,              8.00,              5.00,              2.00,              9.00,              3.00,              9.00,              9.00,              9.00,              3.00,              9.00,              9.00,              4.00,              6.00,              1.00,              1.00,              1.00,              1.00,              1.00,,              1.00,              1.00,              1.00,              1.00,,,,,,,
Madagascar,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,             51.06,             41.99,,,,,,,,,,             13.25,,,,,,,,
Madagascar,World,Wood,Export,Export(US$ Mil),             39.55,             30.66,             33.26,             27.30,             24.02,             25.63,             29.88,             26.19,             32.06,             18.85,             38.41,             35.13,             49.96,             32.81,            123.78,             63.69,             64.35,             23.03,             15.69,             15.59,             18.70,             27.63,             14.89,             11.46,              8.05,              8.46,             11.22,             12.43,              3.58,              3.84,              3.55,              2.07,,
Madagascar,World,Mach and Elec,Export,Export(US$ Mil),             15.54,             12.52,             17.02,             32.42,             25.17,             27.57,             24.54,             22.75,             22.13,             14.94,             50.32,             85.32,             53.40,             22.96,             31.81,             16.60,             23.39,             24.53,             13.71,             10.80,             11.03,             11.34,              1.54,             17.08,              1.30,              1.96,              2.00,              0.24,              4.47,              3.79,              6.14,              4.69,,
Madagascar,Saudi Arabia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,            149.10,,,,,,,,,,,,,,,,,,,,,,,,             41.90,,,,
Madagascar,...,...,Development,GDP (current US$ Mil),,          13720.63,          14191.91,          13614.41,          13176.31,          11848.62,          11323.02,          12522.96,          12423.56,          11578.98,          11551.82,           9982.71,           9616.88,          10725.14,           8524.62,           6395.71,           5859.27,           5064.73,           6372.50,           5351.70,           5438.33,           4629.25,           4277.90,           4401.97,           4262.97,           4931.86,           3838.10,           3522.23,           4063.30,           3714.97,           3254.71,           3931.33,           3175.64,           3189.46
Madagascar,Free Zones,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,             35.67,             42.63,,,,,,,,,,
Madagascar,World,Metals,Export,Export(US$ Mil),            638.70,            183.21,            560.57,            658.00,            544.10,            488.43,            654.79,            694.19,            372.11,             89.15,             30.66,             19.40,             11.41,             13.78,             14.64,             16.43,             14.79,              8.36,              2.46,              1.62,              2.43,              1.37,              1.30,              0.81,              0.77,              0.38,              0.52,              0.10,              2.02,              1.12,              0.50,              0.64,,
