Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
,World,Consumer goods,Export,Export(US$ Mil),         397396.19,         187905.49,         290015.50,         237758.80,         275187.96,         248763.91,         220962.39,         363410.81,         350021.37,         306005.67,         274057.65,         224702.38,         149148.52,         258172.39,         196672.69,         140510.24,         121761.89,          91280.22,          72139.69,          60259.86,          57560.44,          52330.48,          30733.94,          21120.30,          19096.98,          15822.60,          14957.51,           9613.16,          10207.93,           9281.23,           4852.82,            331.81,            164.73,
,World,Minerals,Export,Export(US$ Mil),          10496.88,           6223.63,           7160.33,           9213.12,           9238.04,           7258.57,           7721.20,           8690.06,          10189.25,           8052.12,          10136.87,           7357.00,           3879.97,           7262.19,           3546.82,           3964.21,           2707.98,           2517.86,           2186.78,           2349.19,           1610.96,           1518.80,           1417.59,           1280.36,           1172.58,            908.39,           1041.58,            811.93,            589.91,            345.14,            203.70,              0.29,              0.30,
,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          35407.21,          33370.21,          37928.77,          41978.86,          52336.80,          50454.51,          51409.08,          53241.32,          48899.72,          44050.85,          41668.81,          43413.09,          33898.89,          41051.29,          33015.17,          25597.74,          25877.58,          23855.48,          19590.79,          18131.58,          16005.27,          13935.48,          12812.57,          11322.68,           9230.28,           8546.78,           9150.23,           5544.26,,           4700.07,           3447.68,            130.05,            124.02,
,World,Raw materials,Export,Export(US$ Mil),         373328.74,         185994.23,         266589.44,         278414.47,         214429.99,         332592.29,         340629.12,         637979.85,         748654.58,         626948.01,         647762.85,         459069.89,         271560.15,         550797.28,         399851.87,         336052.91,         302438.16,         209308.73,         162018.85,         129965.94,         123979.33,         127051.56,          70608.20,          51235.82,          33035.22,          58261.72,          50917.43,          43660.92,          42780.65,          50623.17,          42435.21,           4992.29,           3579.83,
,World,Capital goods,Export,Export(US$ Mil),         103156.01,          87070.17,          85319.44,          88043.87,          77213.94,          50872.25,          56866.19,          56983.15,          53535.91,          73990.26,          30880.58,          29272.02,          28518.66,          38454.30,          29418.81,          19363.72,          24143.85,          15006.74,          12106.38,          10577.08,          11078.29,          12392.97,          12185.63,          11078.13,           9022.66,           8283.73,           7366.89,           2026.80,           1019.80,           1050.83,            684.81,             65.77,             68.98,
,World,Plastic or Rubber,Export,Export(US$ Mil),          49402.49,          35376.73,          37503.26,          44968.05,          40834.91,          35527.45,          35133.65,          36958.64,          38119.98,          32539.14,          31136.11,          25781.30,          17496.24,          17668.91,          15553.85,          13454.89,          10440.55,           8279.69,           5926.12,           5030.03,           4926.03,           4143.39,           2991.81,           2662.71,           1501.76,           2478.90,           2727.21,           1113.46,            903.62,           1533.04,            975.92,              6.80,              5.15,
,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,           9639.36,           7939.21,           5495.24,           6947.56,           6788.37,,           4389.19,           4528.57,           4022.30,            308.35,            263.28,
,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,          39604.12,          29602.26,,,,,,          11789.47,          11090.93,,,,,,           4640.08,           5721.45,           6777.61,           5363.36,            455.35,            354.43,
,World,Vegetable,Export,Export(US$ Mil),          17567.14,          15102.86,          14236.26,          17449.59,          16015.86,          15134.73,          16223.46,          15974.18,          14980.58,          10977.40,          14993.19,          15099.63,          10755.67,          10393.93,           8457.23,           8924.63,           7372.10,           6543.38,           6372.19,           5659.82,           4584.63,           3393.68,           3850.33,           3240.45,           2849.19,           2313.71,           2681.67,           1497.53,           1375.63,            798.80,            610.51,             19.52,             16.77,
,World,Footwear,Export,Export(US$ Mil),           2176.38,           1684.10,           2048.52,           2102.42,           1882.97,           1426.80,           1487.93,           1427.58,           1381.73,           1502.83,           1566.55,           1561.32,           1374.03,           1580.94,           1590.50,           1357.52,           1145.17,           1190.44,           1178.57,           1041.32,            776.54,            634.55,            663.18,            580.25,            493.18,            393.38,            364.32,            281.70,            266.38,            158.20,            104.43,              1.56,              0.60,
,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,          39930.28,,,,          44789.00,,,,,,,,,,,,,,,,,,,,,,,,            621.72,            546.48,
,"Other Asia, nes",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,          45979.17,          49117.89,         124438.67,         127184.27,         234322.41,         263024.55,         311993.22,         361235.40,         249577.18,         157778.49,         215081.51,         138869.77,         141466.26,         109526.01,          80637.35,          56886.45,          43468.21,          37005.13,          42965.59,          25394.41,,,,,,          15528.91,          17711.87,          15025.28,,            339.16,
,World,Miscellaneous,Export,Export(US$ Mil),          20897.86,          16633.99,          16848.76,         114350.16,         118790.14,         156425.25,         147000.19,         167113.07,         153531.71,          94956.13,          98214.52,          74832.69,          79321.50,          63443.98,          56375.59,          44729.15,          39662.90,          40228.04,          33248.69,          23912.76,           8899.59,           7717.14,           3194.46,           2119.83,           1768.95,           1424.51,           1661.84,            341.83,            306.53,            191.10,            185.10,             27.68,             29.31,
,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          41893.46,          30978.69,          41742.98,          47093.05,          35978.32,          28961.54,          27726.36,          38300.13,          36082.72,,          40259.27,,,,,,,,,,,,,,,,,,,,,,,
,...,...,Import,No. Of Import products,           4590.00,           4595.00,           4602.00,           4610.00,           4612.00,           4588.00,           4573.00,           4827.00,           4819.00,           4830.00,           4828.00,           4838.00,           4842.00,           4864.00,           4954.00,           4940.00,           4962.00,           4952.00,           4936.00,           4962.00,           4981.00,           4990.00,           5007.00,           5012.00,           4991.00,           4999.00,           5010.00,           4987.00,           4967.00,           4949.00,           4743.00,           1581.00,           1635.00,
,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          55109.56,          28773.39,          34426.12,          36469.72,          35245.56,          31315.78,          32243.95,          43216.96,          44705.64,          50981.78,          56734.48,          44126.37,          26449.70,,,,,,,,,,,,,,,,,,,,,
,...,...,Export,No. Of Export products,           4544.00,           4522.00,           4523.00,           4564.00,           4554.00,           4509.00,           4499.00,           4611.00,           4617.00,           4617.00,           4533.00,           4580.00,           4571.00,           4661.00,           4810.00,           4677.00,           4774.00,           4586.00,           4622.00,           4540.00,           4471.00,           4509.00,           4606.00,           4619.00,           4369.00,           4465.00,           4481.00,           4317.00,           4100.00,           3895.00,           3944.00,            535.00,            554.00,
,...,...,Export,No. Of Export partners,            230.00,            226.00,            228.00,            227.00,            227.00,            223.00,            225.00,            225.00,            226.00,            227.00,            225.00,            223.00,            224.00,            219.00,            225.00,            213.00,            215.00,            214.00,            215.00,            208.00,            204.00,            209.00,            195.00,            198.00,            199.00,            197.00,            193.00,            185.00,            181.00,            156.00,            135.00,             70.00,             71.00,
,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,           3431.08,,,,,,,,,,
,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,          29060.78,,,          24528.61,          22569.22,          24073.98,          19191.54,          15779.68,          15534.72,          14498.53,          14113.01,          13006.84,           9520.58,           9318.87,          10339.94,           7824.87,           6988.54,           5930.57,           2827.81,,,
,World,Intermediate goods,Export,Export(US$ Mil),         196300.89,         150087.30,         153563.82,         173445.48,         155889.03,         144813.17,         148607.10,         164435.49,         167102.23,         155423.69,         120013.65,          94165.56,          66311.00,         111826.51,          78541.43,          58063.54,          57845.66,          42210.11,          33890.35,          29957.25,          27569.15,          26137.14,          20712.45,          19592.07,          15786.50,          17778.18,          18383.85,           7705.12,           5219.48,           6669.91,           4309.31,            100.71,            101.41,
,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          42809.34,          33590.25,          46598.86,          43725.25,,          37636.57,          38677.01,,          44352.21,          41590.54,          44431.78,          37918.35,,,,,,,,,,,,,,,,,,,,,,
,World,Textiles and Clothing,Export,Export(US$ Mil),          19914.43,          15725.69,          18102.70,          19402.80,          18660.49,          16659.59,          17188.01,          17811.79,          17192.53,          16488.70,          18177.70,          18173.47,          16256.59,          17835.17,          16297.04,          16015.94,          14077.34,          15873.05,          14877.04,          13782.18,          11984.30,          10801.62,          10183.81,           8741.58,           6587.52,           5839.43,           6043.40,           4306.24,           3081.78,           1704.75,           1434.00,             29.30,             11.98,
,World,Food Products,Export,Export(US$ Mil),          19400.74,          17071.90,          17190.89,          18520.52,          18015.33,          13030.06,          12901.24,          13011.83,          12811.76,          12023.22,          10830.87,          10803.29,           8231.86,           8139.89,           5590.72,           5325.35,           4574.65,           3998.03,           3397.42,           2926.90,           2652.20,           2098.95,           1949.64,           1551.55,           1546.27,           1376.04,           1337.05,            752.45,            682.59,            273.09,            249.34,             10.47,             22.69,
,World,Consumer goods,Import,Import(US$ Mil),         305569.85,         244956.26,         305296.85,         294868.46,         345148.78,         265682.99,         279231.55,         303801.27,         280259.42,         266490.00,         177192.82,         172949.64,         121130.67,         204486.43,         153085.55,          94821.97,         102135.64,          73059.34,          59214.35,          50373.51,          48965.99,          42360.54,          34141.72,          34837.40,          23656.81,          26454.33,          26872.61,          16968.48,          17567.98,          18024.67,          14708.45,           1149.41,            898.82,
,"Korea, Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,           1132.41,
,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,         479402.85,         361939.13,         497396.24,         558754.29,         428937.08,         358184.71,         380177.77,         576992.94,         639878.25,         372996.10,         435268.50,         286443.11,         191940.11,         294592.40,         221389.27,         218305.09,         151220.30,         147864.11,         120051.39,          87890.91,          80658.49,         101811.55,          31695.53,          45500.32,           7724.22,           6784.02,,,           6479.69,           7622.02,          11799.00,           5046.05,            297.23,
,World,Transportation,Export,Export(US$ Mil),          37307.11,          32111.60,          29589.51,          37184.43,          34410.98,          25471.54,          30484.18,          31467.12,          23644.47,          21681.56,          16804.08,          17274.59,          17056.47,          14981.20,          13349.37,          11516.68,           8602.84,           6787.06,           4995.26,           4179.89,           3697.05,           2904.26,           2634.42,           1861.64,           1584.71,           1463.42,           1477.66,            970.69,           1335.02,            772.81,            526.67,            156.20,            143.35,
,Saudi Arabia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          34984.93,          28845.91,          31309.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,             33.58,,
,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,         131019.39,         106422.62,         118185.08,         119751.99,         140919.16,         100532.72,         106322.96,         113104.38,          86933.37,          83923.10,          69861.40,          64723.47,          47981.32,          59974.13,          40753.07,          30408.46,          22963.47,          19178.17,,,,,,,,,,,,,,,,
,United Arab Emirates,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,            213.57,            212.69,
,World,Raw materials,Import,Import(US$ Mil),          94141.49,          94848.13,         112096.64,          96202.10,         129752.59,          80273.31,          87681.73,         111424.16,         103483.78,          93133.29,          84859.32,          70476.08,          50703.62,          86579.50,          59985.22,          43377.43,          44772.37,          34524.78,          27624.82,          25948.98,          24149.89,          23273.63,          20008.57,          17760.93,          17859.99,          17237.10,          17404.95,           8724.19,           6101.95,           4560.36,           2929.85,            245.91,            233.71,
,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,          40904.35,          46348.20,          41044.08,,,,          65636.41,          62538.54,          69612.39,          60137.44,          34917.73,          27985.62,          21749.62,          14612.83,          11317.67,          16266.07,,           6050.11,           8679.59,           9574.42,           7545.45,,,,,           1361.26,
,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,             27.52,,
,Unspecified,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          96147.03,          39545.57,          41993.95,,,          93662.59,         111566.56,         134781.43,         125254.80,          39544.00,          75142.04,          77105.25,          61078.81,          48066.44,          43857.85,          67545.20,          29843.40,          31662.38,          26382.41,          16242.13,,,,,,,,,,,,,,
,World,Hides and Skins,Export,Export(US$ Mil),            858.08,            693.64,            974.49,           1050.98,           1003.22,            786.84,            894.83,           1109.05,           1097.18,            947.58,           1051.57,            953.59,            638.63,            706.44,            680.62,            694.50,            577.01,            601.83,            564.00,            527.22,            454.71,            394.97,            263.69,            247.76,            287.07,            242.06,            252.23,            182.28,            124.32,             64.06,             45.58,              0.42,              0.15,
