Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Mexico,World,Consumer goods,Export,Export(US$ Mil),         128186.66,         119529.22,         132961.88,         130418.31,         119443.84,         104995.65,         111241.91,         109383.50,         114026.18,         106286.97,         102873.01,          94593.39,          77875.80,          98088.06,          89754.73,          84588.44,          71139.01,          62588.28,          58239.37,          61202.28,          61238.54,          63807.88,          53599.72,          48319.00,          42392.85,          36024.88,          28804.78,          22839.42,          19543.86,          16069.97,           7015.67,           5352.07,,
Mexico,World,Minerals,Export,Export(US$ Mil),           9365.47,           7515.82,           6242.90,           6306.98,           5452.56,           4410.84,           4542.06,           5149.99,           4843.31,           4989.62,           4098.33,           2463.55,           1519.47,           2046.42,           1821.58,           1402.90,           1275.94,            960.95,            539.15,            430.89,            483.56,            617.66,            558.89,            573.05,            626.26,            602.66,            608.35,            374.11,            343.69,            443.10,            589.58,            657.78,,
Mexico,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          17214.36,          13871.16,          17679.85,          17762.16,          16422.08,          13878.94,          13975.56,          13762.48,          13460.99,          13507.76,          12862.64,          11076.77,           9727.22,          12605.73,          10687.75,           9437.04,           8670.43,           7143.23,           6217.82,           6065.06,           6079.20,           5757.13,           5030.81,           4541.92,           3996.85,           3173.59,           2686.27,           3099.71,           2652.38,           2318.48,           2328.00,           1645.57,,
Mexico,World,Raw materials,Export,Export(US$ Mil),          51795.19,          42611.72,          47608.69,          49551.12,          42488.51,          36065.64,          36663.24,          53867.48,          62571.43,          65896.37,          67348.24,          49653.05,          36942.57,          56135.02,          49719.67,          45177.71,          37241.38,          29282.16,          23566.43,          18783.47,          17486.31,          21267.57,          14764.26,          12306.10,          15957.99,          15820.69,          13230.16,          10404.88,           9995.25,          10579.37,          10714.20,          12044.58,,
Mexico,World,Capital goods,Export,Export(US$ Mil),         216890.03,         195612.52,         216637.94,         206306.42,         188570.51,         176882.57,         177144.53,         172286.17,         159786.39,         151740.06,         135580.24,         120458.53,          89873.75,         105869.28,          96390.97,          96231.47,          85288.44,          79177.27,          69546.41,          67636.11,          67179.20,          67777.39,          55640.60,          44720.88,          38884.17,          31868.92,          25765.84,          20042.28,          15841.17,          13628.00,           4348.29,           3847.33,,
Mexico,World,Plastic or Rubber,Export,Export(US$ Mil),          15391.04,          12170.01,          12792.81,          12766.17,          11863.63,          10926.23,          10933.08,          11228.92,          10558.17,           9992.52,           8832.87,           7418.47,           5808.44,           6856.09,           6717.73,           6173.63,           5688.35,           4906.85,           3964.22,           3536.88,           3590.71,           3912.48,           3226.01,           2845.74,           2720.85,           2288.64,           2158.93,           1681.96,           1496.64,           1322.57,            546.19,            515.60,,
Mexico,Chile,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,            731.22,            968.54,,,,,,,,,
Mexico,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,            590.33,,
Mexico,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          17078.97,          13892.98,          17956.08,          18188.55,          18185.99,          17751.97,          17368.93,          17544.72,          17076.12,          17655.21,          16493.50,          15014.69,          11397.11,          16282.45,          16342.98,          15295.16,          13077.78,          10582.96,           7594.57,           9347.72,           8085.24,           6463.40,           5081.02,           4534.73,           4466.47,           3836.69,           3950.98,           4778.30,           3056.52,           2819.03,           2061.40,           1283.06,,
Mexico,World,Vegetable,Export,Export(US$ Mil),          19136.35,          17760.72,          16923.14,          15690.94,          15271.31,          14256.51,          12261.21,          11436.43,          10629.79,           9563.84,           9418.20,           7879.97,           7161.83,           7482.33,           6674.40,           5943.18,           5286.97,           4850.15,           4268.59,           3587.27,           3719.90,           3970.27,           3851.78,           3914.16,           3654.82,           3384.47,           3492.81,           2464.74,           2147.33,           1889.68,           1927.27,           1766.44,,
Mexico,World,Footwear,Export,Export(US$ Mil),            895.06,            619.85,            739.08,            754.89,            694.97,            667.34,            752.12,            768.78,            783.51,            683.07,            555.70,            459.18,            367.99,            386.40,            394.60,            380.43,            365.64,            361.65,            381.55,            396.98,            429.01,            470.60,            485.59,            501.99,            537.99,            403.84,            297.87,            253.38,            304.33,            292.57,            114.35,             89.08,,
Mexico,"Other Asia, nes",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           7489.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,Canada,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,           5327.11,           4120.08,           4479.57,           4234.47,           4015.39,           2947.76,           2255.59,           2019.93,           1743.48,           1373.92,           1620.14,,,            780.32,,,
Mexico,World,Miscellaneous,Export,Export(US$ Mil),          52283.36,          39937.59,          42496.21,          40534.71,          37910.54,          35937.02,          34594.51,          33065.43,          26683.76,          25659.88,          21326.36,          19220.05,          16355.97,          18940.41,          26582.43,          17012.91,          15500.77,          13049.52,          11862.22,          12124.07,          10705.72,           9939.63,           8362.26,           7353.23,           6384.89,           5003.41,           3825.58,           3291.73,           2893.02,           2272.44,            464.12,            369.37,,
Mexico,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           9078.87,           7787.69,           6911.31,           7380.21,           6692.72,           5397.42,           4866.50,           5951.53,           6468.49,           5720.86,           5964.23,           4195.90,,,,,,,,,,,,,,,,,,,,,,
Mexico,...,...,Import,No. Of Import products,           3707.00,           3887.00,           3982.00,           3985.00,           3970.00,           3984.00,           3998.00,           4036.00,           4473.00,           4461.00,           4511.00,           4521.00,           4508.00,           4518.00,           4760.00,           4771.00,           4760.00,           4720.00,           4714.00,           4716.00,           4788.00,           4799.00,           4861.00,           4863.00,           4850.00,           4860.00,           4862.00,           4884.00,           4871.00,           4878.00,           4915.00,           4908.00,,
